,list_length,subject,likelihood,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity
10,20,10,1099.9661406774685,0.7948101894324154,2.220446049250313e-16,0.8536422477122293,0.16417475965156159,0.9999999999999998,0.33610002670629646,5.4006781604316805,70.40590918593632,0.034857146237552636,0.32981142094891724,2.975752884437642
11,20,11,1218.037156215387,0.38396447207456413,2.220446049250313e-16,0.8868035941422336,0.28381461358873183,0.9999999999999998,0.19015602443220148,3.037422399157859,76.47433460617574,0.01894522998962851,0.43630391600857593,8.862420788964716
12,20,12,1469.3118095287878,0.7922351774945617,0.0001570635292609264,0.9937868848422593,0.0013298255753476024,2.220446049250313e-16,0.050116005466185075,100.0,49.39872956790268,0.009285657675696606,0.42132023191087575,0.6942027106559543
13,20,13,1638.5136963937093,0.816009997843074,0.6599563092456302,0.9730709248212346,0.7055583985162512,2.220446049250313e-16,0.8478225570690291,0.8816574739774928,14.697809740912538,0.00927144214614156,0.4505393830569933,5.705277009748635
14,20,14,1059.548206491849,0.49046433886008844,2.220446049250313e-16,0.7725018960796785,0.5027892384533714,0.5806525987468661,0.11768121257978144,5.256662348844056,23.607275402862747,0.015146884444658715,0.5769904550023587,9.93837156722252
15,30,0,1562.9882184107123,0.7059375008615149,0.1610145724033033,0.732833687655678,0.1791667020979981,0.9999999999999998,0.26738036121870107,2.252545173528991,90.73649417200744,0.019576170943505323,0.34206884458927833,3.6282582538455896
16,30,1,1874.9221892275007,0.4883021580236534,0.029488996683748905,0.8397442026178478,0.579448675825278,0.12678816626193626,0.053360764209669106,10.246461653618482,27.22431376501955,0.015114084483852762,0.31772372356508555,10.0
17,30,2,1835.306438468615,0.7626869875256849,0.11048449023802838,0.7075342457327243,0.1553676406487138,0.9999999999999998,0.18565992318629948,5.320897848901202,65.20921393328292,0.010347702677290562,0.36854047970118115,3.153059180597922
18,30,3,2100.963386208185,0.8435338028000331,2.220446049250313e-16,0.998739179931753,0.0012032062130831447,0.9999999999999998,0.023932933212807837,100.0,52.136047197198124,0.009585176666556998,0.323224482501668,0.5805913259423815
19,30,4,2164.754744238589,0.7751660628300333,0.03557699076678393,0.7024834133330952,0.07679832104639121,0.9999999999999998,0.20379318949043598,13.386697556459481,2.6253957705777973,0.006480082474116515,0.3721787332803822,1.9192310458317678
20,30,5,2382.7520083131903,0.7614512452616561,0.12402599489373219,0.7236027455010567,0.10956775955888728,0.9999999999999998,0.3145712805482552,4.256728601586093,70.78154785141658,0.0017610233955339363,0.4430412141538043,2.666150896554072
21,30,6,1360.7916569468798,0.5885383743653761,0.013235640745081092,0.7741034335514408,0.16088377818076394,0.9999999999999998,0.06662789400939155,11.501162784683169,80.68762500015131,0.04114139222449562,0.2608673131908751,3.6606689791843507
22,30,7,1198.8432189138393,0.5200850765390629,2.220446049250313e-16,0.8557898342237722,0.4262321407970163,2.220446049250313e-16,0.20911096590445996,2.981069475603944,51.17657786370804,0.02280914157475894,0.4080275806362229,10.0
23,30,8,1191.6750717356888,0.8184119003457845,0.12921739219916237,0.8367434060194727,0.2707185589024933,0.9999999999999998,0.3541429710633642,1.889883096989745,19.236389572572495,0.013617693156770428,0.5744923041878718,4.134920281475022
24,30,9,1681.4980867806025,0.7866687114217731,0.07869368376993023,0.665539068436486,0.17494609005492834,0.858257047573925,0.15275008721287278,26.073583286316442,37.798953349124844,0.012981378510429322,0.42881029550365335,2.599029454999795
25,30,10,1724.805500875503,0.5048386850541492,2.220446049250313e-16,0.8866444452263448,0.23927764452667413,0.9999999999999998,0.09428277996239787,9.229039155443896,72.37132825430112,0.020248327670624996,0.2956793344332365,4.887037862308761
26,30,11,2161.4643210869185,0.668569178183241,2.220446049250313e-16,0.8627627419929629,0.6236205723712689,2.220446049250313e-16,0.4064325689559574,1.718978037270241,95.30962032745151,0.005342392977588565,0.38247885563488676,10.0
27,30,12,2493.8987558012996,0.7431301845665083,0.06203267550800281,0.9321688929873564,0.12326702692535703,0.935621281529002,0.25785428653137965,0.6287686042229224,50.16970452785192,0.0011295362004939298,0.4523951017553755,2.5793241973970207
28,30,13,2474.1136321835766,0.656735763288456,2.220446049250313e-16,0.90515459216006,0.20110562969268794,0.9999999999999998,0.16119126913252188,5.289295064440624,74.87447519315543,0.0014640721144831448,0.4537179352630656,3.3329650162278233
29,30,14,2087.14109453783,0.6226553075700285,0.0016286667334902054,0.7349881412778242,0.6122084356082796,0.9999999999999998,0.10264423334981591,8.908242718331438,79.8474146301042,0.009705456485673909,0.3523389646669017,7.955183820748331
30,40,0,1444.823088987428,0.6837928881946801,0.008976578869686827,0.6710665542815449,0.05337783413341194,0.9999999999999998,0.09173504389064228,26.88443283654739,46.727156531192335,0.015672848240907946,0.4394072990400511,2.0634230017947774
31,40,1,2283.6254716973604,0.6211722395562317,2.220446049250313e-16,0.8358131728856799,0.47826349735084633,2.220446049250313e-16,0.4263938165971079,1.1413468286863566,71.61360524251404,0.003441902702562836,0.42558414859729404,9.832835872720578
32,40,2,2184.982340566436,0.6599537600473899,0.04050178149022073,0.8088006871956256,0.1706637751395545,0.9999999999999998,0.11739581635782836,7.061883550270005,28.74790315694742,0.007232496516073153,0.3682528785304647,3.5669406431970208
33,40,3,1635.1296962704412,0.8018451710404422,0.024994598646915424,0.74535526116004,0.0406398291065101,0.9999999999999998,0.15694434555836873,10.554510996969011,76.63756136471224,0.027747180370328577,0.3384351137887034,1.413961991581447
34,40,4,2085.8672894148663,0.5969596841107234,0.15181091548075096,0.8265204032624448,0.4721668241529676,0.9999999999999998,0.22162523937160378,2.393720733567122,67.63295149373158,0.014309476510185316,0.29793818119667387,8.066299946485223
35,40,5,1720.58956342698,0.866176748126622,2.220446049250313e-16,0.883289420882074,0.43725329407824554,0.9999999999999998,0.4222310792545387,2.220446049250313e-16,13.391104539755666,0.018321924979974005,0.3475599618571093,6.401166826318145
36,40,6,2288.967579405255,0.7514675687768447,0.12995418507458795,0.7746358460035828,0.2679230414287766,0.9999999999999998,0.3279520905010576,3.502841397821108,97.39822275517918,0.010434206569102683,0.3175444960560969,4.454193138261686
37,40,7,2096.708917622445,0.5454538237332148,2.220446049250313e-16,0.760554979903006,0.5387249052978381,0.9999999999999998,0.15742118366381724,3.032341869937002,58.328594408589474,0.007804236320860371,0.3987335746840855,8.981386009494274
38,40,8,1710.4811986224202,0.7118871844543972,2.220446049250313e-16,0.8547988824093137,0.10600960485525286,0.9999999999999998,0.2270098500991812,3.465829738062417,43.253405047519685,0.021031477667734725,0.3125197233306304,2.720509301198872
39,40,9,2073.6787394089906,0.6202340119827655,0.03869048897516397,0.8964474325866922,0.06099926890640736,0.9999999999999998,0.06539392628161728,18.988085718103566,29.441292054035195,0.01709730868123475,0.29632073277180127,1.8544899565928956
40,40,10,1820.815507635024,0.5511911385914564,2.220446049250313e-16,0.8040549919358684,0.41797192683816736,2.220446049250313e-16,0.34439046833244874,1.3747546048559092,35.22894134132872,0.020417187226271193,0.27131811029819775,10.0
41,40,11,1821.6004499341618,0.5246643929675247,0.019169993769336504,0.6775690058450867,0.5345962403736871,0.9999999999999998,0.10997672139286722,6.445079990187006,90.30464834374992,0.022407713521580806,0.28788244672878077,9.999999783419666
42,40,12,1928.3028423045446,0.6957218313750595,2.220446049250313e-16,0.8586363131998374,0.09828005512438065,0.9999999999999998,0.145053133545644,2.16084390568986,67.04750349397328,0.021879610039512654,0.26800599388777174,2.486296278942474
43,40,13,2075.0678202626214,0.6438651016520375,0.08880054207300528,0.748724477557213,0.4849520305134458,0.9999999999999998,0.216241343502315,3.023072408395477,80.31559656316529,0.007944131229139263,0.39865990916757826,7.75561755752319
44,40,14,2126.1266602899523,0.5583598779180279,0.047085868720008216,0.6754363652921914,0.5389806417811868,0.9999999999999998,0.030480489297165327,18.514640171089674,81.4950461881723,0.012356748323188126,0.3311404867338971,8.910542879758712
