subject,list,item,list_type,category,intrusion,position,trial_type
50,7,sink,heavy,obj,[],17.0,study
50,7,bowling ball,heavy,obj,[],18.0,study
50,7,Kate Winslet,heavy,cel,[],19.0,study
50,7,Halle Berry,heavy,cel,[],20.0,study
50,7,Alicia Keys,heavy,cel,[],21.0,study
50,7,shovel,heavy,obj,[],22.0,study
50,7,football,heavy,obj,[],23.0,study
50,7,keychain,heavy,obj,[],24.0,study
50,7,Space Needle,heavy,loc,[],25.0,study
50,7,Trevi Fountain,heavy,loc,[],26.0,study
50,7,Ayers Rock,heavy,loc,[],27.0,study
50,7,Ayers Rock,heavy,loc,0,1.0,recall
50,7,Trevi Fountain,heavy,loc,0,2.0,recall
50,7,Florence,heavy,loc,0,3.0,recall
50,7,Vatican City,heavy,loc,0,4.0,recall
50,7,Halle Berry,heavy,cel,0,5.0,recall
50,7,Alicia Keys,heavy,cel,0,6.0,recall
50,7,shovel,heavy,obj,0,7.0,recall
50,7,perfume,heavy,obj,0,8.0,recall
50,7,keychain,heavy,obj,0,9.0,recall
50,7,bowling ball,heavy,obj,0,10.0,recall
50,8,book,light,obj,[],1.0,study
50,8,anchor,light,obj,[],2.0,study
50,8,earrings,light,obj,[],3.0,study
50,8,Owen Wilson,light,cel,[],4.0,study
50,8,Simon Cowell,light,cel,[],5.0,study
50,8,Elton John,light,cel,[],6.0,study
50,8,Alamo,light,loc,[],7.0,study
50,8,Petronas Towers,light,loc,[],8.0,study
50,8,Yankee Stadium,light,loc,[],9.0,study
50,8,shelf,light,obj,[],10.0,study
50,8,ketchup,light,obj,[],11.0,study
50,8,dollar,light,obj,[],12.0,study
50,8,Soho,light,loc,[],13.0,study
50,8,Florida Keys,light,loc,[],14.0,study
50,8,Vienna,light,loc,[],15.0,study
50,8,Tobey Maguire,light,cel,[],16.0,study
50,8,Drew Barrymore,light,cel,[],17.0,study
50,8,Matt Damon,light,cel,[],18.0,study
50,8,cigar,light,obj,[],19.0,study
50,8,tire,light,obj,[],20.0,study
50,8,satellite dish,light,obj,[],21.0,study
50,8,Kristen Stewart,light,cel,[],22.0,study
50,8,Jennifer Lawrence,light,cel,[],23.0,study
50,8,Jamie Foxx,light,cel,[],24.0,study
50,8,Everglades,light,loc,[],25.0,study
50,8,Times Square,light,loc,[],26.0,study
50,8,Great Wall of China,light,loc,[],27.0,study
50,8,Elton John,light,cel,0,1.0,recall
50,8,Tobey Maguire,light,cel,0,2.0,recall
50,8,Kristen Stewart,light,cel,0,3.0,recall
50,8,Petronas Towers,light,loc,0,4.0,recall
50,8,Simon Cowell,light,cel,0,5.0,recall
50,8,shelf,light,obj,0,6.0,recall
50,8,book,light,obj,0,7.0,recall
50,8,dollar,light,obj,0,8.0,recall
50,8,earrings,light,obj,0,9.0,recall
50,8,Soho,light,loc,0,10.0,recall
50,8,Florida Keys,light,loc,0,11.0,recall
50,8,Everglades,light,loc,0,12.0,recall
50,8,Owen Wilson,light,cel,0,13.0,recall
50,8,Jamie Foxx,light,cel,0,14.0,recall
50,8,Great Wall of China,light,loc,0,15.0,recall
51,1,shirt,heavy,obj,[],1.0,study
51,1,hurdle,heavy,obj,[],2.0,study
51,1,staple remover,heavy,obj,[],3.0,study
51,1,Gwyneth Paltrow,heavy,cel,[],4.0,study
51,1,Lindsay Lohan,heavy,cel,[],5.0,study
51,1,Paul McCartney,heavy,cel,[],6.0,study
51,1,Mall of America,heavy,loc,[],7.0,study
51,1,Carnegie Hall,heavy,loc,[],8.0,study
51,1,Venice,heavy,loc,[],9.0,study
51,1,Harrison Ford,heavy,cel,[],10.0,study
51,1,Jamie Foxx,heavy,cel,[],11.0,study
51,1,Ben Stiller,heavy,cel,[],12.0,study
51,1,printer,heavy,obj,[],13.0,study
51,1,soap,heavy,obj,[],14.0,study
51,1,blender,heavy,obj,[],15.0,study
51,1,Prague,heavy,loc,[],16.0,study
51,1,Churchill Downs,heavy,loc,[],17.0,study
51,1,Soho,heavy,loc,[],18.0,study
51,1,Ricky Martin,heavy,cel,[],19.0,study
51,1,Ashton Kutcher,heavy,cel,[],20.0,study
51,1,Simon Cowell,heavy,cel,[],21.0,study
51,1,perfume,heavy,obj,[],22.0,study
51,1,basket,heavy,obj,[],23.0,study
51,1,umbrella,heavy,obj,[],24.0,study
51,1,North Pole,heavy,loc,[],25.0,study
51,1,Sydney Opera House,heavy,loc,[],26.0,study
51,1,Hungarian Parliament,heavy,loc,[],27.0,study
51,1,Simon Cowell,heavy,cel,0,1.0,recall
51,1,Russell Crowe,heavy,,0,2.0,recall
51,1,Venice,heavy,loc,0,3.0,recall
51,1,Churchill Downs,heavy,loc,0,4.0,recall
51,1,Prague,heavy,loc,0,5.0,recall
51,1,Hungarian Parliament,heavy,loc,0,6.0,recall
51,1,Gwyneth Paltrow,heavy,cel,0,7.0,recall
51,1,Ricky Martin,heavy,cel,0,8.0,recall
51,1,Liam Neeson,heavy,cel,1,9.0,recall
51,1,staple remover,heavy,obj,0,10.0,recall
