,condition,subject,likelihood,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,familiarity_scale1,familiarity_scale2
34,control,34,254.0009349013551,0.7427859376861584,0.3280039381535807,0.9474164239367763,0.4693688198528999,2.220446049250313e-16,0.9620069919823431,1.4254562205696026,63.822603878498015,0.016368653770294693,0.4112357123597463,8.114345342171694,0.820108497819058,0.6854833427203905
35,massed,0,277.6244424692937,0.8035878653180369,0.9079924209193642,0.8937279296352597,0.5109041302879325,0.029124973137702955,0.7109025219447419,0.01823848981631589,12.528898214671115,0.0002764814297807426,0.4312297824623653,9.22891974298494,0.12882305080442907,0.9425032931285389
36,massed,1,277.23758994462634,0.9213759374596446,0.6175985050206408,0.9606162215619811,0.16458005211039908,2.220446049250313e-16,0.9999999999999998,16.49252788729572,63.21598362257848,0.022561144042256853,0.1947522916420577,2.3050676535717822,0.21665166071991968,0.9675385152894701
37,massed,2,400.5578120338273,0.8190384000078191,0.8013727228962678,0.8561481395326909,0.27979661100337605,0.2038765219742629,0.8465990261963631,9.245316280830234,50.18533904901567,0.00021362732008589158,0.44480321136609197,4.914396938334446,0.056135148852987066,0.7376985569149862
38,massed,3,208.35333098074855,0.8332352396055263,0.016082434695527403,0.8769833437531006,0.011808448841650313,2.220446049250313e-16,0.20704905110374372,54.40317444832368,12.857820787960756,0.08014287878733052,0.12156520850478575,0.650450623830623,0.9999999999999998,2.220446049250313e-16
39,massed,4,351.37810261958623,0.6316703933689789,0.9994931033431804,0.9039831906119727,0.023143214024202868,0.286715069159867,0.3804463831182928,14.575626802084512,52.29461830833733,0.000210563635666871,0.5115816875200176,1.7792421456593481,0.10786252266129487,0.9447504232615851
40,massed,5,393.25651219965175,0.8265995516969384,0.048888742766694276,0.9999999999999998,0.617312292391287,0.4068318059904287,0.9478578595375456,3.4339555546390654,84.5102601222722,0.00012074929627615382,0.5122479363736409,5.120925284340221,0.21466841491220331,0.8670023539887654
41,massed,6,145.67569503769954,0.8256702326167921,0.3480868813682098,0.9999999999999998,0.3815648019760576,0.7447275912249167,0.9999999999999998,24.056736540281825,12.564905628594987,0.07452469451832719,0.3132761284630279,2.0518397963804467,0.6502854318166833,0.4666754870850907
42,massed,7,346.9074279966355,0.8010091914704139,0.16806625993264543,0.8227942014788514,0.6253995197273232,0.27972761005273655,0.02381100026387487,6.666500263657989,33.91640065825975,0.003375796183486764,0.3655531024910493,5.8926344630408565,0.7165458612997246,2.220446049250313e-16
43,massed,8,274.401006994879,0.6135645463744449,0.7112051060760539,0.9999016021605893,0.3358572035700689,0.478575271085295,0.35162445589858193,4.246551670407872,68.45603589643136,0.020126200274175967,0.1539315701928427,6.982892553432599,0.17999419668698055,0.46168127726132685
44,massed,9,479.3057515760645,0.8165187312164964,0.5458274392495944,0.9999999999999998,0.04553445979754289,0.3762782845583218,0.09559779370390227,48.68411013817301,45.73805509977952,6.523360901066445e-06,0.650003475705776,0.6542367188630211,0.4562068029848632,0.14374098963853285
45,massed,10,196.84673538414108,0.8127980259678441,0.9377406849700364,0.8758683539984629,0.13425684685644967,0.17161241249229045,0.2929620435639745,0.31514765753959667,71.81418297141263,1.4024805802046015e-05,0.5533748817991674,4.0465503743869835,0.8403034854115218,0.3200413816150525
46,massed,11,395.8103341561259,0.8127273710190932,0.7808284532578865,0.9728471609568081,0.9548672047180757,0.4090091210797164,0.8103764280727069,36.70848755728771,12.531817945473948,0.0004444306420687721,0.4288175143057913,7.679546864470399,0.03433149596178293,0.9129825409361074
47,massed,12,491.2086227944196,0.9419854301048896,0.07919998851134107,0.9609929371165093,0.6661138870348782,0.19227324236017942,0.4545000226588035,87.27983413201348,30.591513507819556,4.124630861400606e-06,0.6386848402708711,3.1497155889314437,0.27612894170493485,0.7809461805616617
48,massed,13,307.40476196996826,0.6800485153828338,0.5086701888117906,0.92268120709551,0.2392196490311069,2.220446049250313e-16,0.29815168668719666,7.563666595819852,59.349846551950016,0.0006891779332657234,0.4064005777892238,6.071085423707174,0.2041820857859569,0.4198848377798676
49,massed,14,378.33332330558903,0.8182837025037714,0.7374969701217733,0.9188159813854061,0.8092936604682458,0.04482866503083251,0.967343697208337,2.323570966172286,90.53833501750874,0.0007598347467618211,0.39902263779421504,6.73668146552106,0.7818717001501349,0.5644736192391745
50,massed,15,341.0126450573017,0.8384900504432695,0.6281089510268357,0.9627212914422821,0.716705382587626,2.220446049250313e-16,0.7467491470653842,0.2328870640491643,34.36765080586199,0.0013863335584490424,0.34368648716474864,10.0,0.9914307630432668,0.015001505640128915
51,massed,16,305.3142521587735,0.7661158489187233,0.9683529550200152,0.9096325278329522,0.5284475544852915,0.014255332955165904,0.9431656148061718,0.38189934196663455,45.06818270615529,1.1879876080078333e-05,0.630036792453733,8.787035477903165,0.860914513023957,0.5446586280698636
52,massed,17,333.15569916729214,0.7695571181655961,0.9918856223804245,0.9424135473443884,0.15606439243742004,0.6699202012020458,0.748678866751103,8.19698266537417,70.66728500967771,2.9735248299036472e-05,0.5229154498222918,4.635222701639561,0.007370691242361565,0.673170135570711
53,massed,18,272.676735055433,0.9141206869198849,0.9222486652140416,0.8654270557445216,0.11749101656426772,0.026112057374340848,0.9999999999999998,2.22005504544374,53.15569030105042,0.015840027006590165,0.2447466255247668,10.0,0.023906294391336264,0.09829065532492264
54,massed,19,410.32718965229554,0.7874440097726086,0.7050176850073336,0.9211413423132505,0.15966792757100762,0.270402950336934,0.47220123483242704,5.707651412524137,54.168395405725214,0.00012364542214414147,0.5292993784980128,1.9165888159695261,0.31727396269418984,0.8224221186564867
55,massed,20,313.2788131220193,0.7972391410077593,0.990541647430592,0.9999999999999998,0.46968883325131455,0.7505315931555676,0.7469496432374291,0.4145456035438552,39.275347042306066,0.021709236864461565,0.18062127255350935,3.0182711946663656,0.32744901677745764,0.5632099609744803
56,massed,21,312.41910620730283,0.543756859789973,0.9061992541852698,0.9849699881059606,0.8897015676668945,0.5571485545938295,2.220446049250313e-16,8.4505663684521,0.30122825080195276,0.005195494049199381,0.3757112521175925,2.384379947895399,0.25879185192377696,0.6897807299150007
57,massed,22,274.05640032450776,0.7908408405974979,0.0168154687233771,0.9358032020467772,0.9999974690030073,0.0009130335121607995,0.04540871478638034,46.18398275881209,62.73922538510429,0.017086693613817715,0.3112567728182545,8.798151891254683,0.5521409794305971,2.220446049250313e-16
58,massed,23,360.9654644603813,0.9036714499230898,0.388776131535911,0.9764417602007152,0.3570155329444922,2.220446049250313e-16,0.9999999999999998,18.954235295415415,32.35488987053413,0.002312210709194274,0.32738479751778093,4.89511022176382,0.08579446349764033,0.7498136302441317
59,massed,24,213.5806315669717,0.7277941685426936,0.5357497900130772,0.8210037320655414,0.21434711546780177,0.23551153922768547,0.8392187660725405,6.112425753294017,47.240268526505844,7.627092128826023e-06,1.4425895220286469,7.202300888394045,0.16619376086456802,0.49894141016944343
60,massed,25,227.1164429713689,0.8214398600440025,0.9298922433598136,0.9966774927777609,0.7748896063407595,0.64475469987483,0.9999999999999998,1.6391938004154403,59.22438822376831,0.02544835571435593,0.2678773509857621,7.263438046839465,0.11106749711686471,0.7510662657478443
61,massed,26,304.100002474729,0.8159028625326827,0.74675981132038,0.950351040158454,0.4198689114447641,0.050429755306306716,0.9999999999999998,2.8525912461484113,22.53001807196397,0.00011708383465823462,0.4963011102785927,8.49118210749206,0.22401787113515934,0.8735641133245821
62,massed,27,245.98359808517952,0.6301249412399935,2.220446049250313e-16,0.9999999999999998,0.505397137242138,0.47989899934074354,0.2625743254281552,12.991315254034614,69.47876455037272,0.0015274854413375053,0.785797935768061,3.143945875778897,0.15627506306753713,0.4444217215868222
63,massed,28,216.6488611037213,0.41937273974211386,0.45216223094173275,0.9999999999999998,0.11293217204888346,0.6371148438113959,0.6050182949291146,45.51972817082377,45.114430213661656,0.035208822366907366,0.32599996385879443,2.323381850994656,0.028244786991342367,0.9481388090401858
