,condition,subject,likelihood,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity
45,massed,10,197.7788638863579,0.8220488333350102,0.9607975486142275,0.8448705632845872,0.15087389667531348,0.5068544889585719,0.2181997326571679,0.4105231865468255,4.904322444219019,3.59657319172757e-05,0.49149699234949473,3.389835198538311
46,massed,11,396.22314552757797,0.7693145703509202,0.6101950533720251,0.9362311445247833,0.9511454668530809,0.15993599219591678,0.59240129019509,3.920649345673797,95.31292938804285,0.00043586971743006926,0.4298980721406478,4.894454788600386
47,massed,12,489.4451897890008,0.9358966832268393,0.09678727262721933,0.9779321472986101,0.5343904525429671,0.18505781031727642,0.6226591863340935,25.223713820163653,37.491074562172706,1.5345778905976247e-06,0.6923136554591994,1.7621943827486963
48,massed,13,303.86005253853614,0.6361395953354156,0.38015333090536707,0.9071926471318797,0.4920729635742817,2.220446049250313e-16,0.19053871053258148,6.628828741793737,0.8704622879095435,0.0006922512946167327,0.40611418176352027,4.224050737077256
49,massed,14,379.2832639770455,0.8170760267838882,0.7464710602113437,0.9203831991885987,0.9446945944311536,0.0001327173009830379,0.9320844903189291,3.236866512414465,95.35632472633111,0.0007538743690129878,0.39945976135708067,5.200463907956457
50,massed,15,342.04338842605375,0.8026914852566699,0.777226574692837,0.9797117825033856,0.9999999999999998,2.220446049250313e-16,0.5875366584606595,0.14775048134263738,68.92021601365899,0.001440789041626594,0.34117048002316713,6.559970055448643
51,massed,16,308.35524775763895,0.5750113849922996,0.9714528476209225,0.9086334472513838,0.236924467443532,0.528959338640013,0.2920634158545543,1.5576668664578248,0.26822081673246884,0.0001716513684565141,0.4725867388848428,3.6445908759837935
52,massed,17,332.7170271982066,0.8575124155351561,0.9977508748598043,0.9181346208022195,0.20727766480981566,0.926643151302416,0.9197799193406865,0.08363904855130545,18.35275943619515,5.397973548431038e-05,0.49134449797050916,3.007771998318626
53,massed,18,270.5035601485137,0.6891786209976537,0.7892119367299949,0.9475874467692535,0.9999999999999998,0.9999999999999998,0.08703810933610256,9.315279073915683,0.4895627451583844,0.015835836646038784,0.24478154295401564,2.7652560755975917
54,massed,19,409.6959350085535,0.7932802594059696,0.6170945960007387,0.9289981610234415,0.8087718544421391,0.6534559932613873,0.5414980056598766,3.47881229750425,63.57369456296759,0.00011656716406536813,0.532767054271703,3.73363494253418
55,massed,20,313.3889899573324,0.9361993004803775,0.9998411650608966,0.9751309081803724,0.031026980649166733,0.23667368399935543,0.8226365922016562,3.3872406640962063,60.744963295024014,0.021349062106702413,0.18218716856886522,0.5960062650154035
56,massed,21,314.6325864824805,0.6711306437146415,0.98594293605821,0.963396526604686,0.8036623446414979,0.1907890415348764,0.15824059158278556,1.3074626103983888,48.47536811810918,0.005179325404498633,0.3759338866568614,2.2043252028465767
57,massed,22,277.5813233442644,0.8711500749112626,0.052722817972325614,0.9999999999999998,0.23745363433847128,0.13743520973079587,0.3758287357034665,50.39454081287318,98.68479259303183,0.01579574957458673,0.3190774714995863,0.9542927648633982
58,massed,23,356.78488201085395,0.8584959126152087,0.08153603062296698,0.9811188179465918,0.11606576767030141,0.8711258565418275,0.25394005660260754,25.45240432864757,0.40662415635641647,0.0023045128622414595,0.32762362034495396,1.085807972008634
59,massed,24,213.11333790811386,0.7600830836104346,0.3839133185719552,0.8491939491847602,0.341637242652631,0.5942539974157179,0.9495427194089557,3.8055334050816065,61.04928749763646,4.359004903585657e-06,1.5132145156808958,4.951276187679443
60,massed,25,227.13056605752502,0.8313884656765852,0.9298917017759776,0.9904825735748243,0.6180793490245045,0.06561880094448436,0.9999999999999998,0.5310121245676318,60.41436945476002,0.02545335457741535,0.26785656917049516,3.612077574849406
61,massed,26,304.0966938583041,0.7761682197014426,0.7476307993807859,0.9487156634718724,0.7770550111934525,0.05225514766461282,0.9193743243822856,1.638492224298399,61.602605528536614,4.895643494712451e-05,0.5513650106347654,9.148179976681309
62,massed,27,245.9555193731914,0.7734750798390695,2.220446049250313e-16,0.9999999999999998,0.34171504133789166,0.50899346938413,0.6857453790050066,16.743260564417323,57.13417129768399,0.0015771147878470273,0.7815554523360453,0.9843496278233391
63,massed,28,216.14096912580453,0.8914517390825948,0.010324465701880364,0.9661089862404629,0.004248892473912537,0.9878884681123581,0.990253334176631,0.5627475123017838,94.49217373456744,0.03313904575706869,0.3393374492402722,0.3017744395348994
64,massed,29,359.9177082664073,0.8735867510414134,0.09504802186843041,0.7550219035583011,0.2437563989523707,0.580406612571713,0.6246389004440134,6.4532375085094795,65.58351717740804,0.0029029435586679316,0.2741897445086751,2.8114775878677154
65,massed,30,337.7954805728102,0.8032855356368706,0.4154262709225782,0.9588854168464459,0.9999999999999998,2.220446049250313e-16,0.5428034807361466,4.0927107563326945,41.33806456033583,0.010343599425266465,0.24591303560736968,4.263487970698964
66,massed,31,321.9159306884926,0.8004024739133944,0.8587586903702867,0.9861485535631538,0.469768828157379,0.14278797452583086,0.7465599348413798,1.1603181831208502,83.12243231736514,0.00033114527729893265,0.46704712053681263,4.219956768557462
67,massed,32,343.12301194526117,0.8443090805438848,0.798654848500697,0.9999999999999998,0.2916569960926272,0.1674548610838702,0.6108127459518565,4.077905919652773,26.51533445908819,0.003284181167316703,0.3148687061206075,2.1883631362263105
68,massed,33,301.8473588994043,0.8875999911514078,0.9995922469462503,0.8712053977303494,0.08373978986465709,0.7791112272834487,0.9999999999999998,0.2486730756093489,56.28405653440915,0.025806801484110815,0.18628826796590817,0.8761727653494346
69,massed,34,164.57590264381957,0.5230109699529302,0.33287554974158495,0.9537837755098282,0.03153953126585929,0.9161550966550812,0.3098148590701366,19.426516511170895,0.49747092491114964,0.049637720960013294,0.33366682742364523,1.3201187570678574
70,spaced,0,277.0158339433236,0.6679498785263657,0.7329611714486455,0.8534827330237061,0.43302358349959963,0.36683031085486206,0.056795199374502336,5.745617894176396,0.3360474979770735,0.00061794713839005,0.36945537331660205,5.292869305264335
71,spaced,1,346.91640475970183,0.8966578276635403,0.30668795705677315,0.8856982048157976,0.07704776604192823,0.127234051264169,0.21394824601451923,9.84297310767954,0.23211668768955973,0.0031756005541623655,0.3245865660813592,1.1756682202562256
72,spaced,2,407.20473013919786,0.9194652919699169,0.38744051319957806,0.9122342339857332,0.10491013122755442,0.6752172845697156,0.42085836485907907,1.789325659268616,23.828835490914678,9.335059570874078e-05,0.47505086976929295,1.8286383241005355
73,spaced,3,318.4612049309513,0.8288651793637103,0.36552309869771943,0.9882931102984445,0.26809679313629275,0.8932104114677641,0.4832638162535155,7.307862378670416,81.3345411682832,0.01273474474107576,0.2506640356876267,1.6280528916719639
74,spaced,4,387.59140791000146,0.5792176899065017,0.98239316947585,0.8386703702652657,2.220446049250313e-16,0.23303984969820218,0.14495644353740414,6.302252934393506,0.7105838594791092,0.0001438152475800264,0.552936065675631,1.218523474224637
75,spaced,5,371.8550419890806,0.8027553636088027,0.6469109753925101,0.9999999999999998,0.4504838395173403,0.5314211119501844,0.5135392253969929,2.2622526620941357,53.2262063428705,3.9002992820718294e-05,0.5766918390512097,4.304684182243407
76,spaced,6,208.44892066622145,0.9026681577007784,0.46560231160916177,0.9999999999999998,0.1610953345876767,0.5548888289060948,0.20669149453156618,0.01711804730226369,54.365164725662,0.06411518717603552,0.17662927992784147,1.187172244780424
77,spaced,7,373.3369899708456,0.9208143178960648,0.8334968700863878,0.9734846036113565,0.9999999999999998,0.9999999999999998,0.8085284146419088,3.728868084524602,0.47216828018399887,0.011189122963629493,0.18343721466434756,3.576711523643524
78,spaced,8,300.4819482383024,0.6409475090005585,2.220446049250313e-16,0.9302589767853707,0.9999999999999998,0.21217414933917159,0.19710248371668754,2.778414803637315,0.39975662597250405,0.015161711488813802,0.15936246981356877,8.174691952038716
79,spaced,9,456.61540555055,0.686620466695907,0.6620631655590234,0.9216290652765888,0.8811757835001008,0.062159105875741236,0.1603305813178504,1.3456109828731944,39.77384674758366,0.00022128789178520853,0.42374394507150837,4.404784352232211
80,spaced,10,319.74495540945543,0.6744350878934601,0.9495610200987682,0.6020823449471042,0.5304427725213235,0.033038744686297895,0.13436496045293514,0.06391989245382478,69.73843766418972,7.853428531370466e-06,0.5825243776022597,9.415813775009664
81,spaced,11,394.47340234879584,0.7983703574440392,0.9466897141973414,0.9798938656203869,0.6472305289259873,0.9999999999999998,0.6299793101528989,1.5400405896445866,5.166677251246035,0.002544450102264242,0.30999329413437965,3.476657171351735
82,spaced,12,478.28217807067404,0.7163825220991742,0.6685619111958462,0.9403214038668427,0.2193202578602368,0.6702781571998956,0.22138665486351772,2.2283310738488287,61.52964770822528,2.9983558394880597e-05,0.5207430617634756,1.2893861015534227
83,spaced,13,357.6632532842066,0.7433720904740443,0.13231228954930435,0.9105823304135896,0.14979411746554533,0.8707237336020099,0.4612922667930221,33.710504355297104,1.6102928896080526,0.00027125354690966475,0.41737424015348945,3.189428605688285
84,spaced,14,392.2395620271744,0.8117975318206652,0.9390116304549341,0.8314934755894157,0.7228475335847256,2.220446049250313e-16,0.23630217827086814,2.220446049250313e-16,78.23319583910127,0.001669524223395914,0.3430449574801337,5.179956896179695
85,spaced,15,323.4965653664357,0.6950178396111393,0.4319042535662685,0.8986863654775481,0.9999999999999998,2.220446049250313e-16,0.11072270543369131,4.858412094235799,0.43066005780342526,0.0032674654372451964,0.29361603402354824,6.799302950949958
86,spaced,16,304.9503835440233,0.7937609154524956,0.8450864105059096,0.9677995569442973,0.11271604146577814,0.5004178332642001,0.3198311290846966,10.93555478567388,0.6381311817401413,0.00011645568561613857,0.4872922837546312,2.446787837941095
87,spaced,17,352.7733793154349,0.8179713347567129,0.999048906556555,0.8413566193477631,0.0677520296564018,0.690595750339541,0.2908968684148973,0.19588366781890026,52.901816484820955,3.856562363900042e-05,0.5187096238112553,2.3758869168501637
88,spaced,18,329.71218427296776,0.7820590945257941,0.9999819353482805,0.877405482753906,0.4121427836615004,0.7788582146565523,0.6738432390950997,0.4567289603545719,61.1529474812465,0.003305345455529654,0.38205678165667606,2.707173751120754
89,spaced,19,447.29845991231286,0.8557887906170919,0.8235460917724216,0.9634264557461699,0.7654498465176559,0.159740845049578,0.4998728886419239,1.185266297657641,79.68608633263136,3.9309290430108354e-05,0.5635581987275532,3.8368499512692185
90,spaced,20,232.5849364597487,0.933503885266203,0.16453631706930663,0.9803708599176946,0.005753498445163909,2.220446049250313e-16,0.09008992835234084,20.63403520424353,1.0060748253878393,0.055240658525223627,0.15639268676743906,0.48613344437570083
91,spaced,21,316.06509043572123,0.8138813652014161,0.9983332163539886,0.9932192000602486,0.04578836851867202,0.7842201678982093,0.03324445258738309,2.220446049250313e-16,65.33676907699012,0.017846456051706244,0.22175542682876262,0.5959983581037591
92,spaced,22,282.75648926056044,0.5222502162327498,0.6269675163386805,0.8507566769717241,0.15600107664792334,0.11705699103640435,2.220446049250313e-16,16.10041304754514,47.67738972825414,0.008206536097776752,0.4002346930804678,1.018990342280592
93,spaced,23,352.0446831594188,0.8983881510266527,0.5579578738515725,0.9882654560289651,0.2561847819312391,0.4015631553292307,0.6960161371892165,6.905601180752085,53.498142545091696,0.006036524260756209,0.25699844635821634,2.371029175022928
94,spaced,24,227.51459153209674,0.725512895175079,0.7507968072766246,0.9381257219461078,0.029295221157273673,0.7226316149843067,0.3871491951146604,1.318532877555938,14.234674998345813,0.00010606182069496304,1.1089665077109292,1.8906608121512551
95,spaced,25,249.8092828551667,0.9910391760019467,0.9999997749433714,0.9993917977897284,2.220446049250313e-16,0.9111248520755609,2.220446049250313e-16,2.220446049250313e-16,42.06630221117953,0.052652801170399416,0.16421079734187333,0.14004531170856582
96,spaced,26,358.01321091376536,0.7261385375439062,0.8699785079475109,0.9999999999999998,0.6999139806086271,0.90998186652001,0.532696207115319,0.9367038770435512,55.88357873444454,0.0008363392150111338,0.34122396829781043,7.094621006226816
97,spaced,27,259.44729400502524,0.7212939217280303,2.220446049250313e-16,0.9404554716918148,0.19739660512722906,2.220446049250313e-16,0.16505526416547495,9.285411723200223,59.683347919078834,0.014023710436875711,0.3551915202645426,1.5829924248870915
98,spaced,28,339.0101851620885,0.9091057235790699,0.24497589176709653,0.885867336519401,0.9021534795444505,2.220446049250313e-16,0.9999999999999998,1.4279977709796388,65.66809369565149,0.008089782696206832,0.2908046285176924,5.988942941191531
99,spaced,29,379.4095191900827,0.8099404691372726,0.773992403302797,0.9093317953020024,0.6370747985125468,0.9999999999999998,0.5348924550004094,1.5610182492999578,57.115331682760655,0.0002077563566900491,0.41676705024379834,6.893967646088112
100,spaced,30,330.13549461257725,0.9981955699704956,0.9999999909262016,0.9970359756884702,2.9581650269906926e-06,0.8988089783352466,0.139961085415951,16.713111686369608,0.19135159501890375,0.011008585652426668,0.25984816501988567,0.2123213163979496
101,spaced,31,338.1955017499312,0.7544235319429738,0.9287400427344599,0.9110845745157338,0.5535973124669222,0.9054211343746728,0.5023610836125826,1.3856692097827463,0.03690646553594283,5.494332898264601e-05,0.49046040703962723,5.703544191591374
102,spaced,32,396.9673471368924,0.8725269589384417,0.0976313655024462,0.8534935254161716,0.16362148203088783,0.6444691667731726,0.5265757912543371,4.869195660699571,0.7360853426346382,0.000641681960480433,0.38691666724250046,1.823530315304808
103,spaced,33,318.97958216354647,0.8937104923179486,2.220446049250313e-16,0.9999999999999998,0.5093121502410035,0.32309997005910385,0.9999999999999998,7.717972914498302,73.95970886370881,0.024729901263987053,0.17890553318553148,1.5976636426580755
104,spaced,34,221.92211747026204,0.8945613341438841,0.5829723142510548,0.9999999999999998,0.07853127297593954,0.1072065098946105,0.531969542135227,12.887597053493163,15.163088523832474,0.028695497494411346,0.2783381932819423,1.0101282414187671
105,mixed,0,573.7960046524811,0.8517762821987234,0.326250124222696,0.9875349571424078,0.02070146868602884,0.3426266569630569,0.3146791611576945,15.009033173167449,38.84772196154542,0.00021634389809931112,0.3621098187541249,1.1725492031871734
106,mixed,1,361.9328397213677,0.788391067840544,0.18856445053446344,0.9415950646187675,0.7069801658689481,2.220446049250313e-16,0.5385995738756638,3.6180042515218647,33.09563801778889,0.03926289907573295,0.0988870537905899,8.148369177394839
107,mixed,2,613.1200490021911,0.8020380458289149,0.5485272097156115,0.9963483432122671,0.0834328214149845,0.9999999999999998,0.37201454522973,1.1503126185729307,79.89110599265314,0.00400262338175523,0.19775747274860786,1.334731201388905
108,mixed,3,265.7859958511315,0.9050060586671707,2.220446049250313e-16,0.9972036212637863,0.0042651470454075704,0.43287032525262936,0.29431970213093334,100.0,68.59673074510556,0.0628361416885473,0.11781631756499457,0.6747133630624985
109,mixed,4,607.2430306640715,0.7446361789355906,0.9999999999999998,0.9138366131250022,0.008936061308948045,0.9184421885948771,0.4714390740481268,1.9627698997271272,1.511963501991842,0.0035922023710704236,0.22728517140455734,0.6496849023985362
110,mixed,5,625.9505096380344,0.8585385405423904,0.12036690941941576,0.9503292557520336,0.9410402804725714,0.037915969985605695,0.34902584703389317,1.3879462792424444,51.43992603933967,0.0002620716912366229,0.37485820438836115,9.878463540648687
111,mixed,6,298.68244325493833,0.9438948435418252,0.05489836338879249,0.9462264378561542,0.0005119306805460738,2.220446049250313e-16,0.23049801807637152,69.18902491794836,0.7138456017663497,0.01756147592688752,0.32657050697422596,0.3539824693428489
112,mixed,7,639.2696262795203,0.914785874791142,2.220446049250313e-16,0.9999999999999998,0.37691449534537974,2.220446049250313e-16,0.8819676543268162,1.3443573501532189,54.527522164142496,0.00431632309063328,0.1958048893989869,2.5547719562765985
113,mixed,8,452.6728717502468,0.8877438274437065,2.220446049250313e-16,0.9996130321241747,0.008462224787305196,0.9999999999999998,0.23243067459677214,100.0,0.7053580000890435,0.019968079995583973,0.12068703989619765,0.6782217888779053
114,mixed,9,661.7172388843566,0.7752425647193043,2.220446049250313e-16,0.956546675363475,0.4442924618366641,0.34981110922532493,0.24258843571166921,7.750250977726031,73.52101677946962,0.00018397037048670744,0.3793090961487307,3.679317495415317
