,condition,subject,model,control,massed,spaced,mixed
155,spaced,7,CMR-DE,678.2059506671478,371.28324297372626,371.8713684286518,683.6857140991542
156,spaced,8,CMR,-0.0,-0.0,-0.0,-0.0
157,spaced,8,CMR-DE,-0.0,-0.0,-0.0,-0.0
158,spaced,9,CMR,952.7917153397287,307.27136091224804,330.69691611247794,590.4898362232948
159,spaced,9,CMR-DE,950.1520798968488,310.48452001618443,330.7208102977346,593.3207280803023
160,spaced,10,CMR,1092.4830382707196,673.7904651804487,533.0217486102397,802.7224894306403
161,spaced,10,CMR-DE,1088.5883432530238,670.8852955519562,527.4126716848004,812.6289359070081
162,spaced,11,CMR,2114.7814493058313,295.5969105748528,422.4723809261444,1721.5044935627268
163,spaced,11,CMR-DE,2233.5994354699337,358.05886827125175,444.0771026407584,1837.9466487776551
164,spaced,12,CMR,996.0377992262845,423.45286137339315,422.71060137478105,705.2983186167153
165,spaced,12,CMR-DE,1001.8543466100514,415.3230469383985,414.72348464120955,705.7483508749763
166,spaced,13,CMR,1622.76080965362,678.5386503795704,618.2500613431645,1640.0354073267197
167,spaced,13,CMR-DE,1672.3357011753385,705.0395618061441,634.2711555734792,1697.1949935972161
168,spaced,14,CMR,594.6096512667646,320.5403410833274,392.06205860649385,505.537192237085
169,spaced,14,CMR-DE,616.5169028550847,328.1271194095825,406.7330853693974,523.3354388178329
170,spaced,15,CMR,607.6937144451318,411.4350920055123,399.82205615621564,628.4448665504694
171,spaced,15,CMR-DE,614.6310302118652,417.2584446767282,399.23146007979585,637.7253446392078
172,spaced,16,CMR,658.5867289745321,428.54805429754725,348.4264692925422,627.3001971389617
173,spaced,16,CMR-DE,660.1046109417866,430.34632300520025,347.50739135856367,626.1144698091631
174,spaced,17,CMR,612.1313098223973,328.33081282523904,318.6407003355502,532.0884771024837
175,spaced,17,CMR-DE,629.8376992374464,336.5591552235948,313.78701717574086,536.3039735802064
176,spaced,18,CMR,953.2372862696934,734.2262018411204,728.9893124602395,740.2254743475027
