subject,list,item,input,output,study,recall,repeat,intrusion,category,list_type,item_string,item_string_index
1,6,6.0,7.0,3.0,True,True,0,False,cel,heavy,Taylor Swift,142
1,6,7.0,8.0,4.0,True,True,0,False,cel,heavy,Tina Fey,143
1,6,8.0,9.0,,True,False,0,False,cel,heavy,Julianne Moore,144
1,6,9.0,10.0,,True,False,0,False,obj,heavy,mango,145
1,6,10.0,11.0,,True,False,0,False,obj,heavy,skateboard,146
1,6,11.0,12.0,,True,False,0,False,obj,heavy,crayon,147
1,6,12.0,13.0,6.0,True,True,0,False,cel,heavy,Morgan Freeman,148
1,6,13.0,14.0,5.0,True,True,0,False,cel,heavy,Justin Bieber,149
1,6,14.0,15.0,,True,False,0,False,cel,heavy,Madonna,150
1,6,15.0,16.0,,True,False,0,False,loc,heavy,Times Square,151
1,6,16.0,17.0,,True,False,0,False,loc,heavy,United Nations Building,152
1,6,17.0,18.0,,True,False,0,False,loc,heavy,Churchill Downs,153
1,6,18.0,19.0,,True,False,0,False,cel,heavy,Russell Crowe,154
1,6,19.0,20.0,,True,False,0,False,cel,heavy,David Beckham,155
1,6,20.0,21.0,,True,False,0,False,cel,heavy,Owen Wilson,156
1,6,21.0,22.0,7.0,True,True,0,False,loc,heavy,Trevi Fountain,157
1,6,22.0,23.0,8.0,True,True,0,False,loc,heavy,Timbuktu,158
1,6,23.0,24.0,9.0,True,True,0,False,loc,heavy,Brooklyn Bridge,159
1,6,24.0,25.0,,True,False,0,False,obj,heavy,perfume,160
1,6,25.0,26.0,1.0,True,True,0,False,obj,heavy,book,161
1,6,26.0,27.0,2.0,True,True,0,False,obj,heavy,safe,162
1,7,0.0,1.0,9.0,True,True,0,False,obj,light,balloon,163
1,7,1.0,2.0,10.0,True,True,0,False,obj,light,medal,164
1,7,2.0,3.0,11.0,True,True,0,False,obj,light,onion,165
1,7,3.0,4.0,5.0,True,True,0,False,loc,light,Florida Keys,166
1,7,4.0,5.0,14.0,True,True,0,False,loc,light,Sistine Chapel,167
1,7,5.0,6.0,15.0,True,True,0,False,loc,light,Hong Kong,168
1,7,6.0,7.0,7.0,True,True,0,False,cel,light,Matt Damon,169
1,7,7.0,8.0,12.0,True,True,0,False,cel,light,Hugh Jackman,170
1,7,8.0,9.0,13.0,True,True,0,False,cel,light,Snoop Dogg,171
1,7,9.0,10.0,17.0,True,True,0,False,loc,light,Masada,172
1,7,10.0,11.0,16.0,True,True,0,False,loc,light,Acropolis,27
1,7,11.0,12.0,18.0,True,True,0,False,loc,light,Florence,173
1,7,12.0,13.0,,True,False,0,False,cel,light,Orlando Bloom,174
1,7,13.0,14.0,21.0,True,True,0,False,cel,light,Liam Neeson,175
1,7,14.0,15.0,19.0,True,True,0,False,cel,light,Gwyneth Paltrow,176
1,7,15.0,16.0,20.0,True,True,0,False,obj,light,scarf,177
1,7,16.0,17.0,,True,False,0,False,obj,light,fireplace,178
1,7,17.0,18.0,,True,False,0,False,obj,light,soap,179
1,7,18.0,19.0,8.0,True,True,0,False,cel,light,Tobey Maguire,180
1,7,19.0,20.0,,True,False,0,False,cel,light,Larry King,181
1,7,20.0,21.0,1.0,True,True,0,False,cel,light,Reese Witherspoon,182
1,7,21.0,22.0,6.0,True,True,0,False,loc,light,Everglades,183
1,7,22.0,23.0,4.0,True,True,0,False,loc,light,Indianapolis Speedway,184
1,7,23.0,24.0,22.0,True,True,0,False,loc,light,Mall of America,185
1,7,24.0,25.0,2.0,True,True,0,False,obj,light,hammer,186
1,7,25.0,26.0,,True,False,0,False,obj,light,saucepan,187
1,7,26.0,27.0,3.0,True,True,0,False,obj,light,earrings,188
1,8,0.0,1.0,,True,False,0,False,obj,heavy,blender,189
1,8,1.0,2.0,,True,False,0,False,obj,heavy,trash can,190
1,8,2.0,3.0,,True,False,0,False,obj,heavy,glue stick,191
1,8,3.0,4.0,,True,False,0,False,loc,heavy,Arc de Triomphe,192
1,8,4.0,5.0,4.0,True,True,0,False,loc,heavy,Serengeti Plain,193
1,8,5.0,6.0,,True,False,0,False,loc,heavy,Swiss Alps,194
1,8,6.0,7.0,,True,False,0,False,cel,heavy,Paul McCartney,195
1,8,7.0,8.0,,True,False,0,False,cel,heavy,Sylvester Stallone,196
1,8,8.0,9.0,,True,False,0,False,cel,heavy,Barack Obama,197
1,8,9.0,10.0,,True,False,0,False,loc,heavy,San Francisco,198
1,8,10.0,11.0,,True,False,0,False,loc,heavy,Grand Central Station,199
1,8,11.0,12.0,,True,False,0,False,loc,heavy,Big Ben,200
1,8,12.0,13.0,,True,False,0,False,obj,heavy,backpack,201
1,8,13.0,14.0,6.0,True,True,0,False,obj,heavy,globe,202
1,8,14.0,15.0,,True,False,0,False,obj,heavy,umbrella,203
1,8,15.0,16.0,7.0,True,True,0,False,cel,heavy,Leonardo DiCaprio,204
1,8,16.0,17.0,5.0,True,True,0,False,cel,heavy,Angelina Jolie,205
1,8,17.0,18.0,,True,False,0,False,cel,heavy,Harrison Ford,206
1,8,18.0,19.0,,True,False,0,False,obj,heavy,shelf,207
1,8,19.0,20.0,,True,False,0,False,obj,heavy,bicycle,208
1,8,20.0,21.0,,True,False,0,False,obj,heavy,feather,209
