subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
45,8,215.44495385533656,free_1_item_support_Semantic_CMR,0.7508210528483771,0.02088630662772517,0.41275089910266155,0.5323349214469223,0.4317945418796475,0.8303019962308322,0.29833388908452074,0.7008512811160968,15.88163990024313,99.59074250245166,0.012736215072302104,0.32403203296264316,2.9548772295000276,0.5056931590388051,3.343798849361512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,300.30404605705826,free_1_item_support_Semantic_CMR,0.9126339971720736,0.010639477511345476,0.3831547886470157,0.5192123522146389,0.3939627051292248,0.6604222500545478,0.6819662527602249,0.9639881872235552,24.33785767260644,74.98376672304104,0.004037500957973582,0.31743983957578753,4.463084790138581,0.023754407432246806,0.5013998854364244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,307.0864392860747,free_1_item_support_Semantic_CMR,0.5754473297361999,0.34595432312505,0.22204730783677795,0.6061209135221876,0.16145766589278093,0.5213750245870694,0.629029757339453,0.6407863271757606,1.389844803901326,84.98724338399558,0.018332613219357363,0.09750229598980198,5.012045982272451,0.31114608861085646,0.2981500857732735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,228.06917155452143,free_1_item_support_Semantic_CMR,0.6865404610804741,0.08364333198415724,0.05301458003347248,0.9410792232563746,0.06528564346761423,0.7305733052657836,0.42206319047477836,0.5272500267833645,3.731236819005886,64.5312786251664,0.039996938820897054,0.15045469854727322,2.3036308193172923,0.1847359468789458,0.3118520543135279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,184.42032097678936,free_1_item_support_Semantic_CMR,0.994999271004774,0.04623774878868925,0.45616745517471685,0.8726535237449238,0.014805780072347285,0.6807622501781222,0.5102699975201432,0.8520337321515012,5.524504268815122,9.920489180149211,0.0329602304732044,0.2033368001489304,1.7642394812483806,0.12074768896711369,0.16847371163188107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,302.7366806165538,free_1_item_support_Semantic_CMR,0.7193658216824177,0.6026717917981463,0.40150054226001164,0.7990253008438286,0.9143109414416306,0.8978110241439856,0.49252309594034555,0.7213539721135621,0.12752214935642314,69.20525330430388,0.0034068452221108214,0.32457103343963567,9.925997566394233,0.642193871740123,0.4889138288641597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,272.3888656988604,free_1_item_support_Semantic_CMR,0.6506358506804624,0.015494670605252447,0.857542704059671,0.9406073342755084,0.8421608016628324,0.27552801941386457,0.9692397365516555,0.6640361223028307,0.21511186226380374,15.040497175770511,0.016995466469947373,0.15494092552635763,7.992592114065689,0.016466317396502728,0.5807649215801511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,264.4099598287277,free_1_item_support_Semantic_CMR,0.710818433144298,0.384509943059516,0.607089933017753,0.712207138161583,0.2590154304955128,0.6567776470248962,0.9151397005365005,0.3480578084490756,2.7533808871127405,91.41531866330232,0.010057282324581363,0.30457084387699673,2.399384216904161,0.09949998583571901,0.6546663954692251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8,263.0061106489764,free_1_item_support_Semantic_CMR,0.659535486213522,0.14857814538382746,0.9259518703144658,0.6186366932949285,0.5419456951636317,0.6295972710582387,0.08131080534467044,0.20863764090546527,12.104607992200442,1.866248114851686,0.008950863006561338,0.22717858959649373,5.693211851490112,0.19240467029258512,0.47422767452553494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8,219.7872108231498,free_1_item_support_Semantic_CMR,0.7607773816736256,0.09594189882390097,0.5900890007701756,0.4311997708766102,0.8243056930738462,0.2804340726581243,0.27028494238445405,0.41546247693310145,70.89319492137382,0.019436964729010242,0.05879956389045493,0.10660602580651712,1.4420546537100587,0.4856345796283803,3.3758261545202117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
