subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
23,8,199.0900412808725,free_stop_probability_growth_Semantic_CMR,0.9191889621155023,0.0398612631551567,0.8797144495049953,0.4305787789254013,0.7092175011465978,0.7696782473800566,29.18127881162189,48.07373766654002,0.03935529803377913,0.3772402629167164,0.17181152899858976,3.195467734491715,0.1759850927203881,0.4392802338771249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,180.99112384985364,free_stop_probability_growth_Semantic_CMR,0.7316487399852796,0.1634077282853202,0.5252190808443825,0.04036669396808337,0.6513076353225387,0.5382256479218082,0.11210812183281436,80.04208246980338,0.00564336654850184,0.7427267708352701,0.3878642236427669,1.7744106796897345,0.16117781889519797,0.3862961906926922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,255.79248926670496,free_stop_probability_growth_Semantic_CMR,0.2658685132783466,0.386556526453698,0.22137371549136198,0.6936628683150783,0.33989424423402226,0.5966936957013353,2.6033095068697207,18.31527954414526,0.003393352381861836,0.5229599310745048,0.3164144115766456,3.2275489190500184,0.44449736308289045,5.348342093005591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,286.880720829109,free_stop_probability_growth_Semantic_CMR,0.6705213439360717,0.004306324568810416,0.8983477412940495,0.17029397793633766,0.18940901088748602,0.4462148150321428,1.3966277778722755,61.89779018969741,0.004245124460039884,0.4111497653928309,0.28346097545421767,3.0838770969937435,0.10436887724271093,1.0928274157061404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,337.2514912832147,free_stop_probability_growth_Semantic_CMR,0.7264479641851387,0.1608150938583589,0.7959482221164853,0.4988128713022863,0.7760931747904108,0.9402700789750228,4.893124862065655,38.122674606614794,0.0004936258086218892,0.41191433668765853,0.3231672839683757,7.81450383506955,0.672667062830956,1.0757239431033252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,258.57964030717335,free_stop_probability_growth_Semantic_CMR,0.7505431940405917,0.5817667836000863,0.7996367753007779,0.5012530583931627,0.7691479472022583,0.49244940035632473,1.3108103213626805,77.65230798134061,0.026687783684097244,0.2320244812772394,0.0847524278298959,8.958820401195549,0.8608622501765135,0.1487873002378839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,253.46008242224707,free_stop_probability_growth_Semantic_CMR,0.9544019647322431,0.13411842802246562,0.926405484807991,0.4447763006138832,0.7766876538911213,0.44308044784533596,4.344081863669298,13.424962725623454,0.012772928192762918,0.2655281751323028,0.23590607931497973,4.275480216767902,0.02657513762614546,0.2143013874881057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,264.6541130730563,free_stop_probability_growth_Semantic_CMR,0.5010664066418329,0.6481601268273935,0.7859393809978173,0.7622508296752686,0.19160758900743896,0.5952197579347623,6.13613589352304,91.60220610763265,0.007015380838374552,0.3242356432396596,0.3274351286558099,2.999411188726296,0.625787153361685,3.2034627678790413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,270.7605746637821,free_stop_probability_growth_Semantic_CMR,0.42261527088525686,0.08324692384582427,0.010299818649620929,0.40015350681373835,0.686185877562918,0.6538822975598637,1.2799420348323238,61.16162255896397,0.0004071920201755286,0.5455527212910258,0.6610471606654889,2.68795980312544,0.829933577794838,2.2996775886346423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,226.8252778316028,free_stop_probability_growth_Semantic_CMR,0.49210847471531904,0.030103909373245474,0.13505335423841308,0.007149362176532392,0.9945765465464877,0.6009732264457011,3.4916006699747015,78.2693232166274,0.01390984935318118,0.34493820089748883,0.32566098970616597,1.8339922896915182,0.36412915635575205,0.30859803925084606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,312.79986687108897,free_stop_probability_growth_Semantic_CMR,0.8423218285344722,0.6301037806258754,0.845344114312818,0.6944682188502683,0.5562577459140435,0.8394044406067411,0.1554556582641169,30.641902686859723,0.0006869224492331294,0.48298896215318443,0.3713989724764053,4.898369579199539,0.7229496023285004,1.1282119559898423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,198.76043905285573,free_stop_probability_growth_Semantic_CMR,0.5502405553335382,0.07651492815938021,0.11998786199167433,0.01793316178176818,0.6089067040173459,0.5051950654843517,0.9021608743957117,56.71256943440169,0.004025904903978972,0.621795237337686,0.5462272886962865,1.9103732190816043,0.6515282066097281,0.36150798309496057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,282.0692354353775,free_stop_probability_growth_Semantic_CMR,0.561888482467537,0.6255248356364489,0.8377418016454126,0.9817979640733623,0.5262544911500604,0.41334838090238335,5.7074417965202215,0.24985430224974436,0.016634169655316056,0.18329353563911166,0.16413457750532778,3.6321010120560047,0.8481098733068724,1.732818486834311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.1825989707005,free_stop_probability_growth_Semantic_CMR,0.5455303412808767,0.29140011933724685,0.1236995032626151,0.4927098868620151,0.9138134988923554,0.2501001517668883,10.661714592711828,22.24895219458301,0.001495436495944656,0.5530891628721176,0.5825799850855827,2.175776627723313,0.4091790121845948,3.1554340536618417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
