subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,1_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,95.50049292777025,free_1_primacy_scale_Semantic_CMR,0.5524399765292372,0.029396529510189506,0.3420795161714042,0.9070202888600745,0.029231957375308315,0.3242780116065208,0.607560387555819,0.45498467030422773,0.0541490802968525,1.017408613359315,0.002989694693047773,0.6384085209841652,9.754593015353414,0.9780295961207929,1.551569412811606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,216.09508710062417,free_1_primacy_scale_Semantic_CMR,0.7235914496524284,0.06717483066845725,0.466952723275599,0.9623341205053033,0.12091440780618762,0.86050240778462,0.11734015970740042,7.10955602786796,89.52148093578853,0.7574518174342373,0.014876722053315639,0.2317926586886161,2.9341638072956986,0.11722465360184192,4.650035179232205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.73834554488303,free_1_primacy_scale_Semantic_CMR,0.6758189021733555,0.23910457345327513,0.96288217933905,0.6896901007940749,0.9326796660919853,0.809341212084605,0.9187531345431673,19.93210527986882,14.225779371886746,0.883171927758502,0.06339192454778006,0.07929847441782466,3.630812360090801,0.39344952503847586,4.1973433947760626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,350.6382090087337,free_1_primacy_scale_Semantic_CMR,0.940694945750448,0.0059183626686123425,0.6278270845250271,0.9008656675757256,0.5117364202024943,0.25707744902659924,0.5687522983693971,29.954634286478576,85.99592411473148,70.63618678311454,0.0018465684181001585,0.3046573964056618,2.100084001243725,0.02001182679104796,7.33443463024445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.7613326512094,free_1_primacy_scale_Semantic_CMR,0.5168157340675666,0.06456510024612233,0.2832616067099103,0.5576967559630123,0.16643306987539513,0.37358308484734953,0.8044694900328913,18.062534408548007,6.159708324602661,19.36241668990591,0.05323946909467747,0.19332262932860367,2.246110668995872,0.0231364924040256,5.024037438889789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,272.0286149023415,free_1_primacy_scale_Semantic_CMR,0.839666194119792,0.06740282060961572,0.37046471689204047,0.950710682827117,0.39104691524615626,0.6093686334048718,0.23860240528594956,13.727443085959678,21.933260264687643,99.16527182206772,0.018746919463043354,0.19301625510640275,5.301793624970379,0.14307848404389734,0.24967684405648782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.25960740353088,free_1_primacy_scale_Semantic_CMR,0.6654504079614904,0.04405090965039271,0.12780411289473054,0.21776759620117392,0.08723298706100252,0.32465791850339454,0.9283116255171857,1.7527634755670078,5.5120012515778996,14.822893989764133,0.015084700555673736,0.23331247754690754,2.7163637333913986,0.08443157732936796,0.521107724091971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,269.64517207166705,free_1_primacy_scale_Semantic_CMR,0.5520735893008231,0.20680114566543178,0.6929120896234212,0.9902629388361921,0.39250803994078626,0.9802788137821907,0.4181534287429563,8.002696639254793,24.762118991985442,57.43525578508505,0.0287483231303976,0.15513954268025199,1.7425236820892174,0.5927092978192379,7.958347729346201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,269.8461331106659,free_1_primacy_scale_Semantic_CMR,0.6585374307561315,0.00548775307768945,0.4622081158036738,0.8727369994174103,0.5904405901241878,0.7188774585072782,0.18231210939084092,9.610478059390786,14.314528267923166,41.01601966517561,0.008134402717712097,0.30672765682443526,2.628581844283999,0.0728380047845349,1.3408029023642594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,299.29955158774766,free_1_primacy_scale_Semantic_CMR,0.6502303581631272,0.043865116371149926,0.3733331760149071,0.30210973723112955,0.3707626895485984,0.7432449480327376,0.351151137489655,36.60293543253158,45.119283282222625,47.569828590662794,0.0021809320182227254,0.38778144803009873,3.0276790710955503,0.11947007666939141,0.70194248558066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,287.96964507152927,free_1_primacy_scale_Semantic_CMR,0.8570829762208592,0.4524497991550009,0.17141144496414162,0.8588440330750771,0.2137008725583831,0.8271666452596056,0.544041154396435,26.081095042056322,61.53307149590906,0.13665553311794554,0.03249068809430039,0.103272794819385,1.337288052676219,0.3223875783907838,8.95380480075909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,201.94195464215375,free_1_primacy_scale_Semantic_CMR,0.7973858108882457,0.01080493977954261,0.8467200672005113,0.7048618498628278,0.1755610550057703,0.2874668030056401,0.7868199564909355,57.82676840217401,15.426793288951082,68.09293451157036,0.022197004215225802,0.3103931269783038,1.3809360262954398,0.07060739610904238,1.1059173176537596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,184.46551771530574,free_1_primacy_scale_Semantic_CMR,0.8088364135482247,0.028517597719759646,0.3016272633440471,0.6738859933538909,0.20517025297692298,0.9473899357230349,0.3784570807405256,12.013609023648634,1.2362106952781389,74.51242011885421,0.030569998324261327,0.24578030186202504,2.0627701734295294,0.014296203776500094,0.12393996593494272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
