subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
14,8,302.7760690596357,free_2_start_drift_rate_Semantic_CMR,0.7854199313239479,0.9564256196610195,0.5776068505129757,0.4582452217758325,0.9699480357498682,0.6433358850367847,0.7275797581145197,0.8299956108188773,2.9851785755077174,53.808736697158906,0.006277442399658717,0.22222054618139975,0.13845805717381765,3.190833004178426,0.45752308690377974,3.0294794368615694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,334.57108340850334,free_2_start_drift_rate_Semantic_CMR,0.6204376842046022,0.10245409479975509,0.8035556998088869,0.11126313891546764,0.8875846498264397,0.4549222295485441,0.24129247013812608,0.9219412316066832,0.32429383247643845,70.38338732586513,0.0032769300044027637,0.367694355908834,0.24765315376583147,6.737873675614052,0.7934342509624583,0.6414049687161837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,175.112153298519,free_2_start_drift_rate_Semantic_CMR,0.4490716374168569,0.04085002737956095,0.11263283300794297,0.2118650817663223,0.9698600797933546,0.0069710584713499335,0.7031141761112202,0.8875922486371088,6.614171522846149,58.03259734670068,0.048537492930508686,0.14416689921692782,0.19257406384828535,1.9418172286159434,0.4593462220040411,2.819296568034777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,269.7736254249904,free_2_start_drift_rate_Semantic_CMR,0.8683557635077274,0.02644663816953537,0.10435989317165789,0.25919336260074116,0.950573019653018,0.7350101644208823,0.25712622997009266,0.8181358320061344,9.94825298103524,90.37414510064855,0.0009646753639228005,0.4451210922449558,0.38313091319184,9.091756835762288,0.07480995041270747,0.2609524118976168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,242.95834324639873,free_2_start_drift_rate_Semantic_CMR,0.7447904069571866,0.0668592162116654,0.06653880463260431,0.2844442934062973,0.508210194953786,0.061790573832740114,0.8300637788775367,0.7742514132771962,5.34386323810952,39.404266722424666,0.00972207500507083,0.2782190952756691,0.27282273611823893,2.4020653293235443,0.1363769768468755,0.6703723439402758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,265.1317923573255,free_2_start_drift_rate_Semantic_CMR,0.4396284573403699,0.08386044021231392,0.2360544676358876,0.6570645450623392,0.9816748186840076,0.0635788350173922,0.08883670159089668,0.7378879591201758,2.9031646694466318,34.129275909690726,0.010985703884504316,0.33664890409160453,0.22099179605289265,1.5851975113227743,0.3001849236159163,1.0604908222171994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,261.34274585155043,free_2_start_drift_rate_Semantic_CMR,0.6188122152979714,0.1410859775925784,0.569586200111913,0.33745187023340806,0.9325306107775129,0.8203031999054244,0.5044072937214608,0.5745856046467704,0.11876149951286408,70.18173871174648,0.007279976939281285,0.2728243179390937,0.2627667156657729,8.17058327355026,0.4702329904262555,0.5731915706843154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,294.6323808583029,free_2_start_drift_rate_Semantic_CMR,0.4063324863385664,0.08549643318789546,0.3939850442751188,0.8146514287392008,0.8020534388236813,0.07375418252512517,0.7683949510326938,0.9471362638931944,4.31169622387354,70.80949116691544,0.0003916576276501438,0.5624773348839796,0.47084502870373335,3.4477060330676923,0.1692011192304425,0.6141076151847455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,267.79131441040306,free_2_start_drift_rate_Semantic_CMR,0.6620802330533311,0.7942217570105085,0.9715541910561301,0.31296082100595535,0.9505829015142632,0.2636736434795843,0.31990092204214227,0.34960008474854926,0.4230004672079346,20.196763468078217,0.010558544909994638,0.27536513764003523,0.16860087395027268,4.162200103263151,0.02232201927867633,0.2751267885187145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,197.3694938001684,free_2_start_drift_rate_Semantic_CMR,0.9791337022368268,0.5231483092265327,0.3093694116454597,0.35469380258466576,0.9490665533348038,0.1456621745410463,0.30653576474493105,0.7280639898920181,4.817606411075481,24.87471860028725,0.003549441881328108,0.71588759474486,0.41475813498302827,2.3158395839498525,0.30858629310332586,0.19927374051006996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,181.8544736121711,free_2_start_drift_rate_Semantic_CMR,0.8570717941676473,0.5565222788448091,0.1747799515968869,0.528277140332196,0.6920986387155621,0.09827117966723538,0.9510027393866678,0.3044246068629843,0.23203292487956031,65.56057390375538,0.007758085069021639,0.6879943297975519,0.3401405704005964,1.807119376859352,0.008156023478138732,0.5506345919466307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,254.92590671966326,free_2_start_drift_rate_Semantic_CMR,0.4377844575973351,0.5231311133151144,0.6345067214592137,0.36396350392354626,0.8379167988978404,0.2005354929290039,0.05128190088910184,0.3198439248582995,0.7994593331860003,47.57219846667737,0.006781413785591717,0.4774447139135791,0.2672434284760792,1.9026596142511205,0.902296019584816,2.638549595119559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
