subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
14,8,303.10766867482073,free_2_choice_sensitivity_Semantic_CMR,0.5809723084755194,0.8742117009018069,0.4245868184182222,0.2662544939654634,0.33829706524943903,0.6780755572126399,0.9246011030011883,0.34349707514993355,53.88309590484741,0.018664860315991683,0.1312031281503696,0.12516940470579208,4.356214458070923,5.213667018425888,0.6359134643869782,1.1267821622578467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,334.2302302909162,free_2_choice_sensitivity_Semantic_CMR,0.5790963641556065,0.3222272126837378,0.19540234148568492,0.9562471037528572,0.4221746325011908,0.5482044209181755,0.7444172952077506,0.48216732499512116,0.4178705338253283,0.0014185575878528395,0.4343977145534383,0.29636126456771095,4.941646647823346,5.187944920586726,0.23664006006480712,0.6728699959585389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,173.83221908137722,free_2_choice_sensitivity_Semantic_CMR,0.4058407719259969,0.03565924890690453,0.29537205187031657,0.7687570961773699,0.02378510707412007,0.7267515324454845,0.9764040022742512,4.218222787163889,87.86062137241063,0.029732664333901038,0.20316104420270076,0.2166325634782531,2.5560095417953486,4.080774357974164,0.5660584759494399,1.03951399396896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,270.57350457313123,free_2_choice_sensitivity_Semantic_CMR,0.8355792045368329,0.03918955732326673,0.16139328356735222,0.9580290329090333,0.5372748769772546,0.41262425463485247,0.3963597729385823,9.781906730475285,6.418173966731025,0.002183869302775865,0.44227359193308224,0.3212234705293868,5.229387541656311,7.526763073094784,0.3674019819709627,0.2369425772903302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.8517668054028,free_2_choice_sensitivity_Semantic_CMR,0.6420690072633211,0.003970789160706201,0.4623832075805714,0.3086268070075182,0.16816509665928203,0.6707687761173372,0.5209150979592798,4.126106322092447,24.619608606706844,0.01926973622756073,0.2402126018388051,0.19449516853244742,2.6360161496932086,3.8836788781876814,0.06737762402125452,0.6735486501123349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,264.18416934346175,free_2_choice_sensitivity_Semantic_CMR,0.6251184439752298,0.08724307943414322,0.14407366347416412,0.9928193378549692,0.33682469156732175,0.50741957820424,0.6777156693051902,0.46889081603048055,61.93637757124147,0.011708890829587815,0.396600873810403,0.20645804797709477,3.201183998573498,2.2705804019100406,0.6692191622399734,0.4002017225816683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,268.07814605208796,free_2_choice_sensitivity_Semantic_CMR,0.5030887847089642,0.2612514108265511,0.7974041321455576,0.9639654001060834,0.218001578352512,0.46150882297790585,0.7968095034226702,1.0675272438480334,39.0606378912668,0.010605005386266741,0.21750286115627837,0.1692155307128127,2.4891467258885456,3.7642506034079664,0.1781096493380786,0.6654677526290174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,297.80683211028133,free_2_choice_sensitivity_Semantic_CMR,0.4784047526724011,0.2502216178710858,0.508643558574449,0.5654577946569515,0.477683821369942,0.7986462439771083,0.8888605148707437,4.441224267334896,43.41549849296109,0.002501404613953063,0.368822005765112,0.34599745689846806,7.79541037129181,7.710746134707623,0.06253136544567357,0.5805778490599188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,270.8583937169914,free_2_choice_sensitivity_Semantic_CMR,0.714881986325797,0.8351290307902384,0.6081999007192068,0.9439666268090924,0.5597011057996369,0.2727442573034169,0.576349152566866,0.037942396634463194,5.374935542723591,0.009876445494920949,0.3107047900467945,0.15774175706314253,8.033896467855865,5.992110251515004,0.04172013466228952,0.34287836136011585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,198.60003436859927,free_2_choice_sensitivity_Semantic_CMR,0.786155952739819,0.08245951962482384,0.8290811488004914,0.2597829537503944,0.7625550015199208,0.802204125887449,0.5359668239307869,13.262249696989109,94.0697932862335,0.008444067516057752,0.5758593062358326,0.3447629997202464,4.725372490389697,4.067332645729328,0.03094059755933065,0.7869207070407827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
