subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,100.34714674036307,free_start_drift_rate_Semantic_CMR,0.45173211041791717,0.08149160779348158,0.259848584521522,0.8196517417699996,0.02351251211229305,0.2122291333765352,0.7959290308151902,0.08996741197250202,21.04460994546955,0.006468936311300411,0.5311857888918574,9.497660989081188,0.9769039280325296,2.0712888755257337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,225.81529260817015,free_start_drift_rate_Semantic_CMR,0.7121739359342225,0.17830481535877946,0.970619645495892,0.8644017191667155,0.5681002408617086,0.9642179542107603,0.8060257905415988,1.0181738068041497,75.07713912973348,0.03775752834690427,0.15754922403384608,4.295864633928164,0.15332596688025973,2.298069724444204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.96309638708965,free_start_drift_rate_Semantic_CMR,0.763887698578372,0.8480119811281934,0.26741020596060067,0.850156309520036,0.9081994649754761,0.015995254018620564,0.5951923503314562,6.229974298846265,58.085465029788466,0.02832821506947608,0.10287035910704034,3.3374680261688896,0.7671655509828371,3.4748624050687638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,345.17077447159176,free_start_drift_rate_Semantic_CMR,0.792005670433513,0.49231168476063286,0.12192804404149193,0.7329069197578633,0.07817268038812336,0.7414920158074242,0.485022288170904,0.8175088276195766,65.67069894694284,0.009051853900103712,0.20510997001224673,2.7620620949941532,0.8490383386871567,0.6880679523844799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.37862607703917,free_start_drift_rate_Semantic_CMR,0.5996324663976176,0.21547459905154653,0.03069126660916799,0.7097097634720019,0.07216175255111595,0.5627380174966676,0.5666332895536803,7.872843479491685,18.20524181251235,0.03205514234826656,0.2592659080234778,2.107473294917937,0.2926551623639434,2.6044260687555196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,278.75434684563174,free_start_drift_rate_Semantic_CMR,0.6543918420571548,0.18585668824823398,0.3436991769477049,0.9296771695793453,0.34778006024355373,0.464130192773533,0.3956421581152115,4.147929540670468,56.17990277045124,0.007953784550043586,0.2502288099943826,4.040496923260471,0.01721450018541193,0.34248883517490647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.16822866343304,free_start_drift_rate_Semantic_CMR,0.7364818902483738,0.6484859511943777,0.1894214926537211,0.3926364985434289,0.007211557447607653,0.8599067938786353,0.6253751926175011,0.6077337955815736,47.11676300522454,0.016882842730492398,0.2508250525725817,2.2312920698548244,0.23053451567856398,0.8294368290633711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,266.9632845679015,free_start_drift_rate_Semantic_CMR,0.6153860153342909,0.023504669964996783,0.3790282065772898,0.7587574305332556,0.5782452709870529,0.2440968182890168,0.9091325808231954,1.830319038161356,30.584203932258458,0.0307945745509407,0.13897759842220037,4.132816751943889,0.03911021990497954,0.9090630806450628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,265.04662945543186,free_start_drift_rate_Semantic_CMR,0.7799098130163811,0.03932750688119546,0.6888387592519766,0.3787357018650943,0.0742162449177885,0.23495136001291117,0.42590650277436914,0.32555546818520753,78.06597650345076,0.009469821686949986,0.2770218111310765,4.827575485749229,0.9215668510246193,0.1692559692853166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,301.4206073203179,free_start_drift_rate_Semantic_CMR,0.48548374086914375,0.10316730894366416,0.2018702243059699,0.9234629397751564,0.08247604192492569,0.8227036549845075,0.5724105236501021,9.609991177511652,67.11280252588651,0.017395410130710665,0.2134705779868371,2.0841747421119807,0.3651955332854415,0.671276905132185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
