subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_delay_drift_rate,1_semantic_scale
19,8,269.312877547362,free_choice_sensitivity_Semantic_CMR,0.6431109978112415,0.08728036253349658,0.7540178388951008,0.7676269006521114,0.039634110711903814,0.7401983939605967,18.97969078054254,31.093473022578245,0.027131073971523922,0.16064904132808078,0.9912187689989143,2.4314311741037002,0.34628114808934546,2.672866108719043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,269.14168911756485,free_choice_sensitivity_Semantic_CMR,0.4785269214633835,0.25821709456609176,0.33159493062989587,0.30994255845419905,0.5223005093635823,0.4209623544289484,1.4283533851986476,91.41181521595678,0.0075621025117592056,0.2956861276815923,3.8412841671140274,3.9394496410220494,0.31433173116206004,1.216515388032592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,302.1514448335359,free_choice_sensitivity_Semantic_CMR,0.5424431875300942,0.07515932443587264,0.5102760585153023,0.03174907951421557,0.7783499513160428,0.9562231184574326,19.098917165499866,45.835394191653705,0.010826120585793408,0.24963506989142825,2.8551379938431025,2.245026515877165,0.16945796753701264,0.7089299383848049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,275.8595077018705,free_choice_sensitivity_Semantic_CMR,0.7110778664055982,0.8646118235549631,0.8186925320427638,0.23814557738745817,0.1364507940309369,0.28591636808376764,0.8181565113330151,67.23768713306782,0.029754619698704687,0.11352303922081042,3.2384814438593637,3.851927602437834,0.12771714073445434,0.19979247145720969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,203.96318633795158,free_choice_sensitivity_Semantic_CMR,0.9215230342956982,0.730395517344913,0.6834815912990516,0.7153610505248202,0.7227664320290729,0.1575156609160419,44.5121936569043,0.02003039500170445,0.024330189567518867,0.3027858044658238,1.6762694827046811,2.3303337891955085,0.5117526072022927,8.821821876592477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,184.9929874626528,free_choice_sensitivity_Semantic_CMR,0.7242330845010239,0.08125542595201318,0.5212755744623342,0.8204863288181161,0.9239240622140852,0.7056175302321654,0.022781688372788267,0.7634354580967297,0.05237281446039843,0.20199089213326982,7.437880641774268,6.865551654352773,0.01214148636247736,0.31630423818095554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,256.39641655552293,free_choice_sensitivity_Semantic_CMR,0.26796662414754624,0.9623018435371763,0.4882649861752245,0.6057435439625022,0.5378165268686619,0.675889259479267,1.867413763342519,58.057127941787314,0.01114608487051949,0.2530897089316122,0.25400126385346766,2.9588422762791753,0.8700662253351046,6.191647822756804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,289.5202028455983,free_choice_sensitivity_Semantic_CMR,0.8102408356217793,0.07423888911580184,0.7417336325294845,0.6703557739095191,0.7868323396668209,0.42088428120795174,2.939298765022322,86.73126889976541,0.013208684306330709,0.22425746431250904,5.482080420002266,7.741265214204578,0.24661910274649512,0.8159047111359943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,341.1651653380061,free_choice_sensitivity_Semantic_CMR,0.6521528101100889,0.6022407896093043,0.8339842455797335,0.5590726052035125,0.7040781596025515,0.6685053628998135,2.051105657499221,76.54332255417134,0.00550013315408715,0.19135556853081148,7.778108659440259,8.052357129173402,0.1555993451644806,1.0956314684404775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,261.7578839253144,free_choice_sensitivity_Semantic_CMR,0.8154896980619528,0.2476980675211063,0.8123056637044771,0.3215186631995933,0.27417687663803814,0.6632343320065922,4.430094842805566,28.350800200689264,0.05418673762522619,0.04515658968351577,3.825756418275686,8.144993426698235,0.8905519372323047,0.09415119204871214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
