subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,96.20979868420855,free_recall_drift_rate_Semantic_CMR,0.5008294829935394,0.020457622977736678,0.31963532628841407,0.9662566965422571,0.02110243428801839,0.5088335146401892,0.7421943575312929,0.08195147055725727,41.78841801333558,0.005535750765482683,0.5652937823796087,9.982634034444988,0.9569225838079559,1.64297123214737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,230.04856364096736,free_recall_drift_rate_Semantic_CMR,0.7474996740368397,0.6421367330881831,0.5821254824103979,0.8064585161351994,0.22463655176093678,0.6822944758830373,0.07543738087082663,1.7933531403091791,39.54140078804616,0.021495135681738275,0.19946362905425907,2.988083877270892,0.028107060846901677,2.8498321310046015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.8954724725319,free_recall_drift_rate_Semantic_CMR,0.3782233117350236,0.857668781291721,0.3919306089257622,0.9687750093931307,0.9626453915716489,0.5455780490619107,0.5568030944190676,1.867179907470991,30.5324422503173,0.011899456147679843,0.14909311917051493,5.112037165843759,0.8250005216599465,2.07222046114316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,338.1511082575713,free_recall_drift_rate_Semantic_CMR,0.7029877310579626,0.31433176215541336,0.19479623536238588,0.8513819449416498,0.5539275927122633,0.8779267877988433,0.9235736108191892,0.5569216896087994,48.888669792280616,0.004813978713343547,0.24359704865075482,7.390544884618926,0.42962639630690225,0.5834747527162722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,174.62744981080147,free_recall_drift_rate_Semantic_CMR,0.4238545012145599,0.24988377248971638,0.5192633662226696,0.8989468442949606,0.08153864008993411,0.5034806441614372,0.7686676407251983,2.8391322223137365,76.610671375939,0.020985364140473084,0.2898073815429596,2.9470891215116546,0.3080018653393656,1.4705686566752108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,275.212386150764,free_recall_drift_rate_Semantic_CMR,0.776729747867799,0.09289397408808175,0.45650297345798424,0.9785024067101409,0.11815516989105945,0.2735030393154533,0.1546805474828264,7.481729077685408,48.651482731471354,0.011440290968613875,0.24583807019816017,3.1271452418672174,0.18229801458747946,0.25477316283461793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.6077450307231,free_recall_drift_rate_Semantic_CMR,0.8074870655059984,0.20023487974904414,0.3057078651482379,0.35462582926100555,0.05093306989602625,0.5739780859339101,0.5056914804305647,1.507679172092196,52.38739604411104,0.021430691241436706,0.1981303090583122,2.0150612109814197,0.012854126968404544,0.524699548057602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.521704997687,free_recall_drift_rate_Semantic_CMR,0.5883848313013222,0.5405951389356258,0.7243763642251434,0.9515225302969373,0.8864338347372365,0.6423056618521996,0.7010126004366967,1.003405452633281,93.7152909809262,0.029635620134899454,0.1350368115169962,4.001426948085166,0.2956941634502698,1.176941096827334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,265.97686808713337,free_recall_drift_rate_Semantic_CMR,0.8180893335326618,0.24473960055973226,0.7483574396624055,0.9923665856462368,0.5670887563050931,0.9271086989271751,0.8286215824391558,1.661711694046332,84.52198900614552,0.021835725195616384,0.2396248471369402,3.7054835452580126,0.23372477132604763,0.36970799280018785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,300.4829617613801,free_recall_drift_rate_Semantic_CMR,0.5908398123737435,0.1335018844854693,0.9610332915007692,0.859832677083874,0.11715713612978051,0.4941044473773524,0.8961970754975128,15.95052845929684,56.08438799995294,0.0023458703580373497,0.36628864646908266,1.947999652395187,0.4504451999586018,0.36543526578302377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
