subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,1_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
14,8,305.24744905990815,free_1_learning_rate_Semantic_CMR,0.7242200926238459,0.8837824043360907,0.3084676108890063,0.9794892918351653,0.8722440514508079,0.6891288846305266,0.6571048238985403,0.6346003359718002,2.729179972449927,83.91627507503102,0.02358948852845555,0.10683981897343031,2.7764440817555758,0.5026547113202479,4.615630956609753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,339.58827231231476,free_1_learning_rate_Semantic_CMR,0.5707236738068007,0.24510614082819593,0.11679390203654383,0.9034460785389336,0.7038207906121479,0.9007161685844842,0.957114414148922,0.7635363470090899,0.8013357895863891,68.44060039734109,0.0037950773965376716,0.24475094100339234,7.565033807822534,0.38104465000902327,0.9382268188355356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,173.46156256376676,free_1_learning_rate_Semantic_CMR,0.41297605528392695,0.03071324329300762,0.30548522329410055,0.7805215332942071,0.04636404463340693,0.7199160211989626,0.4592010399121955,0.6822097915573276,7.080950131624029,68.63405732987316,0.035531482253540525,0.21468599866903215,2.3279718666895577,0.06877726543253854,1.8425674789421356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,272.3099833621077,free_1_learning_rate_Semantic_CMR,0.795473117093691,0.184801579325066,0.4285628101192907,0.9526812378795763,0.7551953192193784,0.3673966120295262,0.5004037852414638,0.6520939201572569,4.427152035197945,20.97744485080051,0.004024308911570209,0.29153016532045956,8.533820031471295,0.011894317113419288,0.3739894916502243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,242.89015775859423,free_1_learning_rate_Semantic_CMR,0.7488940380731011,0.08230319332437869,0.41559465002067686,0.3088737628991385,0.3044835875287789,0.750886814132496,0.6433986304982358,0.4686543065243173,4.734679864608459,46.467705777352464,0.007467835835145764,0.28684022600355963,3.808308998466381,0.047890439069040835,0.5022633966078205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,266.5827311561409,free_1_learning_rate_Semantic_CMR,0.7533990271019109,0.11188409874184008,0.5164543140165486,0.7588671676948421,0.8783983783083229,0.15557615931824226,0.7339223491279253,0.7828256970634998,4.524446270096227,4.391892850723082,0.028331142513613794,0.12831282353498086,8.330346648532922,0.10237028178145097,0.5737144386790352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,261.70535981710464,free_1_learning_rate_Semantic_CMR,0.6325937750429105,0.32381921012899406,0.6161500551471708,0.98806524085114,0.2668324858222375,0.4162116586221923,0.5734337878253493,0.7733416365238914,0.06253159608060344,71.867785562694,0.019744894770158394,0.2171438560811616,5.072404646256969,0.9219627734189795,0.45174696069303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,298.3014225786927,free_1_learning_rate_Semantic_CMR,0.5715809538826391,0.14037981887544337,0.6282848846820044,0.5977943504471946,0.34178099833933284,0.7763960049481929,0.9628111592678141,0.9339248148610443,9.677461090114,93.05824844386919,0.0057028758779678985,0.2961955186340492,5.116019180596682,0.028631436183459088,0.39226708963996837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,271.51008453205776,free_1_learning_rate_Semantic_CMR,0.6718858178791175,0.8671289178106492,0.606691710544912,0.977724929568929,0.14331892971527577,0.4107021867951542,0.05819508715831856,0.19772559123239886,0.5411665347816736,98.23705147726075,0.009800714962217627,0.21198915675440322,3.2127179009535607,0.175416862143904,0.207128517008762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,203.58248607987866,free_1_learning_rate_Semantic_CMR,0.8838062004948999,0.3247886125043855,0.20433652911707484,0.2568932162390871,0.07575281415745394,0.7496806274682729,0.6446152654991479,0.09266233619070524,9.03449500194344,53.91154282640219,0.018165792956218008,0.2986741949003848,1.4622334161685533,0.6815156590905754,3.269762893539429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,184.52443007235138,free_1_learning_rate_Semantic_CMR,0.6538417376338055,0.0870438288750433,0.001282423023299284,0.47880407382461904,0.11480795932957616,0.6411798459279998,0.5053904745447992,0.9149631055326211,0.9695596228890224,40.59463515513434,0.04900823143780508,0.18297277080518626,2.536583917232453,0.2079811008573187,0.21490551828536208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,255.15996955157203,free_1_learning_rate_Semantic_CMR,0.34656048720597527,0.5909475279260148,0.23259105346662057,0.9830313522062654,0.581959820458261,0.5869033077831555,0.5380369442473772,0.23423267018391974,1.7630479655638354,84.71569550052436,0.015667376467421223,0.2423516041123115,4.530077177164854,0.5394464815249796,0.8857166259402369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,289.98062410511636,free_1_learning_rate_Semantic_CMR,0.780924921603364,0.04555333896818703,0.8039019095084754,0.5724993021689734,0.03731289917753966,0.5448373308254981,0.19529032607785501,0.33515487581368564,1.6317127014046449,74.71370999051841,0.010316475095908884,0.20687403059533072,2.416832094226402,0.43689550371441654,1.2968738480651139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,341.08705031375024,free_1_learning_rate_Semantic_CMR,0.7760919586385115,0.20979985755606112,0.8271249699264942,0.9171376785820575,0.6048350753894464,0.5954091275433258,0.7940697688504664,0.8238004728431483,3.7546153863479503,67.79205866156909,0.007557529778600136,0.18843485541784588,8.671332998727731,0.4920778499583567,0.6912597976937089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,260.850480627372,free_1_learning_rate_Semantic_CMR,0.7831217494019131,0.6488305866253501,0.6290421885446924,0.8088011144301557,0.4042146340421963,0.6497429674446,0.009428633386860508,0.542763127756497,0.9640479240386952,80.47487617146606,0.044208373920496424,0.03190946368332703,8.02214933270336,0.7759307901817585,0.1546724356527598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,249.71988133844698,free_1_learning_rate_Semantic_CMR,0.8107760251739707,0.015591745458096162,0.26243237319949464,0.9109799465175836,0.43232927516583897,0.7530893885600297,0.7759709885311855,0.2556131664202374,2.908201180983589,62.40538931226966,0.008261350482611896,0.27538327940123253,4.642243762410729,0.011987580974731238,0.49823205524956915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,262.94000257763275,free_1_learning_rate_Semantic_CMR,0.6360925893626972,0.20413361412056236,0.2790559520447975,0.5200268622218206,0.641400962241939,0.5020767724485661,0.8776678318974696,0.5467909391828425,13.913983031733956,61.95109732873293,0.002515896031053455,0.40766838703804265,3.253458459077061,0.13186414511270922,4.340549520291011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,273.25819006192853,free_1_learning_rate_Semantic_CMR,0.39435359414699883,0.3049710178443875,0.7082470860807791,0.13939098262344674,0.06291527333404795,0.6457084632648946,0.730242282989244,0.06784411905457349,0.774955016845162,38.792171382939166,0.005197631261107338,0.37053682438821944,2.015752274224093,0.17085619447502942,1.911115935771095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,227.71553121874925,free_1_learning_rate_Semantic_CMR,0.5875389782502043,0.09168016397343454,0.42110874347289,0.34279556316751325,0.003820516957493747,0.8561326734169059,0.5906532398620077,0.4391218100119997,0.042666244714155255,95.07632044705284,0.01669838497659587,0.3201638750627058,1.7713198596211868,0.1052137527167219,0.8444308785740962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,313.61575601071524,free_1_learning_rate_Semantic_CMR,0.7667727562639098,0.36028058041178196,0.5414757885064396,0.9310094270103149,0.660231693897824,0.6624115140928836,0.5187860028596466,0.6147834536751775,0.6896125474278065,54.49413606818651,0.002177060985412038,0.318139671171183,5.621445494209427,0.3071413288373882,1.0204920862084181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,197.91700918269544,free_1_learning_rate_Semantic_CMR,0.6648363231652817,0.01439195810862054,0.014094430432073701,0.8269323595681022,0.03791214186092107,0.9579459311504761,0.12691297567738963,0.7540232052620002,3.7800265822337877,87.79610055728227,0.005872614996173531,0.4997059506249819,1.3553763643589405,0.03632825732021294,0.26187673027374103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
