subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,98.5506050151217,free_1_start_drift_rate_Semantic_CMR,0.4243973520916462,0.12146526598583068,0.14759272106176546,0.6783610842014113,0.9864796779583712,0.03444275585806239,0.2449407250754979,0.8532892620340224,0.01580863317157366,29.681486272004786,0.006606688420537188,0.5760231080002294,9.825443975072226,0.9841214776963217,1.4331787564537288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,225.15139269430875,free_1_start_drift_rate_Semantic_CMR,0.6897115746603728,0.007800814860275951,0.9380080869610129,0.669664391076281,0.18456321061894704,0.059414320060806325,0.824065185460312,0.5297397020728436,2.3059819806614783,94.14499074549715,0.018636100429341274,0.211535705582639,2.5634602498545593,0.41085716331195316,6.824713842660653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,299.9132085104029,free_1_start_drift_rate_Semantic_CMR,0.5125534260923875,0.9402537369949293,0.45399291681388054,0.6066117986939104,0.8070802981691135,0.5936604102704823,0.24530683981146095,0.7274056082370998,0.7827795353041864,53.475584868677906,0.033632937786079786,0.09899677729566037,6.588937075369373,0.8866371356485361,1.4630042374060293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,343.4289810598643,free_1_start_drift_rate_Semantic_CMR,0.8341433774103412,0.4809231719632366,0.34682323401102655,0.09862096106619213,0.9957986275790708,0.05798254486234374,0.469857133943613,0.7618235982775808,0.5145155616469494,49.04468051514429,0.012582285573949392,0.18594501416130568,2.6240932268754404,0.489162651375646,0.4084707073432196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.74789754453934,free_1_start_drift_rate_Semantic_CMR,0.4996930601104594,0.16165914819125116,0.2683679380652093,0.6624988667175715,0.8329952648562258,0.047514906643923105,0.5213763592176055,0.9911606121099096,3.2287548119072724,78.86651690958765,0.04856642178963794,0.16626596261475335,2.5012101696214337,0.5078018381675911,3.4288555233491835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.0922788935836,free_1_start_drift_rate_Semantic_CMR,0.9544454176698135,0.06439567682472119,0.26395159035126353,0.3259830903117308,0.9768651587729275,0.568488165563676,0.5482538266703393,0.5180451732390747,4.523141619145967,25.125664158435214,0.002877614239499726,0.3434522423430515,7.9145371512472895,0.31110941451112406,0.14131829190050205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.70530243331444,free_1_start_drift_rate_Semantic_CMR,0.568304504952732,0.13808641561106988,0.3300759331543454,0.1535396761939557,0.2157836170227332,0.18743664116151096,0.7030146541855935,0.6612148833196352,1.516699401726228,97.22620992875274,0.023387467391972852,0.20234473128888641,4.698042647762212,0.3060719917355915,0.6010798726376069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,269.80926857266337,free_1_start_drift_rate_Semantic_CMR,0.6677580662124641,0.016131450148663018,0.05767666428493046,0.6810755039453057,0.5217127697113603,0.5694861760770856,0.04706273856956156,0.7157842534947662,22.931882136066694,19.20747148489255,0.021167845700356402,0.17875370430751047,1.4770954139704306,0.30156307010513483,8.384421651311225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,261.5593481464133,free_1_start_drift_rate_Semantic_CMR,0.7678957732806753,0.0751813583271152,0.29016625520363115,0.4167315238164254,0.9005124622641878,0.6781247346386288,0.9041909814076223,0.9238157661137556,0.1133677975142362,62.54962672169377,0.017347334235625067,0.2171911732647791,7.726701776896573,0.47448559545063507,0.4822830441882102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,303.42045862955763,free_1_start_drift_rate_Semantic_CMR,0.36809998330674176,0.13434417949267086,0.5239958063327916,0.5706465058629343,0.9881000880180053,0.11300255867801046,0.7402136685041759,0.6640528926374915,11.063368417567261,71.74166484295442,0.0010544166946593325,0.4142342865947022,2.0374659482711577,0.23314564671422672,0.4481227279421116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
