subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,97.4846257453435,free_item_support_Semantic_CMR,0.39701307908784383,0.161649607955554,0.9848074377205407,0.008805596202823285,0.4670764494433979,0.12109968010471911,0.7367344021757407,0.014251838761595081,55.96528493846036,0.002115363502506351,0.6979846106381347,9.695741861205757,0.9818785237743171,1.4822659062329793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,230.12466996126238,free_item_support_Semantic_CMR,0.886170881479862,0.3437071390273174,0.9670326272165637,0.12226671680976338,0.5217627447733415,0.050452964833046225,0.6465889509162857,4.739864809482447,60.69559800184272,0.044916132516343216,0.1386186168905961,2.633014486429321,0.623437549843638,1.6762818210151937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,302.9337846637,free_item_support_Semantic_CMR,0.45082819363965565,0.7038737039280192,0.6999773928491319,0.4544975070479963,0.26807711656020505,0.4457730861265402,0.9271330692329462,0.593314765061649,83.5709015839978,0.03268121823199055,0.09824786339028524,7.808228025770141,0.7740029294402571,1.1757693428886293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,345.0983278551993,free_item_support_Semantic_CMR,0.6201628501254837,0.29827713684536494,0.9378012233205071,0.736326775386817,0.010411998025764369,0.6209521383127643,0.9148871177495528,1.014160080051866,56.47148045504732,0.007064622987528912,0.19827773695982032,5.24654729301256,0.5782202548835583,0.7620632181738802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.48330733240698,free_item_support_Semantic_CMR,0.3734323261357383,0.18740741431617647,0.3512755282084928,0.06821390592607557,0.7817354616213743,0.20325284440645763,0.44022437341366105,3.1045026948540837,16.551356645491488,0.028929248985981648,0.2757357702736156,2.767746383546225,0.06546731659308797,1.4614552948095767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,279.53857526157816,free_item_support_Semantic_CMR,0.7224047172832438,0.06894139255849102,0.8919751420210968,0.5488808686416587,0.4312391981682595,0.45753911868336333,0.5136424513657792,10.193391372609263,57.28566290461022,0.025603294483868666,0.14400917473567265,6.996753979113956,0.23348624984663102,0.28606683980178804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,242.95185427721316,free_item_support_Semantic_CMR,0.6436213674266393,0.11487512547006368,0.30452992049325245,0.0708261869878935,0.6486915873880095,0.8116079516202769,0.8325248910638576,4.686288003797266,74.97949302923942,0.01906116775842953,0.21171519811715367,2.777480235312972,0.1754404207613855,0.7582892966075798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,268.31432953749976,free_item_support_Semantic_CMR,0.7522666125798525,0.3711408842685933,0.9787635894892385,0.5449385351583488,0.20764908065731102,0.8215263095312626,0.9222855292653547,4.891002017772692,96.58755708891336,0.019778834077815,0.2001329847166149,3.1199506624874616,0.11182525419918599,0.5804634836677716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,269.61632407320263,free_item_support_Semantic_CMR,0.7564497396752818,0.14136082169235448,0.8814290740328163,0.947492246257837,0.1778418095347724,0.7171471853788612,0.527950422629728,26.043268000863463,0.049665874009605204,0.019435536702711864,0.22849314511161367,1.6101600360743253,0.3964845993894988,6.768046861791014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,299.40453404434606,free_item_support_Semantic_CMR,0.4784061620280538,0.19950188227479773,0.9707510854984853,0.6681947370895398,0.14703302872038432,0.20744731804626407,0.7009642430931483,7.48511263343194,14.616025459837287,0.0005125364684826935,0.4928778657430319,4.7382997900619355,0.4631558058707373,0.5802686765182778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,273.64801295069395,free_item_support_Semantic_CMR,0.7082944980552189,0.9441386078507024,0.747325082313895,0.4690650023257113,0.9407123560594238,0.1717229834447958,0.8029919416672541,0.21716044649842559,35.575383174304555,0.008657587101865316,0.24166728620088307,6.3142964565785515,0.25988347412354107,0.4701286044700552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
