subject,list,item,input,output,study,recall,repeat,intrusion,first_input,condition,prior_list,prior_input
118,2,3,10,,True,False,0,False,10,0.0,,
118,2,3,11,,True,False,0,False,11,0.0,,
118,2,3,12,,True,False,0,False,12,0.0,,
118,2,4,13,,True,False,0,False,13,0.0,,
118,2,4,14,,True,False,0,False,14,0.0,,
118,2,4,15,,True,False,0,False,15,0.0,,
118,2,5,16,,True,False,0,False,16,0.0,,
118,2,5,17,,True,False,0,False,17,0.0,,
118,2,5,18,,True,False,0,False,18,0.0,,
118,2,6,19,,True,False,0,False,19,0.0,,
118,2,6,20,,True,False,0,False,20,0.0,,
118,2,6,21,,True,False,0,False,21,0.0,,
118,2,7,22,,True,False,0,False,22,0.0,,
118,2,7,23,,True,False,0,False,23,0.0,,
118,2,7,24,,True,False,0,False,24,0.0,,
118,2,8,25,,True,False,0,False,25,0.0,,
118,2,8,26,,True,False,0,False,26,0.0,,
118,2,8,27,,True,False,0,False,27,0.0,,
118,2,9,28,,True,False,0,False,28,0.0,,
118,2,9,29,,True,False,0,False,29,0.0,,
118,2,9,30,,True,False,0,False,30,0.0,,
118,2,10,31,,True,False,0,False,31,0.0,,
118,2,10,32,,True,False,0,False,32,0.0,,
118,2,10,33,,True,False,0,False,33,0.0,,
118,2,11,34,,True,False,0,False,34,0.0,,
118,2,11,35,,True,False,0,False,35,0.0,,
118,2,11,36,,True,False,0,False,36,0.0,,
118,2,12,37,,True,False,0,False,37,0.0,,
118,2,12,38,,True,False,0,False,38,0.0,,
118,2,12,39,,True,False,0,False,39,0.0,,
118,2,13,40,,True,False,0,False,40,0.0,,
118,2,13,41,,True,False,0,False,41,0.0,,
118,2,13,42,,True,False,0,False,42,0.0,,
118,2,14,43,,True,False,0,False,43,0.0,,
118,2,14,44,,True,False,0,False,44,0.0,,
118,2,14,45,,True,False,0,False,45,0.0,,
118,2,15,46,,True,False,0,False,46,0.0,,
118,2,15,47,,True,False,0,False,47,0.0,,
118,2,15,48,,True,False,0,False,48,0.0,,
118,2,16,49,,True,False,0,False,49,0.0,,
