index,subject,lag,prob,source,positive
2,74,-3,0.06321839080459771,data,False
3,74,-2,0.08666666666666667,data,False
4,74,-1,0.3357664233576642,data,False
5,74,0,,data,False
6,74,1,0.6313559322033898,data,True
7,74,2,0.13106796116504854,data,True
8,74,3,0.1111111111111111,data,True
9,74,4,0.10483870967741936,data,True
10,74,5,0.06481481481481481,data,True
0,75,-5,0.04838709677419355,data,False
1,75,-4,0.03007518796992481,data,False
2,75,-3,0.08695652173913043,data,False
3,75,-2,0.08148148148148149,data,False
4,75,-1,0.256198347107438,data,False
5,75,0,,data,False
6,75,1,0.42718446601941745,data,True
7,75,2,0.1,data,True
8,75,3,0.06557377049180328,data,True
9,75,4,0.07142857142857142,data,True
10,75,5,0.10909090909090909,data,True
0,76,-5,0.05555555555555555,data,False
1,76,-4,0.06951871657754011,data,False
2,76,-3,0.08421052631578947,data,False
3,76,-2,0.1111111111111111,data,False
4,76,-1,0.3668639053254438,data,False
5,76,0,,data,False
6,76,1,0.5570175438596491,data,True
7,76,2,0.16489361702127658,data,True
8,76,3,0.05732484076433121,data,True
9,76,4,0.10948905109489052,data,True
10,76,5,0.07627118644067797,data,True
0,77,-5,0.07878787878787878,data,False
1,77,-4,0.07428571428571429,data,False
2,77,-3,0.13186813186813187,data,False
3,77,-2,0.11538461538461539,data,False
4,77,-1,0.23952095808383234,data,False
5,77,0,,data,False
6,77,1,0.46808510638297873,data,True
7,77,2,0.09375,data,True
8,77,3,0.1323529411764706,data,True
9,77,4,0.10483870967741936,data,True
10,77,5,0.036036036036036036,data,True
0,79,-5,0.041666666666666664,data,False
1,79,-4,0.03260869565217391,data,False
2,79,-3,0.09230769230769231,data,False
3,79,-2,0.13756613756613756,data,False
4,79,-1,0.40229885057471265,data,False
5,79,0,,data,False
6,79,1,0.6470588235294118,data,True
7,79,2,0.11805555555555555,data,True
8,79,3,0.08264462809917356,data,True
9,79,4,0.05172413793103448,data,True
10,79,5,0.05454545454545454,data,True
0,81,-5,0.05228758169934641,data,False
1,81,-4,0.09090909090909091,data,False
2,81,-3,0.07777777777777778,data,False
3,81,-2,0.1282051282051282,data,False
4,81,-1,0.2289156626506024,data,False
5,81,0,,data,False
6,81,1,0.37823834196891193,data,True
7,81,2,0.06875,data,True
8,81,3,0.10204081632653061,data,True
9,81,4,0.06451612903225806,data,True
10,81,5,0.05217391304347826,data,True
0,82,-5,0.04597701149425287,data,False
1,82,-4,0.09659090909090909,data,False
2,82,-3,0.07567567567567568,data,False
3,82,-2,0.135,data,False
4,82,-1,0.23837209302325582,data,False
5,82,0,,data,False
6,82,1,0.4508670520231214,data,True
7,82,2,0.09701492537313433,data,True
8,82,3,0.0743801652892562,data,True
9,82,4,0.07407407407407407,data,True
10,82,5,0.05555555555555555,data,True
0,84,-5,0.03731343283582089,data,False
1,84,-4,0.03597122302158273,data,False
2,84,-3,0.08088235294117647,data,False
3,84,-2,0.05303030303030303,data,False
4,84,-1,0.11711711711711711,data,False
5,84,0,,data,False
6,84,1,0.5194805194805194,data,True
7,84,2,0.1349206349206349,data,True
8,84,3,0.10619469026548672,data,True
9,84,4,0.043478260869565216,data,True
10,84,5,0.1388888888888889,data,True
0,85,-5,0.13333333333333333,data,False
1,85,-4,0.05128205128205128,data,False
2,85,-3,0.14285714285714285,data,False
3,85,-2,0.375,data,False
4,85,-1,0.3333333333333333,data,False
5,85,0,,data,False
6,85,1,0.6446540880503144,data,True
7,85,2,0.17475728155339806,data,True
8,85,3,0.06840390879478828,data,True
9,85,4,0.04421768707482993,data,True
10,85,5,0.01098901098901099,data,True
0,86,-5,0.061224489795918366,data,False
1,86,-4,0.06329113924050633,data,False
2,86,-3,0.04375,data,False
3,86,-2,0.09523809523809523,data,False
4,86,-1,0.18699186991869918,data,False
5,86,0,,data,False
6,86,1,0.4846938775510204,data,True
7,86,2,0.1,data,True
8,86,3,0.07692307692307693,data,True
9,86,4,0.06837606837606838,data,True
10,86,5,0.10476190476190476,data,True
0,87,-5,0.05737704918032787,data,False
1,87,-4,0.05785123966942149,data,False
2,87,-3,0.09923664122137404,data,False
3,87,-2,0.14583333333333334,data,False
4,87,-1,0.2318840579710145,data,False
5,87,0,,data,False
6,87,1,0.3391304347826087,data,True
7,87,2,0.09782608695652174,data,True
8,87,3,0.07058823529411765,data,True
9,87,4,0.04819277108433735,data,True
10,87,5,0.03896103896103896,data,True
0,88,-5,0.07258064516129033,data,False
1,88,-4,0.08904109589041095,data,False
2,88,-3,0.06164383561643835,data,False
3,88,-2,0.14465408805031446,data,False
4,88,-1,0.17901234567901234,data,False
5,88,0,,data,False
6,88,1,0.31097560975609756,data,True
7,88,2,0.10738255033557047,data,True
8,88,3,0.15714285714285714,data,True
9,88,4,0.07936507936507936,data,True
10,88,5,0.08396946564885496,data,True
0,89,-5,0.13924050632911392,data,False
1,89,-4,0.07608695652173914,data,False
2,89,-3,0.13592233009708737,data,False
3,89,-2,0.1271186440677966,data,False
4,89,-1,0.30303030303030304,data,False
5,89,0,,data,False
6,89,1,0.4818181818181818,data,True
7,89,2,0.17117117117117117,data,True
8,89,3,0.0967741935483871,data,True
9,89,4,0.05741626794258373,data,True
10,89,5,0.04060913705583756,data,True
0,90,-5,0.05517241379310345,data,False
1,90,-4,0.06875,data,False
2,90,-3,0.05325443786982249,data,False
3,90,-2,0.1388888888888889,data,False
4,90,-1,0.2994652406417112,data,False
5,90,0,,data,False
6,90,1,0.3954802259887006,data,True
7,90,2,0.13855421686746988,data,True
8,90,3,0.13548387096774195,data,True
9,90,4,0.0661764705882353,data,True
10,90,5,0.03875968992248062,data,True
0,91,-5,0.07339449541284404,data,False
1,91,-4,0.042735042735042736,data,False
2,91,-3,0.128,data,False
3,91,-2,0.08333333333333333,data,False
4,91,-1,0.1864406779661017,data,False
5,91,0,,data,False
6,91,1,0.3776223776223776,data,True
7,91,2,0.10077519379844961,data,True
8,91,3,0.06666666666666667,data,True
9,91,4,0.07964601769911504,data,True
10,91,5,0.07368421052631578,data,True
0,92,-5,0.09285714285714286,data,False
1,92,-4,0.1111111111111111,data,False
2,92,-3,0.10059171597633136,data,False
3,92,-2,0.13333333333333333,data,False
4,92,-1,0.1978021978021978,data,False
5,92,0,,data,False
6,92,1,0.28217821782178215,data,True
7,92,2,0.15217391304347827,data,True
8,92,3,0.14367816091954022,data,True
9,92,4,0.06875,data,True
10,92,5,0.07692307692307693,data,True
0,93,-5,0.07142857142857142,data,False
1,93,-4,0.09565217391304348,data,False
2,93,-3,0.07142857142857142,data,False
3,93,-2,0.10317460317460317,data,False
4,93,-1,0.2066115702479339,data,False
5,93,0,,data,False
6,93,1,0.3269230769230769,data,True
7,93,2,0.06382978723404255,data,True
8,93,3,0.012048192771084338,data,True
9,93,4,0.136986301369863,data,True
10,93,5,0.07575757575757576,data,True
0,94,-5,0.056074766355140186,data,False
1,94,-4,0.05084745762711865,data,False
2,94,-3,0.11016949152542373,data,False
3,94,-2,0.128,data,False
4,94,-1,0.15315315315315314,data,False
5,94,0,,data,False
6,94,1,0.375,data,True
7,94,2,0.06382978723404255,data,True
8,94,3,0.10843373493975904,data,True
9,94,4,0.03614457831325301,data,True
10,94,5,0.04,data,True
0,95,-5,0.03875968992248062,data,False
1,95,-4,0.07142857142857142,data,False
2,95,-3,0.050724637681159424,data,False
3,95,-2,0.10416666666666667,data,False
4,95,-1,0.183206106870229,data,False
5,95,0,,data,False
6,95,1,0.3357142857142857,data,True
7,95,2,0.17699115044247787,data,True
8,95,3,0.11320754716981132,data,True
9,95,4,0.06818181818181818,data,True
10,95,5,0.07228915662650602,data,True
0,96,-5,0.03636363636363636,data,False
1,96,-4,0.008695652173913044,data,False
2,96,-3,0.072,data,False
3,96,-2,0.1297709923664122,data,False
4,96,-1,0.4634146341463415,data,False
5,96,0,,data,False
6,96,1,0.5431034482758621,data,True
7,96,2,0.13333333333333333,data,True
8,96,3,0.0891089108910891,data,True
9,96,4,0.052083333333333336,data,True
10,96,5,0.010869565217391304,data,True
0,98,-5,0.0650887573964497,data,False
1,98,-4,0.10382513661202186,data,False
2,98,-3,0.06857142857142857,data,False
3,98,-2,0.10614525139664804,data,False
4,98,-1,0.20625,data,False
5,98,0,,data,False
6,98,1,0.4900990099009901,data,True
7,98,2,0.13095238095238096,data,True
8,98,3,0.0958904109589041,data,True
9,98,4,0.05217391304347826,data,True
10,98,5,0.057692307692307696,data,True
0,99,-5,0.0684931506849315,data,False
1,99,-4,0.11464968152866242,data,False
2,99,-3,0.06285714285714286,data,False
3,99,-2,0.1497326203208556,data,False
4,99,-1,0.22282608695652173,data,False
5,99,0,,data,False
6,99,1,0.31736526946107785,data,True
7,99,2,0.08387096774193549,data,True
8,99,3,0.1360544217687075,data,True
9,99,4,0.11194029850746269,data,True
10,99,5,0.11811023622047244,data,True
0,100,-5,0.05263157894736842,data,False
1,100,-4,0.1111111111111111,data,False
2,100,-3,0.08280254777070063,data,False
3,100,-2,0.10204081632653061,data,False
4,100,-1,0.19402985074626866,data,False
5,100,0,,data,False
6,100,1,0.4318181818181818,data,True
7,100,2,0.06422018348623854,data,True
8,100,3,0.08602150537634409,data,True
9,100,4,0.05333333333333334,data,True
10,100,5,0.09523809523809523,data,True
0,101,-5,0.08670520231213873,data,False
1,101,-4,0.10344827586206896,data,False
2,101,-3,0.10638297872340426,data,False
3,101,-2,0.11616161616161616,data,False
4,101,-1,0.2756756756756757,data,False
5,101,0,,data,False
6,101,1,0.46543778801843316,data,True
7,101,2,0.11299435028248588,data,True
8,101,3,0.10625,data,True
9,101,4,0.10666666666666667,data,True
10,101,5,0.1015625,data,True
0,102,-5,0.061068702290076333,data,False
1,102,-4,0.10218978102189781,data,False
