subject,trial_count,likelihood,model,0_encoding_drift_rate,1_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
52,8,253.58895124946523,free_3_encoding_drift_rate_Semantic_CMR,0.7539391114907518,0.30564995516312765,0.18049976162219072,0.6987021987474367,0.9483478204922997,0.5567603686788349,0.4711069360053937,0.3090758104556395,2.3349816146660274,19.432968309427235,0.012344219070967666,0.3011903163925842,0.2412925316392993,5.886535374507645,8.612300648712061,0.08036281082893815,0.08027244028119362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8,260.7846717001214,free_3_encoding_drift_rate_Semantic_CMR,0.6216838962737139,0.7886935107757246,0.018100305930841998,0.8875190993531983,0.8545431510903141,0.3432983714681589,0.2688685484866955,0.44049641642260573,19.04067331210638,45.52029896057967,0.015446482449651522,0.1642847615485774,0.2587165088045076,5.866965796583262,4.602501914576171,0.2181845923273391,0.6986918359805081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8,221.40231082330482,free_3_encoding_drift_rate_Semantic_CMR,0.5842188995038069,0.3336562070507628,0.26454721408222215,0.7245575935641763,0.19304587736659234,0.17327279689301744,0.7562568874303137,0.2857652104648959,1.9836489366883612,37.897019040152756,0.017142040070897036,0.3336364814757111,0.2573088096042726,0.993401485510855,2.7342090908756993,0.5423958457357951,0.19320386839535164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8,299.31803983071154,free_3_encoding_drift_rate_Semantic_CMR,0.9177754257581323,0.5801726020011619,0.2419700403855134,0.8957370818784314,0.9978403263082446,0.6675626479814603,0.6928691166910095,0.8555752570466133,22.248179926839967,1.2967362272299496,0.0030472059492161474,0.42876384093221986,0.25834170997065,3.088543582853323,5.447047394920994,0.8963103892288562,0.5424946381810196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,8,277.4226548629826,free_3_encoding_drift_rate_Semantic_CMR,0.3953553092349037,0.8794064067394638,0.7645597046199651,0.28455779011826077,0.6030413424555063,0.09732091190831321,0.766596568594866,0.6256852159310959,1.6777501975796199,52.63565898244291,0.005391423636731452,0.4234169220395696,0.3182512002256548,1.3815009673352119,1.4620489740447926,0.16865162141871515,4.0750670291085624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,8,251.77033256985422,free_3_encoding_drift_rate_Semantic_CMR,0.39065650996476503,0.9575185200191286,0.0131165809858097,0.33622198551963156,0.08500174763415275,0.4954416066480097,0.7023960690360362,0.3599450081026025,0.15338490798012572,64.59828256409776,0.055216766647863846,0.09181776858525481,0.13017404981819336,2.660394908276476,3.235569089880431,0.1703526306528616,1.7258256145292346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,8,258.7197337415772,free_3_encoding_drift_rate_Semantic_CMR,0.9849494901289729,0.37584699188306653,0.985852856088434,0.4697086204387506,0.8134506999841002,0.39799266830772806,0.3551677730139032,0.6564786585748277,3.5597095917167962,7.393701524554672,0.009218018063545164,0.39848508754823,0.24510613782826507,1.1278739420368469,2.107640528174846,0.7211842114519833,8.650277936911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,8,280.3913969141878,free_3_encoding_drift_rate_Semantic_CMR,0.7921780437208711,0.5669890041443377,0.4151725540252184,0.7619655295979426,0.9023364264057,0.981532890125619,0.42168668129676473,0.2707928108857824,40.13764674311762,0.3436325453788278,0.00504489700801529,0.38592210356474244,0.2456851752249315,2.3230272089491306,2.833114973848443,0.4780660624986174,3.6699148496655245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,8,239.1828292523674,free_3_encoding_drift_rate_Semantic_CMR,0.6248396155892924,0.48408663784890377,0.34907933355428095,0.895825340500926,0.7597469403467095,0.4539089875118351,0.1172548510587123,0.8509787511277835,4.16947780483482,0.973760254554513,0.010351439742920354,0.4225395981042652,0.23421334612223887,5.877008290270361,9.879878286168756,0.38118161399370737,0.3162786834388607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,8,276.78559619123666,free_3_encoding_drift_rate_Semantic_CMR,0.3398464374712955,0.46739252137598064,0.15846443249120562,0.915416016754087,0.5237721801441817,0.3467203327291963,0.5931273731576221,0.38419867789532086,1.04226101897833,13.31592275200503,0.0015194037610892774,0.580131914854328,0.39060222450096305,8.685425804591562,6.78512752902161,0.4130083228163165,0.07604209930003236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,8,217.63467330323766,free_3_encoding_drift_rate_Semantic_CMR,0.6870163310852708,0.7100670586500929,0.4129499414911415,0.40820525316404455,0.6219341992118311,0.7270008172579301,0.3475426879845629,0.9505009316498809,8.228193383956473,73.75871582770365,0.0018362745079345635,0.5818363708845079,0.6130627994130822,0.25844071591028445,3.015990420926434,0.008344150707368162,2.0032843612288667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,8,225.64092971791393,free_3_encoding_drift_rate_Semantic_CMR,0.9068775265462359,0.6081594451965527,0.08239029640098466,0.8788926871378686,0.7900174989163831,0.4390905115647562,0.7439972386471171,0.7832919469277153,6.050237924547758,26.20723644755517,0.004621365301137048,0.4134582851949977,0.4657334750738453,4.926156881119899,5.894561744780931,0.0936760642004969,0.38627156310959787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,8,309.3477585434081,free_3_encoding_drift_rate_Semantic_CMR,0.39215880503074046,0.5915701703218742,0.3509251053847335,0.3150618215654315,0.8690588632916794,0.25913986834305025,0.42756109145527077,0.5585891412467306,1.654215757743458,0.21928136017187683,0.019005098154715072,0.11350200411339095,0.15269159629542983,9.51383071669661,5.044926744581709,0.5599335058025672,0.8247809843004301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
