subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_delay_drift_rate,1_semantic_scale
14,8,303.63012388121774,free_1_choice_sensitivity_Semantic_CMR,0.7501144087356174,0.5641423106333462,0.5623221216306072,0.6083534336398154,0.17694048736034168,0.3926772146668737,0.7980384973533109,3.2304896650143604,0.46505278814515805,0.014582928419220487,0.15787596002804705,2.4982916488610494,3.0208088439360683,0.46539796837786984,2.381721223293992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,338.0591125262117,free_1_choice_sensitivity_Semantic_CMR,0.7568490742301074,0.103028845686707,0.03413593779723667,0.8659603614876399,0.2712759472265291,0.649281065386065,0.6208414224352194,0.7106602512749092,54.66862249306208,0.009351925725989918,0.18886360272423275,5.706561331678283,5.527438695479521,0.7492828143658529,0.374773921564584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,177.7928634167933,free_1_choice_sensitivity_Semantic_CMR,0.6081476861703853,0.1107769121183877,0.36385704112218237,0.960134001484094,0.043198291062089667,0.3589845424528109,0.7701490214341414,4.283378215746204,25.920600152697336,0.06146292897461558,0.13336094501079288,2.2055906778988406,2.091812901610211,0.34447579590141936,7.683388715965821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,274.32252158377753,free_1_choice_sensitivity_Semantic_CMR,0.8259429956059796,0.5864835685621903,0.4714561200116565,0.8419772963103906,0.44554731411407633,0.8082966286157295,0.23466503102858194,1.6610089774697556,1.0188312950625686,0.004612939144123862,0.2626868456422393,5.604249613724237,6.758021351146672,0.3072898325552321,0.312848751491539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.89765281167874,free_1_choice_sensitivity_Semantic_CMR,0.658665983918992,0.3621324820260385,0.5212641661865767,0.48064919090365466,0.08906157054271896,0.9668243022359804,0.5891169989963096,1.4643555284986718,27.876746861801816,0.02282948287008768,0.22417254119738939,2.543064376233133,3.6376947608638615,0.2163270568075013,0.6554973664666095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,268.844659348826,free_1_choice_sensitivity_Semantic_CMR,0.36119699928450855,0.2297975770757439,0.07824069242287751,0.8797385763658552,0.5348719994706157,0.6969775643400196,0.8343136219049534,3.2877924981808206,78.32256499212056,0.0100261064774389,0.23131796286008033,2.665869080736974,4.6939725106189165,0.011712355788228823,1.3036069673487827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,261.61099296593886,free_1_choice_sensitivity_Semantic_CMR,0.7177988886121804,0.1726200997114275,0.2302813435019327,0.9925184140748283,0.36602718823028646,0.9553198936275211,0.5982415073457391,0.6522874726382497,73.76950451272066,0.004971761590473633,0.32611023934465155,4.150482296624266,4.945819819580633,0.6101923388066943,0.47773057267826236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,299.8525065218374,free_1_choice_sensitivity_Semantic_CMR,0.5935375505521009,0.008097833529974896,0.6876677579334488,0.08629713749431156,0.484404236583845,0.46910490607674565,0.7490248454530767,17.8104993298246,15.37761334259283,0.007809619893475561,0.2857410933397784,4.392789269728208,4.9142709681275285,0.40257523695315806,0.605437639514145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,270.6831974642332,free_1_choice_sensitivity_Semantic_CMR,0.6300451728106846,0.8042082862758474,0.4257940187989533,0.9960543355226514,0.5257920495576414,0.41737864137274167,0.3307618231875987,0.22105352940968714,57.957513787483535,0.02085794469031521,0.19329492139443882,8.487128928917226,5.872041557031179,0.04218549847180203,0.22585796362523247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,196.82797134918957,free_1_choice_sensitivity_Semantic_CMR,0.9077962093370013,0.15467178743419774,0.9722342757684953,0.9764947451115699,0.8629276587574666,0.6446470662983355,0.9593857195730927,10.575106995500917,47.43257164884124,0.02914084819771562,0.2689671141305645,4.266128673542899,6.82086713757557,0.033593286424072444,0.21918566907981418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,184.13383099872394,free_1_choice_sensitivity_Semantic_CMR,0.6709662277531548,0.033804043851371646,0.20624109027270465,0.5759922312396262,0.23081493086536792,0.9051682918709585,0.6811120229162032,0.7951454754403215,19.590868212418762,0.031614440793024556,0.21576425393458898,2.5939370385888374,3.3374081062341814,0.07531707135430182,0.27119193845177847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
