subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,97.7082224600361,free_2_primacy_decay_Semantic_CMR,0.40537941246891146,0.19905080916410356,0.5908155254555626,0.9434493094703778,0.018694167636479797,0.9390656816192953,0.5220237460538778,0.06675925123954585,63.04404189830719,22.967239891636826,0.003904714142925869,0.6211195166842458,0.6210451614771975,9.855344492157743,0.981980012124446,1.557970922023761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,223.8042820144325,free_2_primacy_decay_Semantic_CMR,0.7567552032248257,0.38097174213220536,0.6543123856124018,0.8873933638074591,0.11161845970868632,0.7481927087564181,0.8687207382796295,5.975722124402625,20.348713326515018,1.0340241947315858,0.006253557738427508,0.5926162887842303,0.2931993665140256,2.308632766768226,0.25303276212137255,8.185615804713843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,301.3810445007582,free_2_primacy_decay_Semantic_CMR,0.5116838463260691,0.9016023731268374,0.6946359077045189,0.8598948890912081,0.42110833737012476,0.7040478620020635,0.733048998452847,0.973071239147167,48.682231670933895,72.53630059332546,0.015585090803389934,0.20421420261872925,0.08837560533697264,4.534814797612405,0.23652459541827636,1.5888366579940905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,335.8612088079957,free_2_primacy_decay_Semantic_CMR,0.6512070815691533,0.3125515442902824,0.17476414054325443,0.9054193356078128,0.19010043809345348,0.6590024092793804,0.6861693203008522,0.6620244370670663,9.479108086262885,71.92312772151706,0.002622876531834114,0.3984859372992695,0.24178358945531825,4.232589893811168,0.5010811482906125,0.4398505466518759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,173.7028169212474,free_2_primacy_decay_Semantic_CMR,0.4152005493413762,0.014897408010446839,0.10863821650936079,0.6138930428504928,0.06946102444659827,0.8673253170077397,0.7359858089048992,7.470405099183315,43.04333702844036,35.30938843085124,0.035192444212039146,0.2029104372901695,0.2329562331716498,2.5718143471999446,0.07256954179325392,1.568159191295178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,272.29017821377397,free_2_primacy_decay_Semantic_CMR,0.8848600485171034,0.5640468631638117,0.3853300956074947,0.9193214789673467,0.3578549742626081,0.802886888356753,0.43855305539498857,2.306280326418772,75.6473077587457,66.07038930456278,0.006382479762329918,0.3494655828432425,0.2249311428424985,6.35996203648407,0.5978752144183598,0.13727090818806964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.51055099358598,free_2_primacy_decay_Semantic_CMR,0.6317465177941914,0.21182826947564892,0.2711065896418172,0.2626340400847807,0.26718719842012706,0.8624377509275489,0.5562089358636579,1.2135776744116882,66.92194438546764,29.132460635754263,0.02147888427196737,0.19927843332329775,0.20779771599149033,5.079672359466078,0.16879744598785806,0.687254991691165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.3965947360828,free_2_primacy_decay_Semantic_CMR,0.5361009279517316,0.2857667178283315,0.2154394328041513,0.8651232564670432,0.8595274039525904,0.831801084188327,0.72479996042148,8.34546924885273,86.38628157114505,70.77408905912294,0.0059536577835139215,0.3786583386417046,0.23689824768250656,2.413982161753988,0.26326775199058766,2.5577598366041627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,265.90295679145646,free_2_primacy_decay_Semantic_CMR,0.5874293793566125,0.29114488411573825,0.23122480658179578,0.9961726857591597,0.2597128312400374,0.4214740419411746,0.5970623646898898,0.6065017197291382,6.324600942269939,17.501566082910685,0.011960090344925955,0.2573933275855511,0.25524413398351875,3.2008519884077744,0.37868429025546185,1.411136739038107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,298.9352218824673,free_2_primacy_decay_Semantic_CMR,0.509023832246136,0.10255471277274991,0.5240729685344107,0.8656776477346038,0.46930171548734323,0.8165783653916336,0.9232732038685652,7.565116859801769,86.36784293119995,45.1442274903726,0.00554740952945143,0.32150900074925204,0.26076540076352916,5.687377617317311,0.36143595044686644,0.5729839052504779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,269.31521812067695,free_2_primacy_decay_Semantic_CMR,0.7050087921639034,0.9106645080799385,0.5591627677652873,0.9366315772041491,0.7118765817988298,0.6862059050956066,0.4442182740823737,0.20058554870927026,81.85797888490205,8.339680127954537,0.011839675711114661,0.2530805884836669,0.17784467189438402,7.327983416936325,0.02187080371174399,0.3016110496121893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,195.91697959876058,free_2_primacy_decay_Semantic_CMR,0.8767918898597564,0.23200356972752134,0.34129060823476687,0.9105629238014263,0.46019115989531784,0.7131513006286468,0.9473747887277814,3.8047909464406686,22.352371375358842,40.07622758367478,0.009106538560240185,0.596532829578365,0.3926901906292777,4.7061448273223485,0.38641534964301355,0.39488503044311773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,182.26465680541958,free_2_primacy_decay_Semantic_CMR,0.8454804257718995,0.2864501158727313,0.15338668127050709,0.7142822286175056,0.10313300666414765,0.6408938959411217,0.2993783430847734,0.5255139738808623,4.497339766402334,12.669061155985297,0.013393648480376663,0.5428611301140016,0.3082816601217475,1.8439844184851517,0.08314399124255445,0.10140900158698773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,254.21572757901617,free_2_primacy_decay_Semantic_CMR,0.6993035994278357,0.25887328562336065,0.020615350114750186,0.7310776180738906,0.3301574702935154,0.6769828401079642,0.0054538997736292005,3.754306692510859,70.91950919483969,12.112401277012474,0.0040473232974392315,0.5693659416074057,0.28389893645910025,2.489365497416772,0.9806200214612018,1.6234710937114065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,286.0959371203367,free_2_primacy_decay_Semantic_CMR,0.7220057325756584,0.09465040793660967,0.57050993493773,0.7675500352206831,0.28285327655587256,0.29256106626993406,0.4535906333118494,1.1468899238962678,59.7833612235959,17.13668213429731,0.004960142792879929,0.3470756155520851,0.2852943715345253,4.432812127496653,0.18816184821834953,0.8446304446856336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,336.74389242258167,free_2_primacy_decay_Semantic_CMR,0.6886877922735896,0.44378134672447633,0.8387193650444731,0.8489891964456042,0.7290826367251745,0.7697888098289444,0.804517592066789,3.121481152939417,20.61598585320081,79.81150365250228,0.0015502183689401483,0.3180110875666635,0.2518947513719336,9.345961142214659,0.18427509601512987,0.8747653034139837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,257.5771315630263,free_2_primacy_decay_Semantic_CMR,0.6655725914094927,0.2749195567037853,0.4861475289782541,0.6705814964135953,0.3498565055436651,0.06684505054774953,0.41301546335913814,1.5478378156470072,67.42574937301505,49.37385968273157,0.015952786635381466,0.25359563233442994,0.13384696349488667,9.644806456255886,0.9421983332024716,0.09554987288136019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,250.5493770422621,free_2_primacy_decay_Semantic_CMR,0.9364974451439001,0.05082818733655331,0.5710226087643374,0.8936943855032768,0.11316607154597152,0.6264420943230793,0.7086397089444068,0.2219982664970246,88.54037477399501,82.54900876340733,0.013791049916598519,0.27798855975961967,0.18725960105863937,3.4897745705551397,0.4659627559164192,0.26956756664857373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,262.9147926153099,free_2_primacy_decay_Semantic_CMR,0.5655960250972553,0.8565961461107621,0.48397464472744883,0.3282793577282749,0.6042548583048951,0.3296060192239618,0.3458620120487198,0.9010275051150174,3.9024579019015633,38.55849878850366,0.01403544174768917,0.2651361146642621,0.22249151470551887,5.922255041691695,0.2881341700635559,1.2104649355826518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
