subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,1_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_semantic_scale
12,8,96.03531287608303,free_1_delay_drift_rate_Semantic_CMR,0.4216276042877006,0.2997580235630465,0.5791009496986103,0.9733700219728941,0.006875050984973041,0.9879179395961217,0.4961737703790451,0.08062868414570801,43.66488683651176,0.005392266577349536,0.5412847959146996,9.527539818334631,0.9840800390609231,0.9463882660689181,1.4707824427776304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,229.40186121242976,free_1_delay_drift_rate_Semantic_CMR,0.7755144047651223,0.4081589912289449,0.13564530547476122,0.892199928788934,0.00968123314404179,0.26628625981135384,0.49552061744559284,3.234076791945725,90.3996923851216,0.05438228849799248,0.1242995176919024,2.2476895789055362,0.1869935738840392,0.9259584654498338,3.6092910987074465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,302.00750313664315,free_1_delay_drift_rate_Semantic_CMR,0.7048308115905634,0.8926818809105339,0.802261469731035,0.9479925085085795,0.5483565481398602,0.3197185457357665,0.7264795294308829,0.4833033918063734,44.57138511358219,0.014682589521889722,0.15321348288468783,5.400920048831528,0.10686611559814585,0.3990569519257338,0.5862092430988355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,339.0098995535635,free_1_delay_drift_rate_Semantic_CMR,0.6334939084331701,0.05155440738391537,0.036920706147003435,0.9609593692330953,0.9640193872869118,0.9845775011605632,0.757822301554152,0.4280034495951739,81.64856331903465,0.01491344437400599,0.1707652714706267,8.62317513296266,0.268061675397374,0.7377707754746994,0.5050851295946615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,175.35494916331862,free_1_delay_drift_rate_Semantic_CMR,0.4131159826514517,0.0028101876839115025,0.1943713803428887,0.8761377862282063,0.013404463664784205,0.49589610584509736,0.5926911243389652,7.126337968437447,73.89310985185438,0.07645074151593806,0.12577274910407255,2.191236381204656,0.38510224813821065,0.4972218373535252,4.223062723906531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,272.9996295192035,free_1_delay_drift_rate_Semantic_CMR,0.8631614496139621,0.1789788841913506,0.37330455694588377,0.9626052477896316,0.5092594260141046,0.5293943449228147,0.41443106931902846,5.3105503754523085,60.87843341224375,0.009498159197945444,0.2669385228924046,6.2788273393603955,0.523944621903961,0.4991528256830662,0.24334460331163932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.63273848048567,free_1_delay_drift_rate_Semantic_CMR,0.7658508924399032,0.022173359867796116,0.5467789017681394,0.6851478517929698,0.13864438714582167,0.5481333305888709,0.6133091781567912,8.087019229950137,80.16406866814067,0.018862949397734474,0.22779969841275438,2.464255160444914,0.009848568814905756,0.0014588251310040379,0.4463813320373058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,268.17614281797785,free_1_delay_drift_rate_Semantic_CMR,0.4860408244315053,0.3039767768319884,0.37148223655033974,0.9374706060453393,0.917567434073862,0.915488342011342,0.05307299817645972,3.7663238071206635,16.83420002885795,0.019691534042912295,0.17657859161286105,4.153933445015784,0.5815469163561003,0.571981881666477,0.4973687039436179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,261.5426740393528,free_1_delay_drift_rate_Semantic_CMR,0.7628122840705541,0.17237337912119227,0.5112105430630652,0.953117480919861,0.26429378209438525,0.3714059375935569,0.563595009379955,1.5185700241589686,31.655655435442064,0.004983988721235066,0.319491230220482,4.1880914483550375,0.6591692517662935,0.8753281256336749,0.42105962773393646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,296.6589656015948,free_1_delay_drift_rate_Semantic_CMR,0.4939073779455062,0.05402952556323165,0.5817457077871622,0.6192432348471992,0.0426945798864643,0.6141894859274881,0.8888151057715008,10.408411642352654,66.19011626526135,0.002910282301715361,0.36791742528196636,2.5608447144672146,0.08030032167033507,0.22833443024152655,0.8730842703680208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
