subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
13,8,225.3937444178696,free_4_primacy_decay_Semantic_CMR,0.8433760646630795,0.5207524242544619,0.7406611039100287,0.8705625544488869,0.04736997949661037,0.9779309691332642,0.8688637038847742,0.10060114733848308,5.794824553885505,7.077143442229428,77.63358693602578,0.008355966654124636,0.5031175576352869,0.2805740775541734,2.2885600684826954,2.462597193057614,0.5694722296576533,5.509157943200834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.28990069122847,free_4_primacy_decay_Semantic_CMR,0.4886574982371323,0.9368627417845066,0.3886191393522109,0.851429323471326,0.5851734812503299,0.3494772251404706,0.9399211912190512,0.8771714950151812,1.8647606927901226,95.11045612098891,59.207587008722015,0.017059105159311735,0.22013387249485944,0.12339126084861572,3.30772456666578,3.054865561700834,0.9577596624553774,3.0638577005411047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,335.5851707554418,free_4_primacy_decay_Semantic_CMR,0.6502563156503347,0.11464866262656499,0.19207749513343422,0.9322481227351487,0.42124299652478026,0.34136467233113255,0.35193788842400825,0.8553349529476563,0.2867396040702264,21.419069368905113,37.97418456375012,0.004200877722661021,0.3197070848615605,0.2241783990800777,6.004824499127131,5.334052022787441,0.2748590857307542,0.49043964219706354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,174.94350002505803,free_4_primacy_decay_Semantic_CMR,0.5048714263779769,0.059539200293010186,0.4211808471824871,0.607505293042055,0.1742383787216038,0.6700086851790462,0.25976426912878814,0.7160877426539187,6.783880591570032,38.001980635575265,3.9460211949466455,0.03848232646123545,0.22159921307432562,0.2393906265035861,3.1761339086368174,3.474392435389866,0.19662177488766608,2.1034330714364833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,270.7885683357118,free_4_primacy_decay_Semantic_CMR,0.8759421680859589,0.24379215733205406,0.47312492746764023,0.9838018947500387,0.27215309129783066,0.6499062665411506,0.28339793309672445,0.3730907261940147,7.208164303147633,71.94774062743599,37.58552696286924,0.00219658514096982,0.4343048618477372,0.35646083773103765,2.9941752852853036,4.767818147411077,0.15301051468745258,0.14320818323978113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.88919440975457,free_4_primacy_decay_Semantic_CMR,0.6671758463929695,0.195807957515468,0.24816034711869905,0.5642834054263139,0.04813986132538779,0.6905101329237883,0.6808692668705493,0.9752914301531843,2.9519799917026166,62.77562698977236,83.34363813692609,0.03784715918639861,0.17936696765420318,0.15751193718378306,1.8954218565935113,2.6401624973771507,0.03860544714978141,0.6478050185677527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.05954628752033,free_4_primacy_decay_Semantic_CMR,0.5193735217142526,0.37019455696661724,0.23716432506393906,0.885621314009588,0.26835835086015,0.8239080402359249,0.5530181033909469,0.7499927605568018,4.08373870242946,37.46008928584256,22.94440910252901,0.007411673198657707,0.3584412474447603,0.21328634713658853,1.374950135545336,1.9435976114549354,0.4038263715603843,2.048942666965604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,270.31150880774646,free_4_primacy_decay_Semantic_CMR,0.8423192061808396,0.018081543019081603,0.2725943353997909,0.7574975135677642,0.30600349699566753,0.9224400622399693,0.8724536536277896,0.6203139165362708,12.957498471075759,54.28539503838241,27.872962909953085,0.008684832229753636,0.2707950018904617,0.29241078946777765,1.201355956803206,2.483721605148931,0.5367825785747549,5.028763846092536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,297.03359342280726,free_4_primacy_decay_Semantic_CMR,0.5426562515163099,0.0211544476070068,0.5786000304771881,0.9294328395691764,0.3409354690414831,0.6306595603248568,0.4027202198171285,0.9525866537732254,7.05237580018828,68.13299418481864,34.94821224123824,0.0016535264771737612,0.4391223712720089,0.3742868848041443,7.835254070840556,4.228266396628136,0.37265278720493694,0.4379488995699603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,270.5131644273145,free_4_primacy_decay_Semantic_CMR,0.8469934050513714,0.9415401248004923,0.6498146543210501,0.9802196467271705,0.1368529701534728,0.8726350217727397,0.16851922198521868,0.3876040824817946,0.6099558747354834,52.21056836405733,16.356616896004624,0.016734451747811463,0.2154196099860597,0.12714417624917296,2.9995695560859756,3.216398174578906,0.5523431759383666,0.18529231163634474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
