index,subject,bin,prob,source
8,41,1.0,,data
9,41,1.0,,data
0,42,0.0,0.11631663974151858,data
1,42,0.0,,data
2,42,0.0,,data
3,42,1.0,0.016,data
4,42,1.0,,data
5,42,1.0,,data
6,42,1.0,,data
7,42,1.0,,data
8,42,1.0,,data
9,42,1.0,,data
0,43,0.0,0.07710843373493977,data
1,43,0.0,,data
2,43,0.0,,data
3,43,1.0,0.030895983522142123,data
4,43,1.0,,data
5,43,1.0,,data
6,43,1.0,,data
7,43,1.0,,data
8,43,1.0,,data
9,43,1.0,,data
0,44,0.0,0.0635593220338983,data
1,44,0.0,,data
2,44,0.0,,data
3,44,1.0,0.026881720430107527,data
4,44,1.0,,data
5,44,1.0,,data
6,44,1.0,,data
7,44,1.0,,data
8,44,1.0,,data
9,44,1.0,,data
0,45,0.0,0.08286252354048965,data
1,45,0.0,,data
2,45,0.0,,data
3,45,1.0,0.024193548387096774,data
4,45,1.0,,data
5,45,1.0,,data
6,45,1.0,,data
7,45,1.0,,data
8,45,1.0,,data
9,45,1.0,,data
0,46,0.0,0.08828250401284109,data
1,46,0.0,,data
2,46,0.0,,data
3,46,1.0,0.03103448275862069,data
4,46,1.0,,data
5,46,1.0,,data
6,46,1.0,,data
7,46,1.0,,data
8,46,1.0,,data
9,46,1.0,,data
0,47,0.0,0.08012326656394453,data
1,47,0.0,,data
2,47,0.0,,data
3,47,1.0,0.042468480424684804,data
4,47,1.0,,data
5,47,1.0,,data
6,47,1.0,,data
7,47,1.0,,data
8,47,1.0,,data
9,47,1.0,,data
0,48,0.0,0.078125,data
1,48,0.0,,data
2,48,0.0,,data
3,48,1.0,0.03228962818003914,data
4,48,1.0,,data
5,48,1.0,,data
6,48,1.0,,data
7,48,1.0,,data
8,48,1.0,,data
9,48,1.0,,data
0,49,0.0,0.07090464547677261,data
1,49,0.0,,data
2,49,0.0,,data
3,49,1.0,0.02918918918918919,data
4,49,1.0,,data
5,49,1.0,,data
6,49,1.0,,data
7,49,1.0,,data
8,49,1.0,,data
9,49,1.0,,data
0,50,0.0,0.09672131147540984,data
1,50,0.0,,data
2,50,0.0,,data
3,50,1.0,0.028064992614475627,data
4,50,1.0,,data
5,50,1.0,,data
6,50,1.0,,data
7,50,1.0,,data
8,50,1.0,,data
9,50,1.0,,data
0,51,0.0,0.09565217391304348,data
1,51,0.0,,data
2,51,0.0,,data
3,51,1.0,0.028201219512195123,data
4,51,1.0,,data
5,51,1.0,,data
6,51,1.0,,data
7,51,1.0,,data
8,51,1.0,,data
9,51,1.0,,data
0,52,0.0,0.062135922330097085,data
1,52,0.0,,data
2,52,0.0,,data
3,52,1.0,0.03806228373702422,data
4,52,1.0,,data
5,52,1.0,,data
6,52,1.0,,data
7,52,1.0,,data
8,52,1.0,,data
9,52,1.0,,data
0,53,0.0,0.11211573236889692,data
1,53,0.0,,data
2,53,0.0,,data
3,53,1.0,0.022376543209876542,data
4,53,1.0,,data
5,53,1.0,,data
6,53,1.0,,data
7,53,1.0,,data
8,53,1.0,,data
9,53,1.0,,data
0,54,0.0,0.06009615384615385,data
1,54,0.0,,data
2,54,0.0,,data
3,54,1.0,0.03598691384950927,data
4,54,1.0,,data
5,54,1.0,,data
6,54,1.0,,data
7,54,1.0,,data
8,54,1.0,,data
9,54,1.0,,data
0,55,0.0,0.09984152139461172,data
1,55,0.0,,data
2,55,0.0,,data
3,55,1.0,0.030428769017980636,data
4,55,1.0,,data
5,55,1.0,,data
6,55,1.0,,data
7,55,1.0,,data
8,55,1.0,,data
9,55,1.0,,data
0,56,0.0,0.08518518518518518,data
1,56,0.0,,data
2,56,0.0,,data
3,56,1.0,0.0297029702970297,data
4,56,1.0,,data
5,56,1.0,,data
6,56,1.0,,data
7,56,1.0,,data
8,56,1.0,,data
9,56,1.0,,data
0,57,0.0,0.07578947368421053,data
1,57,0.0,,data
2,57,0.0,,data
3,57,1.0,0.03102836879432624,data
4,57,1.0,,data
5,57,1.0,,data
6,57,1.0,,data
7,57,1.0,,data
8,57,1.0,,data
9,57,1.0,,data
0,58,0.0,0.0846774193548387,data
1,58,0.0,,data
2,58,0.0,,data
3,58,1.0,0.029918404351767906,data
4,58,1.0,,data
5,58,1.0,,data
6,58,1.0,,data
7,58,1.0,,data
8,58,1.0,,data
9,58,1.0,,data
0,59,0.0,0.0920353982300885,data
1,59,0.0,,data
2,59,0.0,,data
3,59,1.0,0.024899598393574297,data
4,59,1.0,,data
5,59,1.0,,data
6,59,1.0,,data
7,59,1.0,,data
8,59,1.0,,data
9,59,1.0,,data
0,60,0.0,0.082,data
1,60,0.0,,data
2,60,0.0,,data
3,60,1.0,0.03192407247627265,data
4,60,1.0,,data
5,60,1.0,,data
6,60,1.0,,data
7,60,1.0,,data
8,60,1.0,,data
9,60,1.0,,data
0,61,0.0,0.061567164179104475,data
1,61,0.0,,data
2,61,0.0,,data
3,61,1.0,0.04128819157720892,data
4,61,1.0,,data
5,61,1.0,,data
6,61,1.0,,data
7,61,1.0,,data
8,61,1.0,,data
9,61,1.0,,data
0,62,0.0,0.065,data
1,62,0.0,,data
2,62,0.0,,data
