subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
13,8,225.95011667120977,free_3_item_support_Semantic_CMR,0.6653809391293277,0.40221995383599385,0.5337416738717926,0.9479699878332173,0.1895800510867932,0.8643645437791072,0.27832935201729375,0.5000913860814524,7.113941094801781,18.28470481164302,0.006753100863690853,0.5250105889948395,0.28914578955420644,2.6708658597327597,3.0915147230975486,0.2494824752379603,3.5444703597763576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.5350451126835,free_3_item_support_Semantic_CMR,0.4533897103051173,0.6571883162732325,0.48675858750385137,0.7318999489884218,0.20655323745410747,0.23203474501924354,0.5430768080144951,0.8751024996951926,1.908144509467732,72.62802469658794,0.02513181308181134,0.15114727830751828,0.08179127567556854,3.291098414560653,3.4278177815645163,0.23578362061711944,2.4837513256389485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,333.798928195352,free_3_item_support_Semantic_CMR,0.7248850610167239,0.1444494630187726,0.12373321389200248,0.9789799379856161,0.4642564723331462,0.9397566497388494,0.6440078109138816,0.7873346595672323,1.1061068010550201,48.533915654191624,0.0020527665805914475,0.42917047511176953,0.2584433845861307,6.299909687383116,4.664623083508706,0.44460229884291436,0.7245580111458674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,172.57530153337757,free_3_item_support_Semantic_CMR,0.4831338262996524,0.011484574740089015,0.07017430510490269,0.7314909103601237,0.028626157166594224,0.14413788733376914,0.7024217900970293,0.8974610023582479,11.85944256262568,99.22615653392532,0.030839800928829153,0.22053967097811888,0.2643661012873828,2.6098517271782473,2.5060936037089183,0.19238892222356657,2.4253391057851283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.6166497870793,free_3_item_support_Semantic_CMR,0.9102027945799229,0.21919428219699805,0.2926403406742957,0.949419026804598,0.4992366545726614,0.9677043752103044,0.3405509949981147,0.39308008524440474,9.89493114262703,94.76156958077328,0.0060223687776497226,0.31545016547064897,0.2598040262269592,3.5018730917699004,6.245050935382661,0.12129878502346675,0.19530581735569452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.5950545556615,free_3_item_support_Semantic_CMR,0.6399335553388248,0.12622962192785586,0.1893458142360156,0.21470372195665666,0.26639397187179426,0.9934737898580912,0.8832464220967491,0.9133853447102389,1.8957246200010829,28.44223496186485,0.025766231290442976,0.1506147909697093,0.17573190447141585,3.3159431335033545,4.196470460589169,0.02163208863951316,0.7630794185404852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,265.1355651806757,free_3_item_support_Semantic_CMR,0.6236473389019432,0.06983091814470455,0.25700124016709947,0.9412908124996067,0.757975759493127,0.38435624860252454,0.5135164035024409,0.43131634424156573,5.729628891289067,82.68907005355186,0.02309478596473097,0.342994813205852,0.1433396124143851,3.6873274187799003,4.552637193027982,0.0833357440971661,0.5304035581581008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,266.1340219569101,free_3_item_support_Semantic_CMR,0.6524258318364901,0.4819618283457277,0.5942121622191853,0.9803858734749676,0.742302575880442,0.6875621494784919,0.8851338450170193,0.5433767281675163,0.017436599185058303,25.5362743460782,0.03145262465844753,0.15358550406731092,0.17007457691906833,3.7000775784392066,4.482978783473582,0.4594748015886747,0.9619238085796032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,295.575664673795,free_3_item_support_Semantic_CMR,0.6520630672978827,0.009981650499499006,0.5745104579988893,0.43813008217752836,0.41095329504224515,0.9522517638730447,0.36276710160799636,0.7664443995792063,15.721469792716192,9.250065043213993,0.0038811460790684205,0.32500821591758466,0.33382219931262025,6.3379486486906895,6.617245105237494,0.23566542037170501,0.5742065458378383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,268.7794814598632,free_3_item_support_Semantic_CMR,0.7113792521033843,0.7910449582214675,0.668425731103847,0.977661937324093,0.7888911734987005,0.8419137508388135,0.029056605488319287,0.5174642689080929,0.9636872775396341,36.93647397576186,0.014697646322748337,0.21915932715936393,0.14561697944855645,8.371568022904208,6.656627423304413,0.04198455106148846,0.34598790458165674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
