subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
28,8,338.180684459771,free_3_start_drift_rate_Semantic_CMR,0.6453347540521166,0.6275633912602279,0.7086246879827288,0.9353628257563862,0.8949827558124259,0.39433543037037244,0.44082648412636216,0.7212284977414741,2.074803544752946,92.38840023937948,0.0007747472934963029,0.3569290968837322,0.2986493988979442,6.265864417983373,6.552070945264154,0.63772982943133,0.9437429832075228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,255.3755240122751,free_3_start_drift_rate_Semantic_CMR,0.720551756458213,0.3938074486614161,0.6199914890371581,0.8249680516312523,0.8008452339498392,0.3707795759421713,0.2847237531650958,0.593547539648211,1.4576572309046867,48.361331184766534,0.029499574991244726,0.2277129309673107,0.06500018375187011,6.017603254222256,8.663763179693552,0.8846965826960493,0.14433954762524426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,251.36917648915755,free_3_start_drift_rate_Semantic_CMR,0.9115330049715171,0.4998819731022319,0.0500987134794606,0.4402657697877873,0.9475255082904459,0.0981622336669471,0.07696602895442356,0.5351204854742666,1.010160910594145,27.668873955125882,0.016201368465072086,0.2534737610861564,0.23682914770027796,2.335539938543561,2.511749671869177,0.11750307284733241,0.2728887920430836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,263.20132217193907,free_3_start_drift_rate_Semantic_CMR,0.5819733982229089,0.1915368592058272,0.30323069081858156,0.4822647661866733,0.5061948512109146,0.7005164619125329,0.4627589043600547,0.7082187106277376,7.778575820526143,65.66212035924971,0.008123846981302973,0.2735908103321085,0.2639590972197352,4.4340695677811155,3.7322172421799427,0.8308514668543678,3.253973129136516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,270.0200095117653,free_3_start_drift_rate_Semantic_CMR,0.5454430731211657,0.6980175056634759,0.2214563950580637,0.20147830785808563,0.1446771083527425,0.575391218009487,0.31318651611054704,0.8384857752481891,0.8401409174398395,31.328854643335813,0.0027098285078198114,0.3697101812244892,0.47304175342033083,3.104461035413629,5.808223817496179,0.052972208260217146,0.9383929434515226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,226.2986255535709,free_3_start_drift_rate_Semantic_CMR,0.5322854254795607,0.12990669321792786,0.09992340587018006,0.25134061451414447,0.19323457381428016,0.1276306848533128,0.7926765568339288,0.8095342738982929,2.1352693954898,37.74263883206203,0.00682272224158198,0.4109034995949816,0.41077653170947936,3.0125969076285406,3.4397059645963406,0.3853355074994695,0.2848672776419283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,312.1454395678855,free_3_start_drift_rate_Semantic_CMR,0.5483798082607045,0.24955435859340824,0.30533910674767206,0.7985644562158961,0.5607027739343321,0.7547763656206482,0.810029774419697,0.8298279128160411,0.8441477124511962,17.44072860006448,0.001350500683989675,0.44756351704309605,0.35460820388743564,4.81012158519037,9.029136805297792,0.6616409779771993,1.5306508497520825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,197.51232612918153,free_3_start_drift_rate_Semantic_CMR,0.7194827394992171,0.09653726950261876,0.09445472252067416,0.08139492120126218,0.980340165026565,0.6121736926090398,0.9376377669496678,0.6363090759472632,0.7265156256890108,75.91146211490445,0.009617861479262302,0.5054291004747311,0.428547270801646,4.971326532551687,5.1560635296635535,0.15398947184578904,0.08833998896175466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,272.5696084906434,free_3_start_drift_rate_Semantic_CMR,0.8646609545233372,0.5490208228546481,0.3814760043267308,0.5002268273258016,0.9940441476982977,0.6939554171032238,0.6042072202876945,0.46062558541410104,11.423693212766835,0.3710154409340092,0.0034562333478015406,0.5220108925053877,0.28154535591776053,1.0253218811136051,2.91822480514294,0.8956224515111102,0.3315856247807396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.686590578587,free_3_start_drift_rate_Semantic_CMR,0.49451910470892213,0.1490179558642319,0.22486974468186405,0.7085431062640118,0.351940168233472,0.4875037899191006,0.4084673877320046,0.5979372955306284,8.959413813476758,40.83268189361612,0.002673248063147171,0.5256850550352707,0.5411437638419265,2.1749320861569057,2.0595009661658863,0.6871321625566527,6.952585622378944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,363.07191525268297,free_3_start_drift_rate_Semantic_CMR,0.6513223294943282,0.8644724278426306,0.8840101047644169,0.9290662736998927,0.8614919450840675,0.5576436716463118,0.18909537732177323,0.055582088880278824,0.7558158317933206,80.06259379031025,0.003962943305621969,0.20356622706676397,0.1752723672921892,1.4783348598766977,4.942914984550864,0.14528563248787552,0.9036365151635453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,279.4233306860956,free_3_start_drift_rate_Semantic_CMR,0.6612554720354088,0.8734654243843052,0.2404519077604209,0.9058219303677928,0.9325302998683036,0.1492130575076716,0.8895565450652374,0.35258267280331257,0.14927956437311707,54.25894054526008,0.00849439201940938,0.20426549664788052,0.14769774486912013,4.154414047766645,4.066427636329649,0.9322078532982798,0.3069726452163595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,221.58550482299535,free_3_start_drift_rate_Semantic_CMR,0.8029798930318823,0.7645009418065817,0.8357044173445203,0.02923518582967294,0.9388503923376459,0.7393094022446512,0.4325799285050159,0.4360876283902726,0.7566814566909201,26.96770674724238,0.020588436987896586,0.19200316851791666,0.14246704407255084,8.69667787222853,8.696542309821186,0.5006120649883724,0.7577961685472099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
