subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
14,8,304.1388600871683,free_2_stop_probability_scale_Semantic_CMR,0.6242370434955442,0.2992193383814352,0.8724684288834141,0.9019684412116113,0.4970850604824997,0.8532907005584554,0.19609052838931085,20.831537823157376,0.44423680267082233,0.02486567584007987,0.061577998095351694,0.10354815108759663,0.0732847927570246,2.1732008990535827,0.3319237188709314,4.383666131079574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,334.9398607430129,free_2_stop_probability_scale_Semantic_CMR,0.7593112815292756,0.0229785206273434,0.0022480150757354656,0.9680838167978216,0.6915954495975939,0.7978391472344161,0.9736101438197933,0.8256890366702976,84.12121080217636,0.0021725250600528323,0.011932376853425908,0.44490145174319196,0.14424038356245283,6.907618254378308,0.31342640137719113,0.5294052317957112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,174.20101348750148,free_2_stop_probability_scale_Semantic_CMR,0.4624540650322455,0.1543945900230987,0.022493973624788888,0.5214196062641775,0.011225906785014284,0.8220561784707063,0.9201349592964592,3.9002832259516325,88.62976621891696,0.026343509779555685,0.07001735030678863,0.26411816992993487,0.12080614160595804,2.5772822781733766,0.38751283418891846,0.8625034173066846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,274.47563516626707,free_2_stop_probability_scale_Semantic_CMR,0.8651530485350571,0.27683107411224744,0.35084142204526947,0.9344422156725802,0.6286091555388198,0.22419323062712382,0.3705182667107632,2.522759043927813,55.4515652415564,0.013115202367859624,0.029936391836693166,0.2239138963819789,0.10371931003161095,7.584290542531733,0.04035212806974642,0.22591845725717796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.90940155541156,free_2_stop_probability_scale_Semantic_CMR,0.6961687759489074,0.15401671715263898,0.3395881906983427,0.32352702901170927,0.03801680731597784,0.8333523407288426,0.8454725709075255,2.714785249171264,56.39255342572098,0.024240603886083623,0.010714300242383124,0.16253506470991663,0.2225026027801844,2.138592313345323,0.06720791816237676,0.8639664139125793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,265.6842490415886,free_2_stop_probability_scale_Semantic_CMR,0.5390080093269474,0.14176215467070136,0.5031548171409945,0.6814166270356646,0.632593811441974,0.3190714170518466,0.674607630681341,3.1871352416526904,81.46341825903971,0.03477857665357276,0.011605607106459914,0.21884220695973955,0.23766893040645964,4.560679238452997,0.4180392700107867,1.1133280694555214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,268.9906274449015,free_2_stop_probability_scale_Semantic_CMR,0.5072342763335226,0.056885519094905135,0.4465851870552118,0.9418332931054016,0.32967665414355285,0.35541114235167837,0.9836943226708362,1.704404021738057,21.556032060358287,0.037989514717038264,0.026088787199211483,0.13112242989194645,0.18195264228417862,2.812248341681473,0.07746402085193488,1.9059142676634764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,307.2236527262693,free_2_stop_probability_scale_Semantic_CMR,0.48457311869394126,0.3238727803433256,0.7499992298292583,0.34621258861635346,0.03935424994085259,0.9168943958244864,0.5862343987342314,10.05093850846057,28.621981595051484,0.03444147411409104,0.0077375271344135126,0.13335255838596458,0.2543337045029564,1.858519303304828,0.17990899301939284,2.0508606849031414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,271.29206033979824,free_2_stop_probability_scale_Semantic_CMR,0.7975296277942999,0.8555742235639137,0.5773114927977138,0.9517165530425271,0.5794837740693044,0.33011037081437944,0.5950789607707949,0.456923511921957,81.82931408995972,0.019086594694158576,0.029110459011168044,0.21155279281523498,0.11906907798976363,6.688067714020388,0.06571837017663945,0.28455253409396875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,199.58794255723603,free_2_stop_probability_scale_Semantic_CMR,0.7668676255631712,0.06205147002367051,0.36859114392648634,0.8962968002266547,0.4400309445662114,0.9041145036675877,0.9773402879278708,7.260567234924686,43.57478529938533,0.003325178593661826,0.01786765153544856,0.6943333607822142,0.17953778401057452,3.3695367214797933,0.06013620307434536,0.3183745797098103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,180.8686923451798,free_2_stop_probability_scale_Semantic_CMR,0.7364051948993895,0.0011454512661788763,0.2065498097751048,0.26615338531727084,0.020484400915667778,0.8022925485708352,0.516654678562987,1.4161417307438455,80.54977880123725,0.0022407481957454345,0.03788616966973063,0.8968045894600332,0.14690069564458952,1.4802520188021395,0.14588257973629032,0.4467142873862828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,256.08435476046986,free_2_stop_probability_scale_Semantic_CMR,0.6134027772554516,0.13664416748528607,0.3595157515392117,0.060878348113514114,0.6334121844259966,0.348072353642292,0.48352102949858733,11.6584984758126,59.609770538277644,0.06404744189186218,0.004569611976487309,0.21984080394884398,0.3186575293476368,2.0570058214703337,0.41750076387327867,6.036277256309588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,288.1228773039183,free_2_stop_probability_scale_Semantic_CMR,0.7484921500848161,0.1219885931704039,0.6240106189871446,0.807521484692797,0.19024629418177944,0.4090376085401241,0.44835760206677655,0.7644875838141252,80.14034430709145,0.009260894620114571,0.02931265901446741,0.31174232672508606,0.14216711128971365,3.5331633150295536,0.18707194689182124,1.0693203515032308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
