subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_delay_drift_rate,1_semantic_scale
23,8,199.28253079511663,free_3_stop_probability_scale_Semantic_CMR,0.6332050069424056,0.11811506492832108,0.5824242427644983,0.4651655891005828,0.6949377706876724,0.4739101230756963,0.9138950387874063,12.25497308254517,81.78851272665531,0.003042206625571253,0.03591442854901661,0.7520134946548565,0.2556454043227898,3.8642198581814506,3.1231951491548653,0.021925347798733563,1.2677323048224576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,181.46537054211132,free_3_stop_probability_scale_Semantic_CMR,0.8059858346149879,0.13183393769740104,0.1640276632765597,0.47524108028663903,0.31697993121006013,0.8457588936413668,0.8917985961626907,0.42405635145416004,71.69504971197273,0.021510933565010413,0.053962881205026805,0.5131430360679892,0.14319215196911106,2.9699131449624985,2.206992909926745,0.02451456509012092,0.09426954050552272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,250.3601184100723,free_3_stop_probability_scale_Semantic_CMR,0.29466653915675256,0.9934469937509772,0.4950661321096479,0.9576033679258252,0.8312436094568725,0.14903188511630522,0.8067074855845362,0.07267261402974867,95.07063373530373,0.012069689583475374,0.0008975701950220683,0.37827173957352045,0.40877710886874574,3.4877270300469783,5.607203727729192,0.7734920430296036,1.7231162818313495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,287.7907197997714,free_3_stop_probability_scale_Semantic_CMR,0.7106933043621378,0.19344507891354956,0.6110757044236343,0.7149763096508385,0.17144116937183201,0.8504566498667296,0.209264814488464,2.069513111250707,76.0467857664084,0.013240057909720937,0.003911493609106975,0.2861246777369377,0.2502228602988126,2.8217378329391063,3.8136910015366987,0.12048710140840968,1.1920023098901789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,339.99557041172443,free_3_stop_probability_scale_Semantic_CMR,0.7677332912285173,0.15039101001777966,0.733019341352933,0.9060463327275916,0.5029470676568177,0.19583654459470423,0.9441444612755842,4.715724953162351,99.28221235300148,0.009694300360726327,0.0004331282023605776,0.20191124494316615,0.2989715908778461,7.280372849540154,7.277860275877294,0.032467452748575654,0.9553646028505209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,261.08108336011446,free_3_stop_probability_scale_Semantic_CMR,0.826532436647798,0.5559200480617831,0.6675330424838054,0.7570557659658924,0.4018874711301747,0.05475761829470743,0.515921602318572,71.5759259095072,0.028065408547981008,0.03467334460761384,0.016952758016469394,0.16498513947747195,0.10584373175039641,2.352260260061285,2.6688048945967853,0.6795153099352254,6.6057717218918075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,251.90086249898394,free_3_stop_probability_scale_Semantic_CMR,0.8864912660026143,0.26029333898898843,0.3834616093654183,0.8506510279204569,0.20735432759855305,0.5425375182709308,0.484363659608102,1.1114827014039368,48.505390886935764,0.07507345787769588,0.008550734185791314,0.1115838336918131,0.2337601515996154,3.1066437560222657,3.2875443411038128,0.11140970939628025,0.3380444319987603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,265.7048953363554,free_3_stop_probability_scale_Semantic_CMR,0.6729945576272989,0.12195510829937223,0.2897348977633136,0.7167929374874092,0.5376173373547679,0.29227316867839226,0.8023772207187735,9.953687190259963,31.879514490526827,0.0173514206752603,0.044007459460595255,0.22662205287012505,0.10743359701590105,5.302561002173487,3.4700891367223985,0.5654745175635507,2.935645095552056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,272.5611857262214,free_3_stop_probability_scale_Semantic_CMR,0.6198426214772732,0.14599003800524718,0.21645615363551374,0.5832259671480531,0.5836561820384076,0.6911916173510404,0.6410317741071905,2.8356734102970265,43.318451365745645,0.011233802004489757,0.00426713586409555,0.27617526021398575,0.41257079824325515,2.398913709357373,2.8692522417043813,0.07740024215079694,2.29079457859243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,226.80620633370165,free_3_stop_probability_scale_Semantic_CMR,0.6374471454259255,0.03270155232905166,0.276315033265264,0.1258903150799443,0.0022212725582306542,0.9723048359722704,0.7191622042683411,2.3056638877231963,23.002156154814195,0.013073861649346983,0.003498283791095359,0.32055590264922296,0.44754380235396835,1.4434735218628394,1.2604578098301606,0.18422271625235268,0.5729618735751696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,315.2630270018402,free_3_stop_probability_scale_Semantic_CMR,0.5721354133501975,0.48652099691758444,0.7825081370647409,0.7926697182989424,0.6271582045494017,0.6677156914543849,0.49712179960622666,0.15833734953369571,39.36897013772007,0.005173617715743151,0.022496906289257212,0.34164377739027074,0.11394917725013975,4.165949069559452,8.755801508352752,0.4835072903896031,1.1207692420699136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,198.25684496928955,free_3_stop_probability_scale_Semantic_CMR,0.6518773796078587,0.2050175467156765,0.2336892136484255,0.9893533093824142,0.26440798730096443,0.541975784875665,0.4935769152305576,0.2298580036725113,29.966624074011218,0.008193625086264256,0.009474496803463406,0.5214911949943479,0.44275773690582376,4.482310827500548,2.402038325253538,0.2951241290908112,0.04043779852461782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,273.7926033864635,free_3_stop_probability_scale_Semantic_CMR,0.9519199253363858,0.19450225790627518,0.5749257485709339,0.9814462639833139,0.4115384364451086,0.06769566103515406,0.09515344239432771,46.7436829336153,0.28156540758777027,0.0414963012452908,0.018130068834981472,0.2520404863455328,0.17673289230153166,1.0115064648530758,3.0425518895928407,0.21828718021621313,2.5366452951427565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
