subject,trial_count,likelihood,model,0_encoding_drift_rate,1_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,96.54096607498212,free_2_encoding_drift_rate_Semantic_CMR,0.5499667537363684,0.45092968940699596,0.030921543273002894,0.31852363266029693,0.8645164706214743,0.006430949043963408,0.8914217046048785,0.788230020447973,0.030874705603814334,3.7586168377555325,0.02900604532002382,0.28470539968861,0.3551590734635486,9.91319108482029,0.9817042911030167,1.9635539902011345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,219.79585989784573,free_2_encoding_drift_rate_Semantic_CMR,0.5976684844149397,0.03758429801120274,0.1872811828309923,0.5550171401203001,0.4976550286853702,0.07470304974154898,0.495010451216174,0.9714651823229157,4.930263155140326,0.6713742882039366,0.0015768104785796782,0.7523702357401392,0.39544825413415174,3.1287869623532885,0.08990285334751418,7.248323368755583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.2456997146779,free_2_encoding_drift_rate_Semantic_CMR,0.5218920773410213,0.9904871128940149,0.30454693879849803,0.9394991081908826,0.9327402188308038,0.7404780060016641,0.7976898317249809,0.27889280556778373,23.918978165245385,64.16215744472478,0.020482578181835465,0.1657658118695018,0.06653039904547065,2.6156446875096764,0.24792533241363085,2.980738559827109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,335.68687055996236,free_2_encoding_drift_rate_Semantic_CMR,0.7527916772670384,0.7791775199168616,0.15112424782728812,0.09675532577331702,0.9120154756749048,0.5593166640027988,0.9992783642390523,0.444607199399514,0.172964768866251,11.301285849051531,0.002143336343018609,0.3833503962842988,0.27497135862395705,6.0222793383240925,0.3949484782416881,0.381799697585711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,177.43848871760036,free_2_encoding_drift_rate_Semantic_CMR,0.6072518805352507,0.46600061369500956,0.023832435728777135,0.6858640420462064,0.7730913226550183,0.20217326106564104,0.46386338851345477,0.1315432684139955,14.257006386825879,13.054122689953097,0.025183869932145553,0.2841795989475111,0.25872726558627956,2.19301288010302,0.09015964091453627,3.6590995619569444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,272.8283660350981,free_2_encoding_drift_rate_Semantic_CMR,0.7320910195877521,0.654222789730537,0.3149434964161806,0.4725621247551837,0.8221551230060347,0.7614474285614101,0.8108991518970138,0.7651187115825813,3.952518830381912,0.8910211340589811,0.01736938687207268,0.23375422617812625,0.1804173175030801,8.721780594252627,0.018222945745652086,0.386646241984284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.40687350171808,free_2_encoding_drift_rate_Semantic_CMR,0.6180575152271375,0.6911768062402445,0.2572316323772045,0.32945037995334014,0.49375811918235996,0.0788661675392851,0.9860829145190897,0.34212134691646057,2.9779090264141246,18.028337622680557,0.018433591423048123,0.18931315210400257,0.2160406159512176,2.950399417764511,0.1189010967421571,0.6067823453379164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,265.16163278698804,free_2_encoding_drift_rate_Semantic_CMR,0.8105189178902741,0.7911347325557596,0.2965593028483348,0.6153042861456526,0.9977250768177286,0.6983957304561025,0.8690192448868697,0.37363984969341957,4.067548250314856,56.01748691403427,0.019048177702314945,0.3013580605462501,0.18853296828698424,3.422642009378449,0.9565440483801662,0.2168674065153227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,259.29169782969325,free_2_encoding_drift_rate_Semantic_CMR,0.43798697889217564,0.7175410571058853,0.5470722979454826,0.47362623676809923,0.959870566029099,0.5808796985046812,0.44374238239805963,0.9885998711667483,0.07644246765692486,95.88820379696158,0.005037288860601896,0.3495213386638776,0.34243996397762544,7.506925245006525,0.8975104094796131,0.31444385014819076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,301.7533408122947,free_2_encoding_drift_rate_Semantic_CMR,0.6953913834442167,0.47181885800901446,0.006431283405256864,0.5987350662204882,0.7240804594814048,0.0992548905580553,0.6367903459188878,0.2770144367214429,42.02233582750636,82.72770419246181,0.008399156851436714,0.3268045314263552,0.23624698425448135,2.426759066573412,0.0625401067890508,0.43408145768558315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
