subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
16,8,174.48034721842004,free_2_item_support_Semantic_CMR,0.46600570750178827,0.09004382387163434,0.1748873491631488,0.42976439708020797,0.014488551380308468,0.5811062422590021,0.7128207041541884,0.7559730864203943,8.749226162886963,22.102509706692775,0.04236881234377493,0.15254679912723468,0.25231644373746054,2.271958479572035,0.011268106049188709,2.201722349553622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,270.1226629660873,free_2_item_support_Semantic_CMR,0.8904239577034085,0.1461616024325651,0.21914394471000398,0.9248583617154309,0.5354272172906486,0.49039156686689567,0.08477226570410029,0.5564714325496695,5.669838716088691,47.28202927444934,0.004763179970815101,0.36424401110090177,0.2850091024813075,8.623778172111617,0.1584845071004497,0.20880208398055355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.1801269470818,free_2_item_support_Semantic_CMR,0.705011496437942,0.03438997923661469,0.49548333192177507,0.20978544469661403,0.3151738516000715,0.5742111450569367,0.5591834024381915,0.6213439436170107,10.99070891067435,31.012420257844337,0.02270147009447082,0.2061213551382659,0.1808489398907751,4.167170439069722,0.03368377258415467,0.6343278530278376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.24720778049516,free_2_item_support_Semantic_CMR,0.5388257218444562,0.09974596967548714,0.82249738450861,0.905060645405167,0.3275459122166121,0.5300662819474777,0.17887950227618424,0.6068252672008025,14.609301060064777,63.40433521438278,0.01626941562903736,0.3230679778236996,0.1937364537336955,1.584609269058397,0.1194691778765458,4.521056081654238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,261.47594015297614,free_2_item_support_Semantic_CMR,0.6409752041855163,0.12999147709748532,0.2583887917483351,0.9536652604649927,0.6253012718556961,0.4861595922318106,0.5476162212351298,0.8725947532639025,0.6603645096460582,0.5694555443115021,0.021979168069794996,0.1985375066169457,0.18159258850940851,7.151477232398888,0.7350322854642568,0.41538302939346483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,296.47305786140964,free_2_item_support_Semantic_CMR,0.6099220678500992,0.04858447519880443,0.5818658923121803,0.5153926823846078,0.13629442581040535,0.9927166553905203,0.09963469723459367,0.9575731446524264,24.342210238134975,53.197238816574114,0.0016943467425646341,0.43555289698136246,0.33761571935865486,2.571862730156513,0.17305870238465465,0.7259387343800618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,268.9265376335296,free_2_item_support_Semantic_CMR,0.7754419350139734,0.8574603715716074,0.513715747452422,0.9888835822868386,0.5538648212969048,0.8658827311500521,0.04922245414027182,0.5396102256230206,0.33441042372833607,26.384408592047944,0.002784549216736154,0.3745518914023096,0.3152592295160703,5.494030226756934,0.016049722242860387,0.3590755462612858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,196.3270949626057,free_2_item_support_Semantic_CMR,0.9171546619352633,0.08602985178577854,0.5398647131687686,0.9722069280434964,0.33021087678311356,0.698036523363886,0.701646401488827,0.7813534423058404,21.334236180502597,43.49969960177616,0.009907660446563549,0.6012996188795015,0.33826695542229057,2.5326682033998704,0.07078527746681307,0.25031211384275753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,180.0174559671167,free_2_item_support_Semantic_CMR,0.7593210212432969,0.004180258818913152,0.1212499247777451,0.505148321245708,0.03408618052381157,0.9828703672924535,0.7610026873544387,0.5269753782599642,1.4202286369938761,2.05549852644009,0.009679394719025514,0.7152548313307863,0.3320702964553517,1.7589279402749742,0.2721901233628996,0.3538874037294679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,254.2532549394689,free_2_item_support_Semantic_CMR,0.3790272814747798,0.3555434246130698,0.0448206905143444,0.9764252875486346,0.6882295325089021,0.4084104129160511,0.07481599456691651,0.2603348635724122,5.26475888473518,22.332545235933342,0.011377732960475062,0.436427188402595,0.2255394452881081,2.135288578162794,0.032251375636259794,3.741659049189527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,291.8488182360645,free_2_item_support_Semantic_CMR,0.7141724416806571,0.15055857904425668,0.5368696497197705,0.4037217773906611,0.33372434524455863,0.38164204232108817,0.2326278552317943,0.22079605365491467,0.6108926207273129,78.85369711165144,0.01712412194915125,0.26211194524885517,0.08747962010254717,4.496284690708784,0.07131263404031368,1.2309245449867792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,338.4942481141528,free_2_item_support_Semantic_CMR,0.6918583620676302,0.57858084056496,0.9797369168633001,0.862758307146879,0.48769038624928673,0.5555939498074045,0.6347207621907958,0.7850398506687898,1.8177253355318825,67.23801204915645,0.002394553621968609,0.3063409051435366,0.1978206291607041,6.852481259667256,0.15617520108170163,1.0095958431649397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,262.3445491493406,free_2_item_support_Semantic_CMR,0.7479946346876418,0.5544692979983913,0.6129777343179921,0.8198784502396594,0.2386485000306715,0.7889215290573768,0.08230846410235498,0.3536080658523018,26.87222816462353,0.030532000553996852,0.017397453996553125,0.23664591664987888,0.07438672072327357,2.605572422988887,0.8015702128487385,3.238075964328547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,249.35508863883916,free_2_item_support_Semantic_CMR,0.8634394738201754,0.15871838616925188,0.5312786944778859,0.9067401677050517,0.5371641495484514,0.8530064925204295,0.9406872234566191,0.6119108212466657,0.24827194004682696,35.365013157073264,0.01577703555469062,0.27433677595605754,0.2162077385195369,5.868727522727834,0.07322810221535253,0.3741695607844058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,263.2776957724892,free_2_item_support_Semantic_CMR,0.5278828088383728,0.23972726202484007,0.7767366939482655,0.6635303319151985,0.6461238271835497,0.4178405136880794,0.9093595690116552,0.8463193650181156,6.620352095009487,42.083275424537824,0.008737289231761924,0.2720552587617524,0.2831346398370629,4.995865937279816,0.3097661268449863,1.9833440021700186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,272.3900081219222,free_2_item_support_Semantic_CMR,0.5670688714179954,0.018162759376261328,0.3623967529564179,0.2097893302821875,0.5980083520287699,0.9930695291120624,0.3919198314665045,0.9954444214639947,2.5678918158075916,53.88717310930703,0.00173244799184602,0.42110319972074883,0.5103636743657711,2.1059273399148744,0.10825287060722294,6.500446527383794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
