subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate
12,8,105.1876927972563,free_3_semantic_scale_Semantic_CMR,0.37782392946641447,0.03309479872739618,0.5767694755921331,0.40780486814968253,0.10011500902576598,0.9436824755879397,0.8984318439846186,0.4349165597208895,68.81653694012356,0.006482844266010923,0.5057281540767553,0.5483536748907794,9.60175642067668,9.959424326840995,0.8311476301245431,5.529635512981801,7.568599367553399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,224.7783978591225,free_3_semantic_scale_Semantic_CMR,0.7549586874273783,0.7744305714825978,0.4413095514446717,0.9175782924133988,0.09005739494138007,0.7338278481198984,0.38545887890190533,1.8983450238185717,2.649256812692377,0.0076641415863139845,0.4773133772661695,0.2520519301420195,1.8400833437350748,3.001748006004807,0.06583465235249279,6.894656743488747,2.060457455581136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,302.7553527632083,free_3_semantic_scale_Semantic_CMR,0.6087905220864442,0.8491601111117193,0.7402549919649059,0.9022639524650344,0.6760683012866252,0.8394744376113281,0.8815714479936898,0.745865401544755,8.862177414486581,0.026610354662071345,0.09949460814414923,0.05529617520372376,4.996724453509766,3.1297929098948503,0.044133789269837354,1.924088925156525,6.254850327047505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,340.36414223652355,free_3_semantic_scale_Semantic_CMR,0.5040880364139754,0.4740058664791241,0.7203423873449769,0.9053354787651495,0.7161307606951829,0.3235650476206554,0.7421839474910417,0.5412785144528769,41.46860078448189,0.00323665207448276,0.38242432916129765,0.24713343724057335,2.05198378997242,9.797328875570374,0.015274091752368157,6.139216544615696,0.4791932309988116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.2064945685097,free_3_semantic_scale_Semantic_CMR,0.5756738483964274,0.154373236827203,0.14955127068823454,0.9217969902644256,0.19470026320324485,0.8813512662679146,0.7719965419046668,7.736802111713246,76.30335955383043,0.07582234944933913,0.1301599891556462,0.08819775135726182,2.052280949911831,2.5765722724102504,0.048345291804050006,3.7945228443301287,1.167987423638671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,273.3089372242591,free_3_semantic_scale_Semantic_CMR,0.7770572396842846,0.3290725025977883,0.18810631867521016,0.9802620475365162,0.2571301577636017,0.4633017407672715,0.5802771706635559,4.245100232519235,82.31025110018406,0.003167481845637976,0.42062527259491755,0.32369393436512617,3.445857118162534,4.5972568996013194,0.10692794986988868,0.46597900725970476,0.37339003295404627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.03523068657807,free_3_semantic_scale_Semantic_CMR,0.6155578548000067,0.04357146876794571,0.16200563844426075,0.21792272424545012,0.1210489291923953,0.9117263849952975,0.2280361221992861,5.998174481324789,25.561284466485372,0.009343180111072102,0.2783444658141949,0.2512931654371622,1.9048946884702205,2.5308015687781236,0.040792470263987635,0.3212704436130309,2.281958868996903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,265.0816287199608,free_3_semantic_scale_Semantic_CMR,0.7382583754533619,0.12847944730235727,0.8574881085192179,0.9616257608942217,0.30626264007602044,0.20850996215898498,0.48269596246261665,3.6167148724596596,66.60899306783337,0.009005171129902019,0.4495290813176376,0.20111443499028733,1.1839734014858536,3.6355375793553897,0.9991569322922924,4.8380087713987425,0.485283077484599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,265.9428038718746,free_3_semantic_scale_Semantic_CMR,0.9014605098310116,0.26443349422153145,0.45566629731755354,0.975377654299667,0.704770322595485,0.813174447868992,0.461419601887131,2.7717756152013635,81.76217012212228,0.0262119675267683,0.20080438842412374,0.13342062647483566,2.543110710888536,7.013405696224082,0.28431657317555425,1.025330068870244,0.1765162488090546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,307.8591348212092,free_3_semantic_scale_Semantic_CMR,0.8342807364787546,0.2547528881645623,0.19873166031637823,0.2976613705489253,0.2206889785700018,0.7535023264733481,0.3414793110243033,6.980477309676871,69.6014464391414,0.011666804051290669,0.2758400812834294,0.21199895168339467,1.9908484371455337,1.9459093543802917,0.03465291685577576,0.13907825473459923,5.529688262348504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
