subject,trial_count,likelihood,model,0_encoding_drift_rate,1_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,96.50085964038846,free_encoding_drift_rate_Semantic_CMR,0.29006191015561855,0.5515526631503812,0.18510925611175016,0.9989378631012503,0.007283251828288206,0.849200986691947,0.5837457716724681,0.046291465149664646,78.16138563284964,0.0029516293670653893,0.6576850054714267,9.96013028812237,0.9707349255438559,1.4590326058597936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,229.6604695515962,free_encoding_drift_rate_Semantic_CMR,0.9915572417052122,0.6297801107522139,0.9645821505084218,0.41062855295067174,0.49971464430322027,0.6271298630909632,0.752349148641994,1.289744083246923,61.764791037530564,0.02794980362864996,0.16125153435446737,3.108036878700581,0.22744121146157525,6.2631969869711455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.001269539382,free_encoding_drift_rate_Semantic_CMR,0.6117780726247095,0.9444060212497275,0.4077834871445752,0.966610837339957,0.37567135391265155,0.3475636597135127,0.5060499917925759,3.85749532577519,69.05672862206116,0.03849651864331316,0.0865760460189886,3.38503654922445,0.7195080531958548,1.2961801882792585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,341.5142543691338,free_encoding_drift_rate_Semantic_CMR,0.16812767769055842,0.6566779873920379,0.653365381529494,0.8211655062084049,0.28951387093732783,0.15603984263970083,0.9261457044961705,0.05393585318623906,60.91853534145048,0.004217726255009047,0.2085610641401523,5.6281251852516325,0.8076560642008633,0.5014012307328857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.76034803492766,free_encoding_drift_rate_Semantic_CMR,0.38944407606950954,0.5303820502504597,0.15598512397130815,0.48781318090265224,0.03654967382795693,0.22309949308900046,0.9738730868339092,5.873153653309075,72.53119620837745,0.06592047645468063,0.15138777490382793,2.22484382812715,0.10628748110248493,3.741346751926171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.30127641713545,free_encoding_drift_rate_Semantic_CMR,0.3456742430987499,0.9060366400421875,0.15391290629212911,0.8243014778940649,0.45983516147713377,0.14704784064323206,0.148371294868834,3.8474246970296946,1.2192087414062982,0.004138850888349144,0.30280254901792514,8.482907248041132,0.22382052695283533,0.1505670580577787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,241.77380368658388,free_encoding_drift_rate_Semantic_CMR,0.5527233715084706,0.8668948666671099,0.237365652219446,0.33121005378745527,0.00019256982101845121,0.5757175602260018,0.5862539923209554,1.2116116263461905,56.29788705946637,0.00864365647192955,0.28438229440460105,1.7666861990303095,0.0010190568277648193,0.4139053495856384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,270.2515011800208,free_encoding_drift_rate_Semantic_CMR,0.28915659853329856,0.41848540549117014,0.08042528397058352,0.21377750511917448,0.06611229329912588,0.6075120972813592,0.906097591598712,1.2178233594356982,22.387979892970556,0.021002481058703115,0.19087420220332074,1.9581453139509213,0.32425273723643,4.748351739143413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,269.5471200645335,free_encoding_drift_rate_Semantic_CMR,0.5325139746216585,0.9448918583903861,0.006775494006210692,0.6943140012303184,0.09800431129081444,0.3631761596449323,0.7930715236917311,1.0512117271538415,5.567856219040671,0.01515608437436372,0.20981434815664457,1.9445473884196174,0.6222873021404043,0.4335970520057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,305.941277160132,free_encoding_drift_rate_Semantic_CMR,0.641270325505275,0.3066482847638279,0.040029304502329,0.96102734193957,0.2116259768622049,0.7336585690678057,0.5798215947420788,38.226623403721156,50.57162889379855,0.0026763828842262805,0.37199964025664656,1.5266173732556867,0.13864042572954777,6.570266140778795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,273.46454113997254,free_encoding_drift_rate_Semantic_CMR,0.6365318462298502,0.6621852943539581,0.8866934382920426,0.9452706283362772,0.7812125159641509,0.30824391804385665,0.8057019299868662,0.152829939005926,5.178695638215444,0.008869557662114835,0.23004879254675092,7.911879026787457,0.07603378755108386,0.3649309827891054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,201.55333947146684,free_encoding_drift_rate_Semantic_CMR,0.811002385371908,0.9516599062048517,0.006613642077204496,0.943467590280634,0.3757481728293532,0.563685245560614,0.6881194848787979,20.851897331178105,57.919174399741344,0.016395782281444504,0.2948983306913142,2.0418864566420836,0.16086047323324704,0.2796583560744885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,185.0415293377016,free_encoding_drift_rate_Semantic_CMR,0.81260748687299,0.7775247231786815,0.03983404142519853,0.12484326950056351,0.0765576368313931,0.933896857817079,0.6450443097895668,3.156744037716038,35.1236975473779,0.04089714607099565,0.19868621127110941,1.519182162761552,0.016604886568893085,0.3767856931514686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,257.15653122301205,free_encoding_drift_rate_Semantic_CMR,0.24686230999130684,0.8201574146801871,0.24626286257232224,0.10913683312999906,0.4611550852071661,0.11870642148385362,0.506335247443909,0.9891250739559022,26.02286046687322,0.008545971199261645,0.29390480999620716,4.158627132605752,0.35034230690769236,1.2024235308660487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,291.30671313871005,free_encoding_drift_rate_Semantic_CMR,0.7023702997436271,0.7716593702994992,0.07784763184671667,0.8786196874467054,0.17946424337775163,0.41959448446317665,0.4117452536892386,5.952679549806604,39.82529411813706,0.016872551081208165,0.20102920989754836,2.544378132604824,0.12566184495812643,2.2352702944768015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,342.21261347458875,free_encoding_drift_rate_Semantic_CMR,0.6603658445931637,0.8282577815883898,0.19407267440698828,0.9949683586137847,0.12886682519629533,0.4577890303065274,0.8971319630986809,5.668932213946803,54.58510318673877,0.004617871759195924,0.19064717064894943,4.35597033839116,0.7003899110158497,1.1685713106348814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,259.53876753852137,free_encoding_drift_rate_Semantic_CMR,0.9524485156057136,0.7952330213134496,0.5042751779549868,0.7714239140551586,0.414850884373372,0.38456829155887623,0.6045781797336922,1.5213940281319864,34.56079585292843,0.024708462390679364,0.11690324006517194,9.864220928401028,0.97284508385776,0.08034006760771906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,251.8063097402292,free_encoding_drift_rate_Semantic_CMR,0.7020851346347683,0.9219439061575335,0.09215612463723277,0.40856137961701783,0.07541452966129174,0.907566660077205,0.8790402062858456,1.1874526232632179,62.666869812525235,0.007469392599993658,0.27429812178452384,2.7239007180107766,0.18816630515187874,0.827623181782108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,262.9981122945773,free_encoding_drift_rate_Semantic_CMR,0.5701536421024743,0.6589114518049065,0.021954396344481708,0.8618530668754556,0.6489108613807146,0.8385757302304206,0.7071342695846248,37.46735130564308,97.20882070506514,0.004120207180406232,0.3650271649153236,2.5243415968626715,0.3664520462702489,4.097014785331461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,274.16841221195307,free_encoding_drift_rate_Semantic_CMR,0.6166554393181021,0.9983699537247707,0.350554968622858,0.9404487515210751,0.8591301445984494,0.13655267367629748,0.9822465406277913,15.13884784444398,31.487717363327427,0.0031783486224951085,0.4208390116300018,1.8765065812064585,0.5761674009014632,8.619121981829409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,230.71822898838036,free_encoding_drift_rate_Semantic_CMR,0.519820006251677,0.6298015236214975,0.03657917640484809,0.46333676307237337,0.016658376441544553,0.011520976730595822,0.8440200606627468,9.238166255566348,34.898346259685184,0.011696801705253723,0.36517867271023885,1.63148188595423,0.00499740854322217,0.7479104732944917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
