subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,95.96856320671063,free_2_shared_support_Semantic_CMR,0.5094545012906322,0.1205871061529275,0.6018090464298809,0.9724242591494917,0.0359405976570395,0.07935688095199739,0.9477807501630935,0.6513515908399239,0.09340557148202322,79.81504117879805,0.013507856010235408,0.4222169568427976,0.40847352610677845,9.852521839145046,0.9530603898013372,1.92230040226581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,226.29505735739258,free_2_shared_support_Semantic_CMR,0.7242238211152725,0.8909579451067502,0.6228529845396773,0.9016535938750478,0.5891545278964548,0.027718550210358628,0.16598116755892717,0.2915661313890662,0.9911147398368314,54.824298735203634,0.005644954552841919,0.5642167068510622,0.28253882987584333,2.42974124098998,0.5303338134679021,8.236525882770351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.74718641945765,free_2_shared_support_Semantic_CMR,0.4681676217051032,0.5415227170081409,0.8959515938305527,0.9702225361765028,0.880987096394259,0.7156475124779873,0.13537984581599277,0.9476510639979203,2.37337568783488,26.66025904111107,0.014940451056855986,0.12740102636262218,0.11593120716958616,5.077509128314224,0.8351447196504447,1.5019939543720815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,343.3527487851011,free_2_shared_support_Semantic_CMR,0.7285496004833784,0.02879530431355921,0.42613629991969376,0.7787522087361252,0.3589111889436994,0.6529115048061437,0.6322771373499568,0.410246498008666,7.705794722046321,52.40007981826473,0.0007243277308361442,0.5227897248991776,0.2696839609229109,3.3397190655916997,0.3084248507782082,1.4745509327552178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,175.3633918025527,free_2_shared_support_Semantic_CMR,0.46487697996662714,0.0060637652339585735,0.24130817855200215,0.7331496428260189,0.26162660850554553,0.14167285563536153,0.8391409712197195,0.6103495910312264,9.908534079974416,38.37237224825117,0.03305682368414642,0.22628870923638722,0.19701263073888597,2.545003000882733,0.3060267514664031,2.9560160259146513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,270.8454618818159,free_2_shared_support_Semantic_CMR,0.8900691628019217,0.02203101268470251,0.363299358196458,0.951001962560531,0.5849929908858061,0.7295396256054478,0.14827194979456162,0.7714290272744629,19.950261060682458,24.676564951355672,0.005861617736755456,0.28894156613052197,0.2700499885357445,9.477622736000328,0.04204411127359803,0.2183569043703186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.15030355504612,free_2_shared_support_Semantic_CMR,0.6900073944806105,0.053315736502247024,0.15172886305827432,0.1432202627369416,0.5426209003335376,0.40177238862574965,0.9583826573650414,0.6495602102623621,8.521692371879766,77.84988808892382,0.013830758418277689,0.23736249971232493,0.25599582496988216,4.891432435186528,0.047614003242983094,0.5403017511537955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.9054017672173,free_2_shared_support_Semantic_CMR,0.7100391318212617,0.03738632243183326,0.8048696247625909,0.9013313631977642,0.9445083175874002,0.8193166191964536,0.24388324408494066,0.9719549118845769,43.527993620735394,71.70150426332134,0.026742557388123978,0.3038389797368408,0.13916465115211096,1.676683102139064,0.35363375036456146,4.48295068864096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,264.6712917527708,free_2_shared_support_Semantic_CMR,0.6828353254306917,0.172059826972414,0.3699024074637846,0.9553847318837473,0.35301580897999424,0.4442209166000236,0.5926555055296835,0.6919548155929583,1.0975381825900001,25.652067468077462,0.024194949373096353,0.20531290253075074,0.1969939607822706,3.5455007903933784,0.28807520078942184,0.5353517452875032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,296.2140695453949,free_2_shared_support_Semantic_CMR,0.7464529800511053,0.008356278555601726,0.36558006923950465,0.8284797782183886,0.3936733486260814,0.5424225717177027,0.6144074101737531,0.9935607236953049,29.076622159870368,76.03313912271693,0.0021723373797155054,0.4080652838672414,0.35234093826302004,4.9062577937376926,0.08091772235858424,0.2917621622361928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,282.9815889692831,free_2_shared_support_Semantic_CMR,0.6567784488997942,0.9742828153816144,0.4609227741164562,0.9455190162281881,0.07316979178192357,0.03246002733925468,0.4394937125472813,0.3690366260764612,1.1107467556658506,63.7636072716428,0.010083266559187953,0.2751297828498931,0.18099740300485756,2.008145692077968,0.594777412259485,1.3637537925482963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,199.98483997171877,free_2_shared_support_Semantic_CMR,0.878522873767235,0.013419277844988697,0.9324693047730073,0.29711953265282476,0.3206307616317905,0.19213047311335602,0.6865881495118131,0.5467936460216842,20.605489737925133,69.61131855939317,0.004714160618160823,0.6999998452374152,0.40937726574110567,2.2218776497134387,0.0785730986359286,2.534566605000272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,180.65823811171134,free_2_shared_support_Semantic_CMR,0.7753372732025483,0.1497869101929489,0.04235454950443201,0.437468315004469,0.1270743434213913,0.057152093082098746,0.9441248474216398,0.36094032781738045,0.646980400868374,54.54737995755359,0.025075847774738882,0.4758749885289531,0.22309404572922642,1.743690179332173,0.03044175543626319,0.2807389182109674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,255.55880160530583,free_2_shared_support_Semantic_CMR,0.7210530094727698,0.09386177295624165,0.28561704744460126,0.9881493958302265,0.8676050049969242,0.5267332652582895,0.7858576666299841,0.5018564058561791,37.60312728658185,61.7813552146964,0.010672792959347976,0.44109674917606956,0.23974255988327986,1.585461631161654,0.8850488486862382,9.778958233802204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
