subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate
17,8,272.1236975183135,free_2_semantic_scale_Semantic_CMR,0.8141885818824903,0.04344299796189982,0.27834833212155957,0.8766775389677843,0.44996494130713,0.3900478040576142,0.6121018928844519,9.926098121726504,47.47928048564852,0.0036126280147633083,0.3631708102531048,0.2505970311347614,7.281341608582226,0.24513542281556955,0.20586929358551576,0.2975522078339061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.06202113109697,free_2_semantic_scale_Semantic_CMR,0.5792893440441108,0.20828234932450887,0.17841731118197604,0.25559146555511114,0.0031318902031239487,0.44706327233755644,0.7597288698770511,0.10981060936393679,22.25977447950829,0.019977637075544313,0.17359726349825094,0.23413839087451097,2.333436602447183,0.07999135295713783,0.6392593045417768,0.6701121414549506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.1609026046864,free_2_semantic_scale_Semantic_CMR,0.5785320451316277,0.03472062795763531,0.2878367955253399,0.5891736645325457,0.31018791145663727,0.11529237962176181,0.9226476680573208,14.859834432185323,47.56983054236959,0.017203378481224274,0.3172534211512277,0.1732935517294827,1.7021850831022425,0.012271056216923426,2.4284664408460137,6.00779486074989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,266.662217381932,free_2_semantic_scale_Semantic_CMR,0.655552949652948,0.03889742469564239,0.25019705574241613,0.9824363797669231,0.6890190270866514,0.9004029010840771,0.8798585782109001,1.9466440691274443,51.746608762868654,0.013865889644076035,0.2730050661746537,0.19092977787799992,3.4192823559591052,0.4392642519617873,1.4372392914805365,1.3409278896637296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,305.5526485224267,free_2_semantic_scale_Semantic_CMR,0.661951578273132,0.05403731640332106,0.48470199590875945,0.2545373210727589,0.011770514833902828,0.8630596064423174,0.6116238675101917,67.94378137800611,25.14441392735313,0.011654289347158191,0.262945262270591,0.22594226819931312,1.1700743810876366,0.10639738377749336,2.2570890282874068,2.2446967732433154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,283.40169516546047,free_2_semantic_scale_Semantic_CMR,0.8530596286025638,0.8292777552898268,0.6972664649042517,0.754028318112944,0.12187663792947923,0.3543481366967051,0.44752197127406834,94.19730806985312,0.03356919820411869,0.012104136918066334,0.2795789762506213,0.19914925250460108,1.4079376666943884,0.04301424877929709,1.783738888237027,7.244115587395562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,199.60996298136592,free_2_semantic_scale_Semantic_CMR,0.8682925495395262,0.12915277499091599,0.3330756372591085,0.9860606200124818,0.730677193154009,0.9517931446981525,0.8264818207948088,8.462038285158116,75.4331192950095,0.003787821122341939,0.7034674232915954,0.4199557001463967,2.476183657925029,0.10918312703759786,2.670781433083027,0.4937419819595714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,181.19552513694424,free_2_semantic_scale_Semantic_CMR,0.7587248327385682,0.09131920454900205,0.479503741200374,0.3515744338763944,0.03514269747730209,0.46649972635420595,0.09982647740406758,1.0644378195060256,52.02864251125503,0.042451782818887784,0.405890301226318,0.21945131214401847,1.3983303826298683,0.07139595828246303,0.052839694313591146,1.4161004798056922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,254.23324143769986,free_2_semantic_scale_Semantic_CMR,0.22433132656731414,0.4387538420724003,0.3461407855804861,0.9261974096376115,0.6949100530811914,0.24782312585627242,0.40340543882844904,5.101725181442092,75.2696128158353,0.012462355329015629,0.4305590729196087,0.25876979258406774,2.409774654419597,0.8509196898253804,0.5548806738007626,5.4560745040942855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,286.8710146487679,free_2_semantic_scale_Semantic_CMR,0.7150916748290636,0.08041814869130898,0.704056088571371,0.23682438541892992,0.31532629358363506,0.7806066152247817,0.18277253549766942,1.1595120697358183,71.40956944695662,0.004454283371900292,0.3803661663711031,0.2615212387849617,3.7214471751930773,0.03116770664641788,0.8150467594377178,5.741075977158614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,339.1312191800921,free_2_semantic_scale_Semantic_CMR,0.6598951489561894,0.2378239323363624,0.878261167857268,0.8908945563907322,0.7368676419557978,0.8978409659274456,0.9909771343508907,4.1823796207431485,1.9113324085259933,0.003773940119626007,0.2229193373078342,0.19425110166061188,8.137069650733501,0.153928977766485,1.3749835404784347,1.3502165950536256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,265.344672617125,free_2_semantic_scale_Semantic_CMR,0.7720471637610989,0.6543233626819784,0.8090827924310185,0.9211377576217397,0.04466748872513099,0.5452877863950131,0.3274648273460278,2.5815607398815033,53.19717686782345,0.004074474379767989,0.39487677002770205,0.14442554158531795,2.0263475955255252,0.8609163979163976,0.5342870809478146,0.030698517383036084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,256.74829425635613,free_2_semantic_scale_Semantic_CMR,0.8819296615790975,0.020575043654239566,0.4202789409234418,0.7191082023343821,0.11532078702822984,0.8030271033451678,0.9096855037813034,2.605861418824354,81.36378137031886,0.00343272212141138,0.3852400357332133,0.3090952729773955,2.22479714572855,0.0352773381477694,8.029855687339412,7.021270359415976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,262.0586046162188,free_2_semantic_scale_Semantic_CMR,0.8085080318091156,0.07532356335313184,0.357422593513473,0.43552369729174345,0.6933358941185659,0.6451385887805976,0.652441366127174,14.7792944687247,65.69618960403136,0.004998623288893778,0.355654022441378,0.36225322160636253,4.244533331528849,0.4925067543355509,2.1459939698031985,1.656845392130589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,273.39295036640914,free_2_semantic_scale_Semantic_CMR,0.5548451057568601,0.5342413295443873,0.9835143603607411,0.683174575608198,0.25248840429531505,0.5538742363309931,0.5150726292478285,0.7389313897498653,71.46461919551928,0.0027503414290442896,0.3952214151523874,0.4874046824978331,1.8796452970488984,0.2032681643627755,7.827299807724533,5.886910328950354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,235.9519889647721,free_2_semantic_scale_Semantic_CMR,0.758185214782644,0.1678075595094885,0.8634821930250427,0.7578667863779049,0.0017285957126115248,0.6670217478225297,0.6701128111835708,7.987556194914454,23.783296113414586,0.006189582278636863,0.3947788314752323,0.3676535495375486,0.7169507913229962,0.3387889151084922,3.5089179041105605,9.987186761331197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,314.7105140302177,free_2_semantic_scale_Semantic_CMR,0.892636212897846,0.0025744239554447985,0.6951086447620732,0.7642450045874273,0.5996629615410515,0.7651217771923284,0.07783197736350822,1.6228172500048679,30.84613625871399,0.00030327194432384707,0.5561790226075772,0.4500288806992667,4.404271622915043,0.02648528782372756,0.8419469105458209,1.1126376272230658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,196.89070262140478,free_2_semantic_scale_Semantic_CMR,0.6633009155710032,0.023055545852165238,0.03407713804073653,0.9398307250747955,0.1185439503940236,0.8129602245552534,0.7247333702022851,1.1820175297204614,51.04145973143801,0.0018685163693187845,0.6670212572921272,0.6355416152649305,2.2132653346679474,0.23296574631345512,0.2129289927599407,0.2432945421415953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,277.3664378119225,free_2_semantic_scale_Semantic_CMR,0.734382100761112,0.013287040396813998,0.28874370792564963,0.7843807065896597,0.835654231878801,0.16155864238645173,0.039430895106091324,72.008397859405,93.6468857214019,0.003751421592039228,0.5108406104272243,0.3138755049605182,2.5458930126950174,0.2560366074542403,0.795821660159354,6.364516509804057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.5108779032332,free_2_semantic_scale_Semantic_CMR,0.6291364960121608,0.21290969671892102,0.13486780797174203,0.5436601767318768,0.9839513490600209,0.5759427624603612,0.6357683749963725,20.61723952148601,38.889355992777666,0.00394866154671436,0.47904415524697797,0.48542837125185745,1.9451112492238973,0.5906860915023767,7.612712182293562,5.046919449010668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,361.4349633068633,free_2_semantic_scale_Semantic_CMR,0.6259792945094411,0.7352454398264446,0.36402497193926764,0.8910176769002471,0.7267745217774636,0.1896074867220086,0.47811944715594734,0.34457191668402487,19.577986922672906,0.001623724104348856,0.28666507741179537,0.2407079069434621,4.943678516089471,0.2753203100905723,1.6451470502067083,1.5096613195077628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,278.74750372084264,free_2_semantic_scale_Semantic_CMR,0.7712690432011872,0.6407725180464114,0.8628048328144065,0.8662326372042504,0.2673326777146092,0.30648893205573635,0.648843934503504,0.3511392425435602,64.20648349138314,0.01400788856286167,0.17419718655766303,0.17932519565328686,4.978387685258672,0.636038673752479,0.14707266545496722,0.3660593680801236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,222.46187074851417,free_2_semantic_scale_Semantic_CMR,0.8934294141716699,0.7488624713032358,0.369129567241012,0.9914881788772782,0.8117544841015626,0.5057658942570157,0.3268591133315426,1.5591672549449314,98.25529146579979,0.022741559168912018,0.15877431317946478,0.12304295244295282,8.70370949206501,0.8129589328909947,1.6685045946718038,0.45005704705782446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,213.74664878793834,free_2_semantic_scale_Semantic_CMR,0.5411209907271249,0.12649094934369212,0.6526687714718546,0.33091980674212074,0.01721453629964738,0.4701554273191704,0.7773949534735977,2.811673693684821,70.52680942268857,0.019064335185831182,0.35729421238593606,0.1575517020199253,2.312647876672806,0.17658730012448215,0.3712467582979909,2.5053134740555967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,115.09529509066172,free_2_semantic_scale_Semantic_CMR,0.5129442740740157,0.04295158798902671,0.9898747926780747,0.05414030219527888,0.1656664121240406,0.8128002275131374,0.9713311317742405,3.2978011703069114,1.711675324459712,0.036072498863450875,0.497435659426424,0.4162965704933672,3.9437819563146643,0.18703959483582827,0.11232670337660977,0.5042409448437439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,215.9111533037945,free_2_semantic_scale_Semantic_CMR,0.8313155929053744,0.2663372317478345,0.9019881786532857,0.3599864810253555,0.9545606712657766,0.19425672622082085,0.8727785920924394,10.484084054301348,38.112070649187025,0.012019378412952808,0.3702899410006344,0.32275055194031754,2.792960373213181,0.12771627794413082,1.0000761343635354,5.555543817906409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
