subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
31,8,249.99737254552082,free_4_start_drift_rate_Semantic_CMR,0.8128766172004465,0.2351619754083284,0.00633859260534686,0.14583611323372309,0.7279089975083498,0.473813473566781,0.7860580341532789,0.8240239230981778,0.29281627502677,1.14619762139791,48.810287172830314,0.006318457480042117,0.3481936218787496,0.28365086220098235,5.053088696325991,6.876897004471458,0.13642688075880566,0.5892812678470118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,264.2892398386321,free_4_start_drift_rate_Semantic_CMR,0.6343169690753474,0.12194297649531627,0.4113158063486286,0.1568628415158116,0.8486697577715374,0.871293103830592,0.5444411747902519,0.9607977838642987,0.7794717780171191,23.940357220159214,39.893519936061175,0.0020100811444448974,0.44451305104354955,0.44352137583967277,3.0404691276230245,1.9232166441004281,0.14912565167172226,4.116400199709405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,267.492723886441,free_4_start_drift_rate_Semantic_CMR,0.3869540346508768,0.45976163601668896,0.20185751786919665,0.08319554874982299,0.2554830190589946,0.522932002744404,0.689799073300493,0.7509084259396038,0.5504965691345532,0.6994326168305633,45.196745461286795,0.0008460164564445538,0.5060091740394128,0.577503802768601,6.507672999091457,8.372836954789923,0.18504298954606546,0.7164080528084469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,226.44335588144963,free_4_start_drift_rate_Semantic_CMR,0.4519103611940477,0.017655268475447627,0.1797454324200552,0.17927826043428174,0.3376604459087901,0.06827536293053116,0.029637453516191736,0.3704317866519354,0.7532243905680084,1.3872277478500834,43.23140364134535,0.009733664973285483,0.3761742763642717,0.36812264245435244,2.7932087205797296,3.3559268630190537,0.0033205381866158734,0.4487245201688701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,314.5820175103358,free_4_start_drift_rate_Semantic_CMR,0.7583512661472839,0.5478004193110761,0.5231071578275411,0.2422226649496746,0.8280563627067481,0.38680841841016905,0.6742882945437165,0.07560113889567027,0.8954733897462019,0.6355027433052811,90.28753281476571,0.0011509145429061673,0.47447677125715604,0.3309339110303613,2.6298695577789943,3.8237415258876983,0.6762190704055672,2.687060708427909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,197.06186098576842,free_4_start_drift_rate_Semantic_CMR,0.7248018164068893,0.09008467771366158,0.05818781107381543,0.2618682581699571,0.9786563680548108,0.09093697643292115,0.7854744608724724,0.40321018506790296,0.6641110024753659,3.629975104090086,33.405354137076785,0.0031898405056376977,0.6389612929510617,0.5742821055607692,1.743805535898053,1.8011128098109683,0.057717638039414654,0.2815674937963708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,280.27321325099075,free_4_start_drift_rate_Semantic_CMR,0.8843804288918373,0.43736431449134294,0.309640987707666,0.12572199299296144,0.3934770071109089,0.1159080055954459,0.19952311473996448,0.12104999937885758,0.2675873285417397,10.774241341474891,0.2209004897094502,0.011422441503341874,0.24869280071075295,0.23213125100506193,1.5496395829827754,3.0702822537559293,0.7771085269752686,4.599731668146997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.34524752363507,free_4_start_drift_rate_Semantic_CMR,0.2475086981368172,0.05313747721028117,0.6305348930870157,0.12414051630500275,0.7536548245344968,0.5880741245685732,0.8545761996570101,0.7628190820058455,0.9245183682780402,3.855562975201272,8.756304937676958,0.002167404166560667,0.5630576468155729,0.5532656852615684,1.937749825650384,1.9203889673928949,0.04522538878791828,8.576217102873722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,356.153715553119,free_4_start_drift_rate_Semantic_CMR,0.6732031141309626,0.21114068962073257,0.8084038565455776,0.23398651126768216,0.7776277487677405,0.8531561516669546,0.9630926971180093,0.3608296391056577,0.010269966528552554,1.1385933770540788,50.487051578451236,0.005483029282041196,0.19677551610576494,0.16464498025455576,6.08802358629606,6.858703190977264,0.22159087965297575,0.9499236270283262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,277.36089203393806,free_4_start_drift_rate_Semantic_CMR,0.7506053624443444,0.7807544159412655,0.43041154662068004,0.7716360134788305,0.887620120553283,0.18285741409530637,0.7507245801551105,0.18058043549480668,0.5242290523109988,0.24684060449769163,86.39021274148473,0.003930818891473231,0.2797055144996268,0.3028069274709493,5.4135822134288345,4.94101505868561,0.7376690700433869,0.33979803209075765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,228.1546366496953,free_4_start_drift_rate_Semantic_CMR,0.6084962605606482,0.16925265583883506,0.5875370998371711,0.4068609374388837,0.4916870018363502,0.9488470847629497,0.9060937446384726,0.33840726502037527,0.27634570724803403,8.813674019135382,0.23193027755866855,0.04731774791918074,0.0455804358062342,0.10077104765390965,5.869077529448554,5.678485791094536,0.18482358899768223,5.604307687187784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,211.62730936055036,free_4_start_drift_rate_Semantic_CMR,0.625197314232328,0.0016035511306827102,0.18129965963753797,0.8523535322621777,0.28415208443791296,0.011470881011992014,0.6519714484214898,0.042643842823801285,0.7587279491302882,3.487607929181654,96.65428471835524,0.010625854849218788,0.47897164907990325,0.24225125833447628,1.6401790901977338,3.2338826853703164,0.024175115215070677,0.8663087988794105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,115.91807149239852,free_4_start_drift_rate_Semantic_CMR,0.4997730009278058,0.03540931697386787,0.16036860221858024,0.9974153742997901,0.03544297007643604,0.3167245884100934,0.8764092552893705,0.5873483065722209,0.9907037262867343,2.112235658633633,83.95830422540055,0.049368376186714406,0.3717699031094058,0.4257639485140399,5.386169368407055,4.765114370605307,0.006198764409804574,0.19543173907073924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
