subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
19,8,267.3703143926327,free_4_shared_support_Semantic_CMR,0.6608985994088399,0.07063019979725665,0.834820711618578,0.8056685819004639,0.7804491606177026,0.19745855076384788,0.8966572410207556,0.5860638482185438,0.4466112273248654,31.66353484362816,31.460134312174638,0.015604655772401943,0.3499485114575105,0.18085258334802834,1.4285016951095555,1.6890621797899632,0.2216240934194852,6.240412012707919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,263.8327112055975,free_4_shared_support_Semantic_CMR,0.6133536244391945,0.6004844436420222,0.28974872156246356,0.9754710652198523,0.3848163222662886,0.5196871930384351,0.5422833358682944,0.4366818210543606,0.9943755847116537,0.9105031827478131,88.7041001067881,0.013434661667018554,0.23713455454441484,0.25018292120992497,2.821133079224046,6.324805566869686,0.18117654824086657,0.5080461047616425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,299.34514816376225,free_4_shared_support_Semantic_CMR,0.6781543185766814,0.03272482631023582,0.2975585806647576,0.6327748339414392,0.6200792233274885,0.8606476188885315,0.6749212499092373,0.18933231472541423,0.7948887511990967,14.756631822565822,90.6427860004838,0.016233662135036575,0.2386152941499775,0.20389253398461182,5.6942553042374495,9.42982779353356,0.1731118389823187,0.5312084324888673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,267.32024586608844,free_4_shared_support_Semantic_CMR,0.6492182104775915,0.6272673220218179,0.4879397414493439,0.995321039473351,0.4504952088138757,0.7726108221611985,0.6089952211771276,0.2127945444207787,0.3806422084328202,1.2135903563159074,7.860048569522099,0.008622428872545093,0.323221371520176,0.21358709684320673,9.371621235912729,6.633698631154096,0.26861080584480446,0.28957167516629967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,197.36580724602402,free_4_shared_support_Semantic_CMR,0.9314351194329894,0.2470414266123989,0.892065719728113,0.9744668934216489,0.47167212584539325,0.6365856764376729,0.5614798887080812,0.46700269572629244,0.8080209265335185,13.908168276336834,14.448847328761165,0.009997149980949081,0.5581776479743955,0.35423115486664836,1.7543703240618205,3.0944118306809862,0.0018404204314499564,0.4037276528697304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,181.19227787758427,free_4_shared_support_Semantic_CMR,0.7781582299181333,0.02958483097706216,0.6217788966291373,0.7601953777829579,0.27284525003707605,0.024506241402078188,0.8642195790286977,0.7269380119845864,0.6080168709552575,0.7457888233333847,83.0567372113724,0.01568120212406038,0.5605912600169294,0.2724159781029156,2.06357274218842,1.4799790806836666,0.08287760769359953,0.4084158280377066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,252.6972855344991,free_4_shared_support_Semantic_CMR,0.5918453660856624,0.5726965990034982,0.6096566219726649,0.9704890999218907,0.042348030299186434,0.987316391998075,0.5143491965062822,0.5536780024950625,0.5193584189201143,3.651191010827425,29.707564058805314,0.0036035626906441576,0.556271675176573,0.3482267566505479,0.4504238959052751,3.5424034844158725,0.12315991444379137,1.796185541503009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,285.3866686955459,free_4_shared_support_Semantic_CMR,0.7720659487367145,0.04119935577248379,0.6264401567670539,0.6511487385715684,0.29521329628295445,0.5080556714583744,0.689629587349641,0.07125306509842316,0.5925585371016269,1.5749023798364945,25.312380475511485,0.0016059838207535537,0.4860452447493744,0.31139383853839586,4.455575317806876,6.8668102445761185,0.20537382735342824,0.8633638291470982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,337.14943809481565,free_4_shared_support_Semantic_CMR,0.783058477958757,0.23059244913611365,0.8621186440151556,0.8167839466138689,0.721132038321422,0.6138330056814127,0.21595969300275647,0.28122916795255887,0.8570511969618828,4.759209078450162,48.12771470626893,0.001882276455277887,0.33575786928304474,0.24622745706378613,9.24161676418463,9.5362050586408,0.19048657650925443,0.7187471227572573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,257.0009998227388,free_4_shared_support_Semantic_CMR,0.7183796308388025,0.49702768827997135,0.7906208385374374,0.7955839533866842,0.2549574743907471,0.33140633862273816,0.8745039161175601,0.08582129480737766,0.54659321238721,2.120690491201593,80.84394310781946,0.020662118437351495,0.29904376281505307,0.10496301744057934,4.774637320032692,8.739933004521067,0.6989622972229808,0.15415951752851953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,249.97791815936804,free_4_shared_support_Semantic_CMR,0.9097313050440645,0.04600489693096815,0.30367801027166563,0.8846123914351192,0.05572928526066312,0.43939296050104837,0.8632371987085208,0.520345635114674,0.6252945107706056,1.2577424361154286,70.1238106829715,0.01659432911967712,0.21743062337089647,0.19522912491884448,2.201329634657539,5.683765646158926,0.08918257989139083,0.45335745825405116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,264.08785766135566,free_4_shared_support_Semantic_CMR,0.7229680252080727,0.098886940109491,0.6126027425548459,0.2996081127761946,0.8710011536684037,0.4461461287916633,0.12971517687219503,0.6014116304933159,0.49232057233517035,15.59177255365121,1.647786463120383,0.013859954807231178,0.2783357431868101,0.24794426818947546,5.407022844534789,2.4499176472147384,0.5591929275054971,1.7136158230520842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,272.21599046299116,free_4_shared_support_Semantic_CMR,0.7123639514261219,0.233926287365685,0.3401718572143476,0.2472877615373804,0.13813904063401145,0.5658335514608489,0.24207553043275876,0.5750339369277288,0.654393476581882,1.2525120623475345,24.23952478801962,0.0031693747587153154,0.36978177882184404,0.4360865221688739,1.8446952025452976,3.190775659814258,0.49276774878474394,1.8230503446828354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,227.37782702610093,free_4_shared_support_Semantic_CMR,0.5454023152553998,0.00730505607720916,0.3177555713807009,0.5629586164484379,0.49905646067311293,0.0008046554217120971,0.8472639444670405,0.6561494632419815,0.3029173145801114,0.7103882222920603,78.18788397008908,0.007379701967022201,0.4287768109712973,0.3942651731371871,7.115657498939623,1.6076704446965238,0.27086265817081295,0.34711353559911906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,311.9782541487308,free_4_shared_support_Semantic_CMR,0.7096723945106509,0.2792847100275683,0.7065730087474339,0.7845405267703731,0.19482273925567056,0.7418683598478452,0.631482642208911,0.6640707972240618,0.6142056953037867,0.6720745292464585,69.21125875890226,0.0027752654306866242,0.363121573016282,0.2785150026449559,2.215859699181749,8.625081084729002,0.37862601436799437,0.9153704825042377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,198.2131952363701,free_4_shared_support_Semantic_CMR,0.6471367502003991,0.017782447369047064,0.40350665106995737,0.9258857036498555,0.24613142314566208,0.003809391475603248,0.9939315597815734,0.6992962928291321,0.6686646171582801,6.06673360807835,35.90183746093065,0.007125332089011808,0.5613936309866077,0.44167419198794083,3.496354542110128,0.8646996975141055,0.034986845830744275,0.3800726013793204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
