subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,97.13058260160943,free_1_primacy_decay_Semantic_CMR,0.4531092299109466,0.10902960296853387,0.6379487645315463,0.8813497110411765,0.02038287156675389,0.8887660700398663,0.6746157154160735,0.24453069091015323,56.22591049202549,21.8037092025306,0.01036439434591735,0.4538912689381833,9.3300898323911,0.9608901374424562,1.6376455563260972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,230.62139652221893,free_1_primacy_decay_Semantic_CMR,0.8228978844463459,0.43361414662404174,0.8060755316481563,0.9581599309789901,0.3049852362171439,0.9891176973212915,0.06954039800576618,3.8215115540114972,7.987909165611617,18.343837115203527,0.01520587786585155,0.2511151835539013,3.0088943893568256,0.00012169080509389697,3.4036885815112488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,305.67598129102873,free_1_primacy_decay_Semantic_CMR,0.8832379836421327,0.02972486429145843,0.6703157907775391,0.812687537487234,0.7724586606532976,0.3050003052926279,0.5164183696813481,21.37536094404746,66.08527879075932,48.522571964839656,0.015349942959026586,0.14239371788058097,3.0661620948466544,0.3096694919301486,4.903275700102959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,338.35591894214485,free_1_primacy_decay_Semantic_CMR,0.6877627734926152,0.25232771140690863,0.137730400599188,0.9823187900252226,0.7102056728904113,0.946018074388383,0.9138476773615314,0.21951611440663754,55.476607224226385,65.07529035071592,0.00945451892771948,0.18977756378583344,6.785571324278983,0.37061102748360203,0.5681842553190135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,175.3216844512649,free_1_primacy_decay_Semantic_CMR,0.49829698690339963,0.03722003571945731,0.5135700999042776,0.9024187243097987,0.0824249220805317,0.6448012269984547,0.5659758605057859,5.651430649617588,21.84412883274526,45.180431661696204,0.08113215181600336,0.14078572199140105,3.3917112763305646,0.3726490544607437,1.1434879567933534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,272.01992696021904,free_1_primacy_decay_Semantic_CMR,0.8353368685853986,0.31663518728358164,0.3760621503271944,0.8645462031008786,0.6909201942780683,0.5934201352236714,0.3448657822008486,2.756285041623215,43.45466798148483,1.150958350699213,0.0070641269198627454,0.244366222727729,8.93996160580014,0.24204519901375693,0.27065390457577543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.92537529087585,free_1_primacy_decay_Semantic_CMR,0.7383278587834459,0.1959044592882071,0.38085511474992756,0.7306746477416314,0.0070963306918140345,0.8713162388450482,0.3933172280449348,0.9610907414682757,23.151862143084468,22.350623770366596,0.0275894665896933,0.17676190191337504,2.0734946718326563,0.2521542272680275,0.5362220032303391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,269.30796735781826,free_1_primacy_decay_Semantic_CMR,0.4704817820439231,0.12461241188110489,0.39873279511174237,0.6150869085411599,0.2495355818118205,0.16332300091490076,0.8138726218892287,6.005481688645212,28.653434163876856,33.84883329852404,0.010925238415922245,0.19472747024567205,2.097301693400829,0.7556652573466813,3.1931712097737424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,266.2460302292578,free_1_primacy_decay_Semantic_CMR,0.49755174693341775,0.26482866517369985,0.3509476226485778,0.903777465012193,0.032571589439026716,0.43627681103553173,0.7131678662518006,0.16411779091867373,27.538187379768996,90.63312215999548,0.013941525499167329,0.23868444010697587,2.885160012171607,0.8932135785085586,0.8813301289067663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,298.9083044467923,free_1_primacy_decay_Semantic_CMR,0.6180355676840406,0.026614889275203724,0.44725240409286393,0.5184673796981312,0.16988126775022644,0.3513215554028584,0.9748377982238015,32.00049799403237,23.82612654521558,60.482353254841684,0.0019854465774907792,0.4105641640346498,2.2510919017163222,0.05880672834219647,0.5300553923159361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,271.23010348489174,free_1_primacy_decay_Semantic_CMR,0.6195680550502178,0.8487386448137035,0.7287196386236868,0.9474793302245101,0.6244976913291695,0.6989695612535628,0.37067390342690193,0.6958834409307002,74.79764405669549,77.76379647729483,0.007586014010896924,0.23659826466283462,7.726489754565185,0.05891963944010048,0.2535414720192737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,200.40430007158434,free_1_primacy_decay_Semantic_CMR,0.9128023046907527,0.24324327276702384,0.5679551154452706,0.9784471332866693,0.32129987084984957,0.4021195459440275,0.36748007771856256,3.2336763740356744,6.544539530222728,44.04543304611662,0.010689502041396959,0.3260861261050181,2.726017105252744,0.10173483141718126,0.17395533165993626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,184.37438176759173,free_1_primacy_decay_Semantic_CMR,0.7422736632923349,0.04773181920472658,0.1505737030089364,0.3173917154127327,0.1164038199401628,0.9535250543179414,0.7027489765115055,0.311272069751773,56.371770904851815,94.64567762411363,0.041274084827324975,0.223442538587995,2.286034287549159,0.21908616729839042,0.26098069014635605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,256.867576323928,free_1_primacy_decay_Semantic_CMR,0.5215782910081277,0.5545410792463072,0.4527588213196089,0.9630419547168725,0.5747855564252106,0.5825247162178018,0.4164141812131385,0.2800751387277316,5.209986109601125,61.099293071812944,0.010597280756601823,0.2595869331710645,4.392755716580017,0.6721768495227276,1.2382200450892484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,290.9690881686862,free_1_primacy_decay_Semantic_CMR,0.6842601794304315,0.27739178374731427,0.16344993917676048,0.5272597721584287,0.09587779127656465,0.4901891548999283,0.02517235385828287,0.11983800702708436,99.68625753718129,26.487506554508077,0.0075508485443479545,0.2593827609509276,2.5694245585206428,0.059738606208531,3.0205806522516165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,339.8561134748845,free_1_primacy_decay_Semantic_CMR,0.7408078838053165,0.7032972521874593,0.8664262599821166,0.8765670881645562,0.7427357445256535,0.886294103565789,0.8838660977953927,1.332044298345977,65.97325743095843,2.2923372479731867,0.004397134362110144,0.22432543419343887,8.877944209298922,0.09235357697295932,0.9001936621512465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
