subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
17,8,278.5037559094385,free_primacy_decay_Semantic_CMR,0.6985522411282208,0.2064173097259303,0.8934022016110517,0.7985248845090498,0.5732843611217033,0.6316919837701394,6.737324707410558,51.52302388074277,2.033922217898322,0.006329903679092752,0.24075268364891933,7.372296028687224,0.11260005965847969,0.3576893238533527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.77388197162833,free_primacy_decay_Semantic_CMR,0.7310304348826748,0.010932016261460453,0.3290415003151447,0.16580425326097004,0.4799260770107556,0.7443941628125538,4.362353252614639,17.14682782662974,24.937774702419002,0.03098218356199972,0.17884848631389794,3.110258356589834,0.1779040808338656,0.5810060150511855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,268.17118727862055,free_primacy_decay_Semantic_CMR,0.7156616626838862,0.019114279891368047,0.8241796445556928,0.5701295951992356,0.12109568294193951,0.8891736103615837,13.011773109284249,60.49813093272607,37.445801457015634,0.02634075031599148,0.16616237804919898,3.008683600037727,0.11188428351776647,1.7736338826488671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,269.13221906806115,free_primacy_decay_Semantic_CMR,0.5348282383118609,0.3205584004539691,0.994850216602417,0.5481804539798288,0.8105352556086772,0.9520643792332413,0.7785487910035158,5.08272306703099,20.21552396423162,0.016480313018303883,0.22158879589087643,2.459474645374384,0.849327556031291,1.346755990148747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,304.2292483572882,free_primacy_decay_Semantic_CMR,0.5715581410233309,0.0886740022247468,0.9122404911917763,0.1966034370665709,0.9474669508916512,0.9367775758961119,45.90644970518328,24.850566063499336,24.76969173375837,0.011812956527122886,0.2190948353427844,2.3689924419159225,0.011125605055607668,1.3807050162622758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,274.4983340386102,free_primacy_decay_Semantic_CMR,0.6004764068636709,0.8980846481008604,0.8702215376407061,0.40099949956889025,0.8644371246948549,0.10613920398434364,1.2689013801678426,31.538788746017516,0.30105730365282934,0.01931018475878336,0.1336894346205208,4.437913492958749,0.207536779293384,0.30443042788051156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,202.88415697979423,free_primacy_decay_Semantic_CMR,0.7380257966735557,0.02326319021738743,0.7635133578803763,0.39850513013162475,0.944110332724953,0.6150743972165345,62.021318327694445,67.38111133909084,54.50349680396835,0.02284377347775851,0.2901350397021858,1.8903663795353105,0.02075956585725397,5.618497234459483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,184.55499930644928,free_primacy_decay_Semantic_CMR,0.655840838602352,0.17951334700027233,0.33331763466415754,0.10432658733235778,0.6621823664451706,0.41883733550154856,0.47940544840944455,49.14056464531543,16.033499095507608,0.0274122528279771,0.25944488006800537,2.1190375608698986,0.08764079886395343,0.29556399066957084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,259.01279784089587,free_primacy_decay_Semantic_CMR,0.8005764539499223,0.04623656976270529,0.27384763261996325,0.484999045976774,0.3697620648932958,0.6062491798165082,18.474858226136202,13.698494474164576,62.390451100594866,0.014357735382867776,0.21245086511495348,2.153451945472894,0.817938871948636,5.829573582240204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,289.0502015230401,free_primacy_decay_Semantic_CMR,0.7049227812621519,0.1170193142258008,0.8178230951857138,0.379761421574414,0.40873716259256165,0.5946625892652854,1.6267195310012046,1.2618100633181633,53.734513000366555,0.012171894798815761,0.2261207578868683,4.963020901266576,0.08875471833466674,0.9500809906275053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
