subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,97.65812649795154,free_1_stop_probability_scale_Semantic_CMR,0.4651831835767869,0.1599298215914431,0.5165491242228835,0.9310236195422572,0.010991316525438888,0.42902850182184615,0.9548373733320994,0.07851654137405717,12.567523196131972,0.006970361396567315,0.013941762194387475,0.44478941663051064,9.843583273417963,0.9568722896416261,1.6845540175666351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,227.9388233882559,free_1_stop_probability_scale_Semantic_CMR,0.7831207350479787,0.7205689242622324,0.1605485575837921,0.824060859481796,0.012398762402780372,0.4389529140719475,0.2842634238329227,0.726069658720327,55.45419271175586,0.06904811207583289,0.017042617328429266,0.20426963705152978,2.584452282627951,0.36527106553224975,5.681361650416199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,305.6327129406953,free_1_stop_probability_scale_Semantic_CMR,0.6093977268560854,0.6846547359073347,0.45465420829274106,0.9885672379452708,0.3688142392639051,0.5750058513376571,0.6384327423989912,1.1347243420972082,85.97827161892786,0.05546299199499725,0.03492644491367353,0.07891687855686397,3.0939704611767493,0.5791042369897761,2.6798089688374387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,335.39011294585123,free_1_stop_probability_scale_Semantic_CMR,0.7212306788646199,0.086815396041033,0.00687535693085306,0.9701835712875823,0.39408229547616114,0.8270678843127957,0.8592687765656088,1.657357463690083,33.299381377343586,0.008419086831827682,0.0006763676984054001,0.3320299274331031,3.88613151693475,0.6161322291171998,0.60568765669667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.05968342660282,free_1_stop_probability_scale_Semantic_CMR,0.36751943927948244,0.19545306109275562,0.20191453988672559,0.8431812721020786,0.12706775196850068,0.9132783808173068,0.8952607673411681,5.3958451391648765,68.3972798829353,0.04591755683808546,0.06067187143360053,0.16750669738709245,2.379668143108964,0.07004132550474002,1.5345046784021599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,273.55442912360377,free_1_stop_probability_scale_Semantic_CMR,0.8874756535582844,0.02463683487554036,0.6228127366630651,0.9494142337326846,0.15549561814624907,0.39233406099337126,0.21745790130048415,12.069954324114669,89.40643269202312,0.016266981210061426,0.002065462078244318,0.23237892454397446,3.3993411834676452,0.3685099705157333,0.13605585561616618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.41676860503395,free_1_stop_probability_scale_Semantic_CMR,0.6276762667375855,0.07228216767482565,0.32326541460512714,0.24427996715380557,0.053794656632706106,0.19671391981811714,0.7639548539154036,3.7011445061804125,16.29889640938098,0.03961511941551771,0.014804131717187696,0.1828892923781975,2.8003011350146627,0.09868507553594141,0.5275255680991382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,266.7879872138801,free_1_stop_probability_scale_Semantic_CMR,0.5171165079745629,0.24902639363990997,0.5819978129684642,0.9698287887172339,0.827061778791109,0.07091187075225552,0.7773484041376836,6.552952613089772,78.94518132351273,0.02485082684753026,0.004162736604718165,0.2881599131514907,2.083781310508934,0.9136472736549279,1.6945360837926904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,272.07321406986125,free_1_stop_probability_scale_Semantic_CMR,0.5913652673667761,0.28001568446427766,0.3214823846160503,0.9717393073358307,0.6787574328037836,0.48957701361172756,0.4854720840266975,0.3122813103869433,46.72497585257898,0.013960714749277792,0.013271863047938093,0.21250091110247382,2.221665247011261,0.40859791213246394,6.679885752125754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,303.81301915734844,free_1_stop_probability_scale_Semantic_CMR,0.6292321145938939,0.043313292022919336,0.6772417491598725,0.7222443495632687,0.13157899392149897,0.8688140967632001,0.5603075082366462,9.34901587406334,41.395303463031894,0.03169682658557482,0.029102602842773828,0.1656074685397133,2.6363565690473334,0.2597355504839358,0.5000733417496388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
