subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,1_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_semantic_scale
12,8,98.54107900704665,free_2_delay_drift_rate_Semantic_CMR,0.45298027406624647,0.134491593559467,0.3758913993182668,0.9669344271698926,0.021751654115451213,0.3578859379253064,0.49085044928697674,0.1677636194412102,51.735655191867835,0.001693654861622318,0.6807456147362299,0.675177674329893,9.956183385051672,0.9518075798189062,0.9384932177672315,1.6865548551436724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,224.6233898982979,free_2_delay_drift_rate_Semantic_CMR,0.9143438080178528,0.023081272592101687,0.276394700733104,0.687107896281095,0.1833651681008276,0.4106211625084562,0.6378222585120505,24.467443739839485,0.9854077412248259,0.008114419662228645,0.46153398306372306,0.1658751903693645,2.589898128613906,0.0014542529183996233,0.5025266175558398,8.065104632877116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.7020566570909,free_2_delay_drift_rate_Semantic_CMR,0.9689037394827235,0.08058031885853106,0.19075182564568255,0.692653829156655,0.4219749804316383,0.12098922290707809,0.6084324916937093,20.4438126924607,96.84352664310519,0.01539061231566019,0.17935273822796471,0.12633489952405075,2.1547978988602248,0.7142990233943783,5.033518809616222e-05,7.713551665492656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,334.95711063494036,free_2_delay_drift_rate_Semantic_CMR,0.46801321147627245,0.5238995588284323,0.07724466984985906,0.9933957943306578,0.24223719114299502,0.5529859750901441,0.6627303497000666,0.4937724217577184,58.513141657954506,0.0009079102214086809,0.5009149336643475,0.33519081673146456,4.659810119472122,0.10343273179524409,0.9318974331096457,0.6774560704445554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.68242078487415,free_2_delay_drift_rate_Semantic_CMR,0.4657895145120106,0.16422610013794497,0.6204447472081183,0.5594968790345787,0.1616201356267234,0.9167997603483171,0.892011872786125,4.795790025793423,22.19224692012862,0.06619799693730105,0.16598565927179187,0.21133441358438443,3.313646441625042,0.15412960779670154,0.30446916800814183,3.323402459213407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,272.32661089208443,free_2_delay_drift_rate_Semantic_CMR,0.6991841413805143,0.11986301556986234,0.42760121261182427,0.9439297931056291,0.2990429920956271,0.6574334231636286,0.32362379936889063,8.95448544533567,67.6120278051666,0.006122566877279523,0.328562464940652,0.2839652229335412,5.292920514955522,0.26266225771301877,0.25958405500037696,0.3872506386028265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.26930793716298,free_2_delay_drift_rate_Semantic_CMR,0.5800340037806125,0.18462121666865178,0.3047809253085896,0.09043910765934371,0.05749698572221601,0.017364470486778305,0.5673453001465824,1.9489307343567432,4.467545696273625,0.008428291090592677,0.2961652304613658,0.23448714484913946,3.1897210522524,0.002748466814111894,0.46439447809279716,0.4044109325448204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,263.7885922442206,free_2_delay_drift_rate_Semantic_CMR,0.710990913227104,0.19323473384246234,0.6837601256271131,0.9730303910774959,0.2516799047712868,0.2584017540227523,0.3551357786923571,6.518209789114699,16.960981514082285,0.007323255140183963,0.40298279255672187,0.20179778857338213,2.5352124136283773,0.5208200594468799,0.3251330977008461,0.4801444497878577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,267.8112468582913,free_2_delay_drift_rate_Semantic_CMR,0.5347260720064618,0.10248222854647687,0.6474578283317456,0.9691125706826467,0.16649736034265067,0.8096342027346727,0.5536035973068452,0.02342310698718819,36.6640042709869,0.007036613305352324,0.23380343394815384,0.22233563335007123,2.5017403605534554,0.18445838838472556,0.4030904148870386,0.47863692256874124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,303.4722934286667,free_2_delay_drift_rate_Semantic_CMR,0.6655649704416651,0.05374629803958197,0.36974927188882706,0.31263686702459526,0.2508825363655505,0.022673914661728235,0.20161549738661955,25.133519748789837,19.641131064386368,0.0070188092177862265,0.29890398130847895,0.2546688838654541,2.592666933950083,0.020445865821562628,0.07875730433319443,0.7993037730968607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
