subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,1_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
32,8,263.8633887081403,free_4_primacy_scale_Semantic_CMR,0.5895128189936031,0.19150794073852617,0.4945341912631674,0.9380475615716515,0.7889255703542031,0.16298455354171482,0.5426862548810343,0.561391976029149,15.884399860736274,20.140936334572768,27.697269693456267,0.014853586026533583,0.2691244839375404,0.24637474813109428,3.920312344689311,2.897105784776894,0.16046665368860208,3.3703000726800125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,271.5596618655901,free_4_primacy_scale_Semantic_CMR,0.5707617478929726,0.015082593739545458,0.8708497596077351,0.3902709443956463,0.6062451895805039,0.7240828977457833,0.747688999619218,0.14560852693493515,70.5746523242641,2.915788091981014,85.58489161436928,0.0007625111759118064,0.47202334285821923,0.5942712738268332,1.3608460997410177,2.5534359441208214,0.5483249741854261,6.882563254317083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,237.56727814578093,free_4_primacy_scale_Semantic_CMR,0.6622850981120134,0.11279806343680848,0.09831906020520226,0.4117327835722584,0.4441433173367453,0.6429635031084553,0.03889983305782524,0.3278843309152565,15.464042235453256,10.866482830132881,0.015396807439913118,0.009120635947494793,0.29567852150324114,0.20502623888419436,1.311391345036021,1.4608450147487755,0.4318615557137817,5.720803486192122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,313.2779838450132,free_4_primacy_scale_Semantic_CMR,0.6860289634300274,0.10026746949204374,0.3472359721451993,0.7830887879962191,0.7196157235099269,0.967217845268224,0.46294163478007583,0.8285804503329637,2.5021829838964678,6.456182860113309,63.340460460666726,0.00042729348393200084,0.5405222684772086,0.40204888903554714,6.226123048608153,5.845014065840885,0.4460934898255262,1.5487661333027445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,197.45222883351312,free_4_primacy_scale_Semantic_CMR,0.7972692279894144,0.0067133081858472,0.1711715974957368,0.9674266057944342,0.1856137299082916,0.8079155403635091,0.7208396740287056,0.526482550471173,16.555398653786668,44.985424588199145,97.34337164213753,0.006539841005690716,0.5081760983142241,0.5154526740983272,2.014840548480043,1.9163724496697925,0.018811190904269914,0.0680442944800772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,269.06377285700273,free_4_primacy_scale_Semantic_CMR,0.6055066280452115,0.811916089352616,0.13303889246219597,0.6331963975233548,0.7651971712079984,0.6255988286538305,0.2195040528522979,0.07529703531724041,38.69085217060774,0.6408832604788941,2.2496987291395882,0.0013354720540488807,0.5647696118740146,0.41708555791776725,1.4837467665180206,9.478876922509794,0.427838942139558,0.46896456618750104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,261.5715002556218,free_4_primacy_scale_Semantic_CMR,0.5571824899951529,0.019466237077998993,0.3459080329849268,0.012928568834625842,0.7226259998006097,0.23857184468004639,0.23995752272638826,0.5582151535375833,1.720371159631128,61.47762400016653,53.11825430798709,0.0017828762971793255,0.5926965313344503,0.5518542291618145,2.4364696540964728,3.1050547327357574,0.028061241156588368,1.8874779594406643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,364.60956967143954,free_4_primacy_scale_Semantic_CMR,0.5547491936719829,0.3227835882164939,0.3282344603430277,0.6471720350280041,0.8064194548903693,0.13336763188374795,0.14418799815895755,0.8904238273315452,0.16130782233870633,12.883073249852394,49.3518018452348,0.003702690945694087,0.2583346767606649,0.2002819534139384,2.1676719905971122,3.605620737800206,0.019359470800055845,6.354027035863385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,279.0999511697835,free_4_primacy_scale_Semantic_CMR,0.7441109494657691,0.6853125368363968,0.9189350798892066,0.9304611552102149,0.0577354384814342,0.49581603862455365,0.6758434418665216,0.5605326271141902,0.20669535225158597,0.06167091620456233,49.05117233889173,0.036255288164907695,0.07802664445571672,0.12943805368919126,2.9390302373666866,3.1704536530565535,0.8327316705907797,0.2881227379788873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,230.4508530071864,free_4_primacy_scale_Semantic_CMR,0.8182406514533949,0.28691510681542165,0.28407506847167396,0.968497601351092,0.7764329370536966,0.8557973553156046,0.48162227850607364,0.41279377001314393,9.925460628240245,6.662130996177055,61.96318460955883,0.04027759798861219,0.13910214939979593,0.09601300141398816,5.967136638747549,6.002643544354078,0.4261104256640873,2.068370937735562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,212.58277430826425,free_4_primacy_scale_Semantic_CMR,0.7228991812806983,0.034359989619074494,0.3653927614730774,0.27121035457086384,0.005744433145391636,0.8855668666994978,0.8440464475582627,0.4864970936787115,9.67799025518731,26.879275868644513,60.77572628561097,0.006863264982671535,0.5248966916726703,0.27045490325770327,1.1231215997143975,1.8665050955270641,0.03907228362122589,1.1743972461037515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,114.82278616462726,free_4_primacy_scale_Semantic_CMR,0.5684640504438694,0.02387497137350736,0.9670731660552245,0.0983509242782375,0.4693106036507451,0.8707626623983256,0.6596798360155564,0.8274753416833447,7.405449168480985,1.5484517033506506,2.0641324406364205,0.016290441739469752,0.5997486468492745,0.5930872930305133,7.48726716266537,5.702072344904929,0.1373148362881832,0.1802490571656863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,215.04257044417412,free_4_primacy_scale_Semantic_CMR,0.7776387651309505,0.06478419964456605,0.36599410406344995,0.18465347878138888,0.7778067374784688,0.5953191029075949,0.8595972302090018,0.9348118936809973,9.016595050567489,25.249119458218367,10.696514079320558,0.007323063732699364,0.3973801985793921,0.3739930818182744,1.8550583158067413,3.529295769137817,0.6535741985025507,5.173574908977894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,301.8822158127148,free_4_primacy_scale_Semantic_CMR,0.8657296863509751,0.015353219368286264,0.04960740075998704,0.6513372031266687,0.402501247294646,0.7485075780355457,0.5114554843316369,0.6681335180780091,8.663932938021865,13.48349785717621,82.79901735656449,0.00777224542606797,0.25859769279558,0.24778015589619162,3.5858165234126442,5.496541228063558,0.02701970824793143,0.3247399139748257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,305.49456036958776,free_4_primacy_scale_Semantic_CMR,0.6049717433228275,0.38346951978926264,0.23839440091969522,0.5258553600268456,0.28904198089601507,0.5690689640956109,0.8638007417090694,0.6333659963217648,47.917237989541604,49.63463025433615,0.012802017159373236,0.006708526869168452,0.35753931226415325,0.1392743476926359,3.3426366893983617,2.826568504152063,0.11657329094207242,7.887439541816175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,225.6654083903182,free_4_primacy_scale_Semantic_CMR,0.6632158221527339,0.06070964720208022,0.21845184438740956,0.9575133820036517,0.14642957752997515,0.4000769571970812,0.7521041282929259,0.35897321231556617,5.167915599873389,4.689391741371459,95.10074116034066,0.015893801612332614,0.3351262825532402,0.21517032735467723,3.605060816101462,2.3389673244863785,0.04937530498355425,0.44434055724289845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,181.10302929909952,free_4_primacy_scale_Semantic_CMR,0.9645088784366959,0.2380808211236278,0.6072523032397164,0.5757985117634973,0.012337073150493958,0.3313019656246892,0.7708967542820074,0.3215297846685197,5.737034744322859,0.9057891713812579,10.92673119343044,0.013351880404854754,0.6322045606119092,0.28180070489036557,1.8672607935003933,1.3034812181806823,0.1377566178854042,0.5172282967875749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,311.6697041453283,free_4_primacy_scale_Semantic_CMR,0.874360915669961,0.09914202536062616,0.9083180877462009,0.839508017290451,0.7634972793798883,0.2271393975723771,0.09359389293447296,0.2984833959318841,28.518418358028764,18.72645280675452,2.341400088655263,0.0011494814970545164,0.43469532499755115,0.40927161687614255,1.9584557166558203,3.0014989593429475,0.20986926804902883,2.118102063139655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,273.17007936995265,free_4_primacy_scale_Semantic_CMR,0.7217503377395497,0.27051293461835335,0.9776103795554867,0.8973649774193588,0.9773473197954844,0.6015078565604868,0.668588002279098,0.709797547262628,0.1442699253125923,1.2593781975717846,63.235573528985256,0.005429610273143148,0.3285170941109037,0.21521885648276395,5.647319862576992,7.898359222523451,0.02362813861666818,0.3400313688891341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,254.4535523498661,free_4_primacy_scale_Semantic_CMR,0.8422201207611246,0.04421009607525106,0.38028491738158265,0.9625350996948374,0.43744989716908944,0.9419656855148723,0.4302340889268452,0.218571873964912,16.599936929132006,24.54870812221876,25.720130699295613,0.004266683506257918,0.4423719295739108,0.2982179495099402,4.167625817238066,2.191754716506445,0.07957950752744242,0.10284283340651701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8,266.07968785471724,free_4_primacy_scale_Semantic_CMR,0.7426821116297372,0.03853091527483188,0.983656527719001,0.04333333822723273,0.5985357216547468,0.47799709701924326,0.5135147734287825,0.5885106580134176,31.11269395042183,42.5163053271982,10.761082170166212,0.0025383829137358704,0.30728919865261695,0.415363594052776,5.832510828627767,4.098679381979382,0.23199849192010813,0.664740841190314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8,221.15030719555844,free_4_primacy_scale_Semantic_CMR,0.4437869290904308,0.3298020556196607,0.6725683294228869,0.9364948666940642,0.448610173076429,0.7426102482216451,0.28332060465080944,0.534673540230973,28.416097275948836,2.066678384442646,0.009139991719976592,0.02807773558322285,0.24554914609365408,0.20151199318478774,2.3725885637692032,1.1719333013865167,0.005588789242879477,0.6472900905813752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8,301.22533249804263,free_4_primacy_scale_Semantic_CMR,0.5602003314441995,0.48297288001615535,0.6767559948893185,0.9485963585285447,0.5327590472435776,0.6574111079779124,0.7814339506448342,0.45796708800061414,5.666823550407905,51.37835290114127,1.6461169880060496,0.0016590682007963098,0.517824892137309,0.3043394142049429,3.792571053203422,4.989319498289219,0.0674498105971198,0.9738996680952567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,8,275.36213039559414,free_4_primacy_scale_Semantic_CMR,0.7317286892522153,0.27119457491129967,0.8709030259883197,0.1725674472028596,0.48532881298772457,0.15901488205688147,0.8119951479068584,0.9494516439338422,6.5312432538861955,5.076183719339852,39.65844720113667,0.004622049363811165,0.4318398350228305,0.320569345029595,2.975617594620967,3.5616564102748023,0.20001911477845746,1.3214949633859052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
