subject,trial_count,likelihood,model,0_encoding_drift_rate,1_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
14,8,301.0501345724349,free_4_encoding_drift_rate_Semantic_CMR,0.5710057430067423,0.5745704070292612,0.7718117752396693,0.49083796316468636,0.6682012373473776,0.7732561570480893,0.33668613268806136,0.25431253374974927,0.927134789237382,1.4551217434526436,80.67442501899963,0.007689185795555942,0.2592984365701678,0.1514509017719785,7.465031223401461,7.3888842093247895,0.7199685645315367,1.3822567533906405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,340.96807261581773,free_4_encoding_drift_rate_Semantic_CMR,0.8126183718693882,0.6597296172782398,0.10028979892943372,0.14702048471221663,0.9395481406073224,0.4024950491456788,0.41389392812015985,0.36637028758423906,0.7126271456545146,1.9268379336787158,78.87005674287029,0.008538139428309754,0.2709958942386862,0.1357290350627777,3.8165769292236114,4.29060566371677,0.026831095396103215,0.46989993579620964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,174.64516106580322,free_4_encoding_drift_rate_Semantic_CMR,0.4454137720829613,0.4054466772038825,0.04405434866094554,0.556188820661256,0.7828968444888164,0.049590821580364874,0.41886920424317237,0.951508875178852,0.6538250572174891,5.017969763759304,56.628643394080136,0.056813389199468656,0.09798688060393612,0.18639108436539864,2.0352066619821536,3.122473629929398,0.07905759434284954,0.775791597144277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,269.19378646722924,free_4_encoding_drift_rate_Semantic_CMR,0.848032795912959,0.8742981988723357,0.164661705740839,0.5012512171181159,0.9551233685845301,0.5418006123562672,0.9939051623752361,0.13845040991028157,0.39537856677417677,6.116421511933922,1.1882012208152446,0.009201791626384292,0.29607772960704626,0.24010718276034382,4.8426343889491354,6.765109661931793,0.2994056349875428,0.22920861618206345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,242.9284226708162,free_4_encoding_drift_rate_Semantic_CMR,0.6564556456013625,0.915831272006274,0.08545355025159324,0.33987544053745666,0.2766984239772397,0.5834168187198026,0.8597469512498808,0.48554974835493625,0.7134015887814432,4.789079115580023,18.80686371263316,0.013861039996956426,0.2279486861940514,0.2418842487931201,6.947342590258344,5.78420432785121,0.12471346420150736,0.49183141214873416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,265.01991845354183,free_4_encoding_drift_rate_Semantic_CMR,0.4707011153353312,0.5797418906388084,0.35846271387874307,0.4676982947015898,0.9874471101106008,0.6573038976834218,0.313598292092542,0.7328070274435939,0.4938992413322177,2.465615131034339,51.440396729518106,0.013623654012285014,0.32876460653434825,0.2222891300426623,2.651930262633657,3.201998984817049,0.2699821941955917,0.5587684834512535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,263.49904614505573,free_4_encoding_drift_rate_Semantic_CMR,0.34168154788418925,0.6536512233732437,0.6397297512666671,0.691462914885247,0.9804616146585319,0.3164014470692511,0.1461900189613115,0.6099990626741139,0.7262516808496547,0.04823311949269282,43.692686411864386,0.010112005957157832,0.2567971983818875,0.24639154271719566,2.032467506194313,4.133365862264773,0.7933093605357107,0.7573197003275958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,298.09466176441856,free_4_encoding_drift_rate_Semantic_CMR,0.5123588965165593,0.2960850214346783,0.020551362074495594,0.6481561227533361,0.5624586390489325,0.03111386986719744,0.49911763418347876,0.2183276477940581,0.9020967225884191,6.345428170926795,81.27910622278463,0.0015838742819735963,0.46544164034103197,0.40202459982007976,3.2084380872392595,2.1124640273489446,0.36478655111060027,0.6577250575637938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,268.7709712200951,free_4_encoding_drift_rate_Semantic_CMR,0.7176207699474654,0.7358291728409454,0.7451228124280019,0.6750568480019461,0.9955515838648318,0.7275438737190333,0.6842599491864697,0.004594250772567187,0.634279100848523,1.3056915324054792,11.702707789747862,0.01439312852236396,0.23832821160426548,0.20843963628640022,8.657765910377327,7.021677925945454,0.1447383338058139,0.2550727734936245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,198.10997457263443,free_4_encoding_drift_rate_Semantic_CMR,0.7877088848642173,0.9223593221196695,0.061296864223992664,0.6540174219373731,0.1252619914272441,0.6885280899217912,0.7271401986152811,0.6500450486071254,0.5733608398259398,33.20604181713781,87.08453873121186,0.005037442787709401,0.7031966365577347,0.4042736301594205,2.1764963075367048,3.453320218836624,0.01934371455534789,1.2888505408524118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,180.50205157382035,free_4_encoding_drift_rate_Semantic_CMR,0.8650693211508138,0.7833322151509016,0.08353146633613016,0.31697470788233995,0.6977168829490006,0.134552179452892,0.7636296607339332,0.8844786082435749,0.6132643945394254,2.4160688725285766,37.26449017065356,0.007143376449254774,0.732619288991867,0.3438163907963426,1.8462346734854382,2.1082086639257915,0.06199020827977422,0.3195648435184335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,253.71977348871306,free_4_encoding_drift_rate_Semantic_CMR,0.583855026824318,0.7855774683687899,0.7281782440435441,0.7692286647640955,0.9993346186314283,0.9160566478255441,0.7724390783052549,0.3699210003534717,0.5286198570895059,0.03810112617178853,67.8731163819057,0.00653272824478267,0.5068655302610845,0.24507813385228266,0.8966668827896791,3.5117581659225907,0.1979114790458352,2.0906370334126168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,288.03650934123084,free_4_encoding_drift_rate_Semantic_CMR,0.7765476505529105,0.8974870498158567,0.011959661318518666,0.5364871262678942,0.23910348703877815,0.2712529109258014,0.5063400942667192,0.1483193960895009,0.3636428964015942,0.7420999621262041,13.224384436597127,0.003869188637686871,0.38623610090025995,0.3037601724986798,3.1327514947264086,2.975428836266322,0.0119101373707301,1.0906663737262843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
