subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate
40,8,365.819166491445,free_semantic_scale_Semantic_CMR,0.6021442773298423,0.4898419983225829,0.9932807363010786,0.6287480493437807,0.4887286486854304,0.3778680727377859,6.900388144903886,47.067936486190895,0.00043591609270920983,0.34523151320712575,3.1553919311567125,0.20352798609866074,3.105286589422293,3.3797962457402795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,276.9604204118574,free_semantic_scale_Semantic_CMR,0.8143603095145271,0.8092986496441164,0.9141845740991021,0.08842028626073073,0.7858223815019902,0.4348023258362119,0.0011478370750523936,38.276941967512144,0.011104720741995311,0.2183929595687477,2.963651819132613,0.6091362287804659,0.11722308984813434,0.29550161907410466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,228.50549258930445,free_semantic_scale_Semantic_CMR,0.7313946841920959,0.12754186395095396,0.8803205293912371,0.6846952054840809,0.6534700960722779,0.2842332958407545,7.103105622501715,0.3225655774593861,0.04590169815584738,0.07467416063686194,4.852544962077457,0.9416031532089535,4.534043947102831,3.5713868127877606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,216.299588032272,free_semantic_scale_Semantic_CMR,0.6547950916890004,0.020226719049023623,0.7173803274545992,0.026406981265513496,0.9217939114713074,0.8846143201161127,9.1621960673125,56.855540359223866,0.05291836625751317,0.15098309245797115,1.8700274087314552,0.033287559533906774,0.6812802627683823,3.805912400437401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,123.65774774047047,free_semantic_scale_Semantic_CMR,0.682539372848897,0.0034717743076843055,0.6931900758876898,0.3083141936920334,0.9997900277537412,0.5172158137874743,0.18984455257805877,31.377252178304598,0.04962544136794378,0.4079310003508194,4.8075209622798285,0.36312115286767244,0.28300801954979526,0.6035233343750086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,214.27025503600242,free_semantic_scale_Semantic_CMR,0.8546613351307573,0.20945357987030472,0.9861073177557861,0.60094142501477,0.5629477730517152,0.6275122684786978,5.9205501712659085,21.715035266824543,0.0055796144416480065,0.380655762855163,3.7944118144054837,0.8562758578513185,0.2698655338728013,2.506258269102858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,303.20910298660135,free_semantic_scale_Semantic_CMR,0.8670421983118883,0.08685970647376745,0.47887454324757234,0.15183247017238916,0.8606068854644318,0.6791655771772243,4.748209936108971,2.126323949313594,0.0026950590851905765,0.3441269563248879,2.9951374377367923,0.12618363549150513,0.46715046142804706,0.4474208098501311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,310.57142488008145,free_semantic_scale_Semantic_CMR,0.605978903397337,0.208791833953564,0.5338679749191448,0.07557676660587509,0.2105545930745411,0.5356035557016751,3.2753042044223832,29.468502915823525,0.026125671756628943,0.10463871438738437,3.723613209093659,0.26790367445221264,0.17297893872338133,0.3325437126289206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,227.99362522740194,free_semantic_scale_Semantic_CMR,0.649177984620984,0.42008067153704615,0.027699777788212976,0.04434855761995954,0.8791150368379022,0.37195957855828693,0.08479922920477634,42.966159855040765,0.02183360586394123,0.19589038593152175,1.9360047821146384,0.21772249128304122,0.2250574399159353,0.5108150263519731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,185.72886272736207,free_semantic_scale_Semantic_CMR,0.983786237760083,0.18292191854264633,0.2801975382931342,0.009327812107968625,0.8034546751760244,0.06034778864498369,5.14960691696502,80.7578179528999,0.03476764532338256,0.22677743714709653,1.405454258310824,0.21717548529085057,0.6041338535600342,1.570486263769248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,305.6251558037537,free_semantic_scale_Semantic_CMR,0.6631525498293193,0.5189633634197423,0.8659950931300335,0.43676874117755327,0.5157287477194341,0.37321758334812416,1.3467533915257661,49.170181980268225,0.003092274369729253,0.3482680867311352,5.351316709716992,0.2723572594412892,0.5617603281217969,0.5088484638684818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,273.5766753519645,free_semantic_scale_Semantic_CMR,0.46390426806533364,0.0004117760085082245,0.9536114557505561,0.3733132797600743,0.49253322027733276,0.16215766481672594,1.4190704270893661,25.895427419379498,0.020308030192728865,0.17448467375602839,4.1349607591216895,0.2975981566893843,0.3564347711004894,0.5525636398165599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,263.09306263344,free_semantic_scale_Semantic_CMR,0.8306412508658751,0.4038376342297391,0.848002340289224,0.9567957171699221,0.8554868278495737,0.5917865270073375,2.6801563453954103,79.73327548671847,0.02196693259363558,0.2551393766204395,5.713208421649836,0.6142010605588846,0.10462040535164263,0.17968760186762367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8,263.8205817108258,free_semantic_scale_Semantic_CMR,0.7421533272542853,0.19145071908479475,0.7057774054051792,0.7989391105483793,0.35105649492526186,0.753051318764789,6.3041075668271755,39.85625798662642,0.007662538161605104,0.256759671460095,9.110148928840847,0.09423305482149702,0.7658182739918663,0.5430999106662924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8,223.1221068049739,free_semantic_scale_Semantic_CMR,0.8631903767157851,0.21477074358541023,0.799401139768234,0.7655568161604477,0.5903284357576296,0.6084588375080051,8.343517311988265,7.090930356047108,0.03492123903566884,0.19371582965239176,1.6464882785184916,0.012821741255999901,0.5482085312396486,5.457673279468274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8,318.3356061369932,free_semantic_scale_Semantic_CMR,0.7883885947830631,0.8492411195178593,0.9016064350018621,0.21128421373362338,0.7380540798964377,0.8048788948792387,23.28172068851764,0.5597851514248333,0.024197076024945415,0.1267947694152062,2.035591572244444,0.81235076502252,8.976736836813787,1.611632011139621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
