index,subject,lag,prob,source,positive
2,23,-3,0.05555555555555555,data,False
3,23,-2,0.05,data,False
4,23,-1,0.05,data,False
5,23,0,,data,False
6,23,1,0.10526315789473684,data,True
7,23,2,0.05555555555555555,data,True
8,23,3,0.0,data,True
9,23,4,0.11764705882352941,data,True
10,23,5,0.0,data,True
0,24,-5,0.0,data,False
1,24,-4,0.0,data,False
2,24,-3,0.0,data,False
3,24,-2,0.0,data,False
4,24,-1,0.047619047619047616,data,False
5,24,0,,data,False
6,24,1,0.05555555555555555,data,True
7,24,2,0.0,data,True
8,24,3,0.2,data,True
9,24,4,0.08333333333333333,data,True
10,24,5,0.0,data,True
0,25,-5,0.05263157894736842,data,False
1,25,-4,0.0,data,False
2,25,-3,0.05263157894736842,data,False
3,25,-2,0.1,data,False
4,25,-1,0.15,data,False
5,25,0,,data,False
6,25,1,0.0,data,True
7,25,2,0.05555555555555555,data,True
8,25,3,0.05555555555555555,data,True
9,25,4,0.125,data,True
10,25,5,0.0,data,True
0,26,-5,0.030303030303030304,data,False
1,26,-4,0.06451612903225806,data,False
2,26,-3,0.06060606060606061,data,False
3,26,-2,0.06666666666666667,data,False
4,26,-1,0.06896551724137931,data,False
5,26,0,,data,False
6,26,1,0.14705882352941177,data,True
7,26,2,0.09375,data,True
8,26,3,0.0,data,True
9,26,4,0.07407407407407407,data,True
10,26,5,0.0,data,True
0,28,-5,0.030303030303030304,data,False
1,28,-4,0.058823529411764705,data,False
2,28,-3,0.0,data,False
3,28,-2,0.06060606060606061,data,False
4,28,-1,0.2,data,False
5,28,0,,data,False
6,28,1,0.19047619047619047,data,True
7,28,2,0.1951219512195122,data,True
8,28,3,0.02702702702702703,data,True
9,28,4,0.02702702702702703,data,True
10,28,5,0.0,data,True
0,30,-5,0.045454545454545456,data,False
1,30,-4,0.0,data,False
2,30,-3,0.0,data,False
3,30,-2,0.04,data,False
4,30,-1,0.09090909090909091,data,False
5,30,0,,data,False
6,30,1,0.2413793103448276,data,True
7,30,2,0.034482758620689655,data,True
8,30,3,0.0967741935483871,data,True
9,30,4,0.04,data,True
10,30,5,0.08695652173913043,data,True
0,31,-5,0.037037037037037035,data,False
1,31,-4,0.038461538461538464,data,False
2,31,-3,0.03571428571428571,data,False
3,31,-2,0.07407407407407407,data,False
4,31,-1,0.06896551724137931,data,False
5,31,0,,data,False
6,31,1,0.038461538461538464,data,True
7,31,2,0.11538461538461539,data,True
8,31,3,0.0,data,True
9,31,4,0.043478260869565216,data,True
10,31,5,0.0,data,True
0,32,-5,0.08333333333333333,data,False
1,32,-4,0.08695652173913043,data,False
2,32,-3,0.08,data,False
3,32,-2,0.0,data,False
4,32,-1,0.0967741935483871,data,False
5,32,0,,data,False
6,32,1,0.12121212121212122,data,True
7,32,2,0.125,data,True
8,32,3,0.02631578947368421,data,True
9,32,4,0.05714285714285714,data,True
10,32,5,0.0,data,True
0,33,-5,0.12903225806451613,data,False
1,33,-4,0.06666666666666667,data,False
2,33,-3,0.03333333333333333,data,False
3,33,-2,0.03225806451612903,data,False
4,33,-1,0.11764705882352941,data,False
5,33,0,,data,False
6,33,1,0.03225806451612903,data,True
7,33,2,0.0,data,True
8,33,3,0.06896551724137931,data,True
9,33,4,0.043478260869565216,data,True
10,33,5,0.0,data,True
0,34,-5,0.07692307692307693,data,False
1,34,-4,0.038461538461538464,data,False
2,34,-3,0.0,data,False
3,34,-2,0.07407407407407407,data,False
4,34,-1,0.06896551724137931,data,False
5,34,0,,data,False
6,34,1,0.08,data,True
7,34,2,0.08695652173913043,data,True
8,34,3,0.05263157894736842,data,True
9,34,4,0.045454545454545456,data,True
10,34,5,0.058823529411764705,data,True
0,35,-5,0.03125,data,False
1,35,-4,0.0,data,False
2,35,-3,0.030303030303030304,data,False
3,35,-2,0.05405405405405406,data,False
4,35,-1,0.0967741935483871,data,False
5,35,0,,data,False
6,35,1,0.125,data,True
7,35,2,0.0,data,True
8,35,3,0.029411764705882353,data,True
9,35,4,0.0,data,True
10,35,5,0.06896551724137931,data,True
0,36,-5,0.0,data,False
1,36,-4,0.0,data,False
2,36,-3,0.045454545454545456,data,False
3,36,-2,0.0,data,False
4,36,-1,0.13043478260869565,data,False
5,36,0,,data,False
6,36,1,0.058823529411764705,data,True
7,36,2,0.0,data,True
8,36,3,0.0,data,True
9,36,4,0.1875,data,True
10,36,5,0.0,data,True
0,38,-5,0.0,data,False
1,38,-4,0.1111111111111111,data,False
2,38,-3,0.13636363636363635,data,False
3,38,-2,0.08,data,False
4,38,-1,0.0,data,False
5,38,0,,data,False
6,38,1,0.1935483870967742,data,True
7,38,2,0.0,data,True
8,38,3,0.0,data,True
9,38,4,0.0,data,True
10,38,5,0.0,data,True
0,39,-5,0.0,data,False
1,39,-4,0.0,data,False
2,39,-3,0.0,data,False
