subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,1_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_semantic_scale
19,8,267.94643196181653,free_delay_drift_rate_Semantic_CMR,0.7192192099702249,0.05488108074998077,0.88123150098977,0.7730850007665038,0.4791922380002517,0.20000669235842417,20.756330777883075,27.01320548433419,0.015664782163697766,0.19058117695151022,2.797434821914094,0.32787539075841354,0.2852769005683957,0.7252211666093427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,265.4646027180806,free_delay_drift_rate_Semantic_CMR,0.7716798587465318,0.3003504339947385,0.6784647658204485,0.5914370447162312,0.6313855689450449,0.7894677061820988,0.3273040731913426,37.288243175152836,0.009162534288455149,0.2569594004963376,7.683740098345485,0.4035112510646486,0.832201672347314,0.28619890208341836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,296.73423950195996,free_delay_drift_rate_Semantic_CMR,0.7055635315009771,0.013646147274474774,0.4369414633988896,0.17530149839718873,0.5909523409068577,0.6138532218885377,12.598811571771634,63.400639952617496,0.0029412087176797774,0.3624453000748007,3.701885898015434,0.03211391730716795,0.638368841185226,0.5824482954602743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,284.25395220409746,free_delay_drift_rate_Semantic_CMR,0.8403120193321307,0.22486140908607744,0.9322548090163871,0.1243682904800838,0.1559468619868763,0.48237115609225767,12.821335412946645,30.482696757916024,0.029821517746575044,0.11000250163415615,2.3155997171682396,0.6189492029147192,0.5641011309853465,0.129148763233065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,201.24615662149273,free_delay_drift_rate_Semantic_CMR,0.8910438872228528,0.03842741618475948,0.8967954490799201,0.28508454173646347,0.8371659496379473,0.8022978756647491,4.730556059031684,80.17928991728073,0.023020393638661985,0.2782271069633824,2.893823861058441,0.5398994491425949,0.2958185205610113,0.46465363697996764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,184.59913345656565,free_delay_drift_rate_Semantic_CMR,0.7650471621971416,0.15296925228716848,0.08892413141607984,0.01831594005739669,0.6561004364080911,0.7384037296133167,0.16879307481941844,6.774406384915966,0.029094337955389803,0.24916612107667763,1.4030311767425785,0.06227059384167206,0.03466356765050933,0.44718075192231366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,257.55351750840725,free_delay_drift_rate_Semantic_CMR,0.5288058402773684,0.8791999374612391,0.5957710230535663,0.9975293239694315,0.5746905851366624,0.8899816425354631,1.2277202680556987,8.458515560117283,0.015144654206930619,0.23387717829841415,4.4680662304615995,0.5826059020046079,0.3301839271657188,2.0000524696372244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,290.20052390336934,free_delay_drift_rate_Semantic_CMR,0.9523190212564349,0.09111156364722511,0.1325717091947966,0.17865872229626628,0.9872650151134956,0.07793489509524659,1.0698743587653752,41.86587348389821,0.010190224713023499,0.25500722906770434,3.951438136132454,0.7407622868906568,0.8141771909278783,1.4259699779636326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,339.6347579181076,free_delay_drift_rate_Semantic_CMR,0.6502655292021492,0.4842489051387442,0.9444229292656617,0.4152685672042316,0.32765172243595103,0.9157041802904613,2.1706728484291617,61.93325246229639,0.0038703182633685845,0.21676392648327153,6.560717859243723,0.5205470323701678,0.14052596704184359,1.0649296160493198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,261.5660792034299,free_delay_drift_rate_Semantic_CMR,0.745136746486645,0.12312827109756269,0.8382384580117543,0.5187741413313552,0.8505546622395497,0.39303627796312074,3.2147866836074925,28.247032006223055,0.013792655293462464,0.1204678209279777,8.2259428532737,0.7715722448743256,0.9971154673303707,0.20222603175000575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
