subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,1_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
18,8,243.88041518694303,free_2_primacy_scale_Semantic_CMR,0.7192499205478248,0.007284026521723219,0.28575872130201374,0.01145889844020831,0.11045126481523548,0.24820665444810208,0.7733927266941206,14.145589863158925,20.817607346982875,17.891850010290746,0.039634903918422615,0.15665248663330544,0.1456613775881106,2.4897683561082786,0.05244794479871018,0.4110374662834264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.22216306277664,free_2_primacy_scale_Semantic_CMR,0.6239684071799168,0.09515643582341643,0.6342201816583244,0.6351712593278034,0.7690968790088872,0.6860327868255764,0.4985508785323648,7.054409655536766,27.170941827940855,39.503371702016445,0.007177284015597751,0.44230351047596006,0.2474166606664383,1.8382102097234556,0.13088520398522813,6.992495909602838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,268.7552110838948,free_2_primacy_scale_Semantic_CMR,0.7239407551861915,0.005503978353712358,0.10550502268771828,0.9705012284466051,0.5835111006361887,0.696330754502925,0.13136333252866572,3.1644745553824123,25.200793206666017,61.05353039089135,0.010720895983960643,0.2725217674563858,0.24975902819170503,2.7293211241529045,0.5722520142896553,1.6823696549070832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,305.4530977424257,free_2_primacy_scale_Semantic_CMR,0.46200445481058194,0.043480223175513644,0.6086852686603651,0.8165852924058132,0.049758271555992106,0.35499710302253756,0.5531102471181719,24.92393095974338,86.69446239905325,96.83383242673656,0.00738243649292325,0.3031644622491534,0.23704395569736914,1.5527870675329547,0.0124182276581562,3.681830336838166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,281.3328973333927,free_2_primacy_scale_Semantic_CMR,0.8289066989217351,0.38082098763917277,0.855810484244182,0.9658922228186033,0.1616650085776335,0.7837414312133715,0.015956429333571,11.999722779416963,11.437073918540797,44.83480138611421,0.0234266152502422,0.24581379948723558,0.0981579784552471,3.0370614235895244,0.41379245225525163,0.2003901126242802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,200.03478369003415,free_2_primacy_scale_Semantic_CMR,0.9410048845782961,0.09953277667047705,0.3800811039867088,0.23656586813883967,0.3371655470770668,0.4446209233422722,0.17211065626616584,6.921217737647581,67.36190057495335,33.99497332356671,0.005760099548003439,0.6194425182415806,0.4447399974522446,1.6915716152859628,0.023470515355935417,4.242341551386054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,182.16370486720533,free_2_primacy_scale_Semantic_CMR,0.6469115676258939,0.03118030264952687,0.4138975788446099,0.019610223305518093,0.11609114120860592,0.37018461503321126,0.449144226955966,39.56461639513306,19.685883547875154,0.02906225953156394,0.012513218112946478,0.6188464495127937,0.29800192397030045,1.3477941912641818,0.012798618895375424,8.785674533482048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,253.38690807004394,free_2_primacy_scale_Semantic_CMR,0.6424233415251488,0.06239916988103641,0.1563307228889952,0.9879024721269968,0.7942104195183873,0.36388527952869854,0.8517868813543484,13.435215072084139,2.7163354050013435,69.68929924807335,0.007935231475712894,0.47738422483349335,0.2442860141975923,3.1870406805619735,0.47329856677282284,2.1531068296913425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,287.03904218596506,free_2_primacy_scale_Semantic_CMR,0.7465639738616723,0.023641261655821755,0.6848973622151185,0.7083239423625448,0.2779544700222232,0.8000955034191017,0.17459717657545631,3.8272049802959316,12.619722498234317,55.77409056673361,0.0023434618995616385,0.45802674172414637,0.2829126075412418,3.8153026938960446,0.3781259640790885,1.2816900131859956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,340.8632698010386,free_2_primacy_scale_Semantic_CMR,0.777212493911764,0.06396455008434854,0.833047209112433,0.6976518102257995,0.5693257125157493,0.8487722753075311,0.7721855889881747,10.476827146526894,6.539264002653553,67.7671640526071,0.0024748737003273402,0.2805875852073383,0.22000462662898723,8.627656547947051,0.4618741124436445,1.1562528244911752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,254.79881602343443,free_2_primacy_scale_Semantic_CMR,0.7814957952932329,0.2588001600844654,0.73997454325219,0.8636603215891538,0.3839151113469647,0.44866677566338087,0.5961289540614743,1.5850024770904696,3.808184604039184,94.61555867393996,0.013359971143599103,0.2612405558913409,0.1197430914645583,8.767930251790803,0.9606808943106138,0.06975859812065632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,252.04628236421888,free_2_primacy_scale_Semantic_CMR,0.8586688653127519,0.05725407320850301,0.5391078036822272,0.9356736279907603,0.03597313174553429,0.8195392201858975,0.2950223247015531,0.9164772330708075,0.39793795598016857,34.54006924562131,0.014069969494504286,0.21869052504539255,0.20898039525358136,2.2037487372771154,0.275231987742752,0.5946254543472236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,264.9282198359494,free_2_primacy_scale_Semantic_CMR,0.632267478881906,0.046526521988107195,0.41970844611051333,0.8884613115103661,0.8415136747904328,0.5105708488629938,0.6869384003442253,30.438369294986845,15.42950055896548,45.868721738604975,0.009985175891736586,0.2771247734318667,0.2979684315175115,2.647250248512263,0.2883142932144078,8.962959581971734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,271.21986894204906,free_2_primacy_scale_Semantic_CMR,0.6563905579853246,0.10770087018455193,0.7294446798222176,0.18454570179582847,0.5952937812720431,0.6537738726405411,0.7350683459551726,39.70009563052927,0.8817125132835315,18.64450727875689,0.0017259611504050754,0.4361830077898201,0.5045855064309164,1.8550296938936062,0.31381867822399045,6.61621200941442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,235.64959104835737,free_2_primacy_scale_Semantic_CMR,0.7037334659929452,0.12507231806002234,0.7243754047700458,0.4803506619295968,0.02930893934893257,0.9888398117466402,0.6015111059758608,53.95634638230107,43.002407449392166,66.28607744812734,0.006928834541594796,0.3933455008243726,0.40956144795574084,0.6550952446656039,0.05346536538102215,6.1678670868615395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,315.8101673965274,free_2_primacy_scale_Semantic_CMR,0.6356312804306274,0.007858678248468642,0.46624206732859874,0.9204727129293344,0.642589229841454,0.629051006324963,0.23982644820724375,0.4260082627785948,3.1560418995136033,34.04389773804012,0.0008012317153910931,0.5054002253360261,0.3757677742634895,3.190161737975379,0.8037335647144643,7.312527782506882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,208.32924732642098,free_2_primacy_scale_Semantic_CMR,0.7920993454118013,0.39941598693880015,0.09629021848582436,0.16427063210916654,0.045520041889779705,0.5921516973482583,0.8269264014518485,36.03178514330497,28.443375423540395,0.008715015006252713,0.0038984622348864906,0.435856493690034,0.5115023806017547,1.1255143199890218,0.541440836151228,7.934214024843276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,273.42047734292055,free_2_primacy_scale_Semantic_CMR,0.693251978723157,0.3858326385372351,0.7178500541217827,0.9810554681030835,0.5165588163795434,0.8982163814405701,0.07450564300404544,29.886915883264752,18.181286260207802,0.5190948564269462,0.006460284670803174,0.4015348347452008,0.28833694647816444,2.5534860161427897,0.6057296828637656,1.5528167600348541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,263.39472019990376,free_2_primacy_scale_Semantic_CMR,0.5560400974247035,0.1027040038162445,0.71720948099435,0.5703440009189058,0.9311755938088251,0.7744527254714707,0.5621290183813518,23.485022740729033,56.5757316569069,25.11002542873846,0.004974048777478368,0.42441278667305227,0.4558488140159769,1.7191737740014057,0.04452537867582429,6.885480690987393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
