subject,trial_count,likelihood,model,0_encoding_drift_rate,1_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
35,8,315.83934807461924,free_1_encoding_drift_rate_Semantic_CMR,0.4686594229556811,0.6418365815325249,0.22803815497347518,0.870612607421908,0.9011548914602046,0.2665187363644673,0.5761236376282668,0.8482458296535667,0.3560883353873976,56.60210842441386,0.005560125795248394,0.25058133034196217,4.483216889516236,0.4715628632586562,1.3025927233506436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,197.59128249064034,free_1_encoding_drift_rate_Semantic_CMR,0.6090028679286607,0.6616450985871911,0.03402518220763351,0.12274360726399819,0.6622520423364092,0.04896736859791473,0.6060731122269629,0.8709658051542883,6.243327906368727,1.4276133009415304,0.008971421590429296,0.48111275126553643,2.0307552009585628,0.13565538464255172,0.20084448161301527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,276.2929318863469,free_1_encoding_drift_rate_Semantic_CMR,0.22229847580503154,0.8910625455012318,0.17349324601620458,0.30025609211497906,0.9965065969029787,0.838366988498328,0.030751041278672453,0.35858947938854807,25.567920060704445,0.4594755227399858,0.00855031432894876,0.24797755464598747,2.7023205323260724,0.711635252035681,3.481969115838046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,261.562216609515,free_1_encoding_drift_rate_Semantic_CMR,0.9441609223604505,0.2198096622206247,0.12777851309903082,0.29617646214048265,0.766292467730056,0.4927196671034944,0.6811897094544285,0.34962847690347176,6.173900431353921,48.80110190113093,0.003454155688756233,0.4898407561538729,2.6655039734042507,0.23041411281460977,2.134680680733305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,361.15973582259085,free_1_encoding_drift_rate_Semantic_CMR,0.9106414588863458,0.7076664854302839,0.4667326190659776,0.26976231996659483,0.8234697899955643,0.47229676072807564,0.45603023338671034,0.3587286977254321,3.0290438426113084,47.26994520770176,0.0020181591195870263,0.2789589648738984,4.189175864113977,0.37629007120229213,0.837941284294029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,278.91779432145427,free_1_encoding_drift_rate_Semantic_CMR,0.7740804668318066,0.7626738717875288,0.46380522561414855,0.9039764100812826,0.9479879835803825,0.5496321818608979,0.17551159749462789,0.9347604472304191,0.5448796536940277,37.52361706999157,0.004839908610062857,0.2735920164354187,7.9034409899320215,0.1817130548145059,0.1976483051926468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,231.68587941255026,free_1_encoding_drift_rate_Semantic_CMR,0.4007830680031081,0.2642149654495898,0.3468378097972549,0.36847369846115036,0.22040380779079533,0.980474203068641,0.11285370610610695,0.4022743294657572,6.506822077821283,0.33263786890671554,0.016744873958015494,0.12855307309563102,6.339008910977877,0.7038880294418075,5.037480989103582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,216.8402308492745,free_1_encoding_drift_rate_Semantic_CMR,0.6685382570707512,0.6797766437353429,0.06991018687265244,0.734375719629922,0.2179888863625215,0.035461981821314215,0.6578545566444284,0.8507910698555652,13.269997102400382,97.23452274619295,0.04615710603606582,0.16177968770734275,1.890094359053374,0.018710602015574784,1.2267466803061309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,116.69175741660538,free_1_encoding_drift_rate_Semantic_CMR,0.47281190036388865,0.6419741586045402,0.06237931300705951,0.967348819058765,0.20027860015904964,0.0737302397823858,0.9959060926903871,0.6973955396776992,1.1461434466891305,43.695237284145364,0.028501307300579648,0.42676956539219635,3.635116743445,0.557364529533668,0.27680018984369426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,212.70758532080555,free_1_encoding_drift_rate_Semantic_CMR,0.40872101656393883,0.8228273746329904,0.6580153298605208,0.774039222924169,0.41285707337757843,0.8329948831083438,0.9842405654456612,0.8678147335719852,1.124344294335394,53.82222955840381,0.010951916270502127,0.30476563664429435,8.673300828695341,0.5282265300170491,0.9720800979849527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
