index,subject,lag,prob,source,positive
4,33,-1,0.06666666666666667,data,False
5,33,0,,data,False
6,33,1,0.2,data,True
7,33,2,0.037037037037037035,data,True
8,33,3,0.08695652173913043,data,True
9,33,4,0.045454545454545456,data,True
10,33,5,0.05263157894736842,data,True
0,34,-5,0.037037037037037035,data,False
1,34,-4,0.034482758620689655,data,False
2,34,-3,0.037037037037037035,data,False
3,34,-2,0.03333333333333333,data,False
4,34,-1,0.037037037037037035,data,False
5,34,0,,data,False
6,34,1,0.11538461538461539,data,True
7,34,2,0.0,data,True
8,34,3,0.0,data,True
9,34,4,0.047619047619047616,data,True
10,34,5,0.058823529411764705,data,True
0,35,-5,0.05405405405405406,data,False
1,35,-4,0.023809523809523808,data,False
2,35,-3,0.024390243902439025,data,False
3,35,-2,0.10526315789473684,data,False
4,35,-1,0.1282051282051282,data,False
5,35,0,,data,False
6,35,1,0.21739130434782608,data,True
7,35,2,0.125,data,True
8,35,3,0.02857142857142857,data,True
9,35,4,0.0,data,True
10,35,5,0.02702702702702703,data,True
0,36,-5,0.04,data,False
1,36,-4,0.043478260869565216,data,False
2,36,-3,0.043478260869565216,data,False
3,36,-2,0.0,data,False
4,36,-1,0.22727272727272727,data,False
5,36,0,,data,False
6,36,1,0.17391304347826086,data,True
7,36,2,0.043478260869565216,data,True
8,36,3,0.047619047619047616,data,True
9,36,4,0.05555555555555555,data,True
10,36,5,0.0,data,True
0,38,-5,0.06896551724137931,data,False
1,38,-4,0.07142857142857142,data,False
2,38,-3,0.0625,data,False
3,38,-2,0.06666666666666667,data,False
4,38,-1,0.06451612903225806,data,False
5,38,0,,data,False
6,38,1,0.21428571428571427,data,True
7,38,2,0.1282051282051282,data,True
8,38,3,0.0,data,True
9,38,4,0.0,data,True
10,38,5,0.030303030303030304,data,True
0,39,-5,0.06896551724137931,data,False
1,39,-4,0.03571428571428571,data,False
2,39,-3,0.10344827586206896,data,False
3,39,-2,0.07142857142857142,data,False
4,39,-1,0.10344827586206896,data,False
5,39,0,,data,False
6,39,1,0.038461538461538464,data,True
7,39,2,0.07407407407407407,data,True
8,39,3,0.0,data,True
9,39,4,0.04,data,True
10,39,5,0.0,data,True
0,40,-5,0.03571428571428571,data,False
1,40,-4,0.0,data,False
2,40,-3,0.030303030303030304,data,False
3,40,-2,0.05714285714285714,data,False
4,40,-1,0.1111111111111111,data,False
5,40,0,,data,False
6,40,1,0.26,data,True
7,40,2,0.10638297872340426,data,True
8,40,3,0.0,data,True
9,40,4,0.045454545454545456,data,True
10,40,5,0.06818181818181818,data,True
0,41,-5,0.0,data,False
1,41,-4,0.0625,data,False
2,41,-3,0.029411764705882353,data,False
3,41,-2,0.0625,data,False
4,41,-1,0.21212121212121213,data,False
5,41,0,,data,False
6,41,1,0.17777777777777778,data,True
7,41,2,0.16216216216216217,data,True
