index,subject,bin,prob,source
2,52,0.0,,data
3,52,1.0,0.037606837606837605,data
4,52,1.0,,data
5,52,1.0,,data
6,52,1.0,,data
7,52,1.0,,data
8,52,1.0,,data
9,52,1.0,,data
0,53,0.0,0.12091503267973856,data
1,53,0.0,,data
2,53,0.0,,data
3,53,1.0,0.02188782489740082,data
4,53,1.0,,data
5,53,1.0,,data
6,53,1.0,,data
7,53,1.0,,data
8,53,1.0,,data
9,53,1.0,,data
0,54,0.0,0.053475935828877004,data
1,54,0.0,,data
2,54,0.0,,data
3,54,1.0,0.038929440389294405,data
4,54,1.0,,data
5,54,1.0,,data
6,54,1.0,,data
7,54,1.0,,data
8,54,1.0,,data
9,54,1.0,,data
0,55,0.0,0.0842911877394636,data
1,55,0.0,,data
2,55,0.0,,data
3,55,1.0,0.030944625407166124,data
4,55,1.0,,data
5,55,1.0,,data
6,55,1.0,,data
7,55,1.0,,data
8,55,1.0,,data
9,55,1.0,,data
0,56,0.0,0.07964601769911504,data
1,56,0.0,,data
2,56,0.0,,data
3,56,1.0,0.029940119760479042,data
4,56,1.0,,data
5,56,1.0,,data
6,56,1.0,,data
7,56,1.0,,data
8,56,1.0,,data
9,56,1.0,,data
0,57,0.0,0.07569721115537849,data
1,57,0.0,,data
2,57,0.0,,data
3,57,1.0,0.034013605442176874,data
4,57,1.0,,data
5,57,1.0,,data
6,57,1.0,,data
7,57,1.0,,data
8,57,1.0,,data
9,57,1.0,,data
0,58,0.0,0.07614213197969544,data
1,58,0.0,,data
2,58,0.0,,data
3,58,1.0,0.029545454545454545,data
4,58,1.0,,data
5,58,1.0,,data
6,58,1.0,,data
7,58,1.0,,data
8,58,1.0,,data
9,58,1.0,,data
0,59,0.0,0.0796812749003984,data
1,59,0.0,,data
2,59,0.0,,data
3,59,1.0,0.029038112522686024,data
4,59,1.0,,data
5,59,1.0,,data
6,59,1.0,,data
7,59,1.0,,data
8,59,1.0,,data
9,59,1.0,,data
0,60,0.0,0.08035714285714286,data
1,60,0.0,,data
2,60,0.0,,data
3,60,1.0,0.029239766081871343,data
4,60,1.0,,data
5,60,1.0,,data
6,60,1.0,,data
7,60,1.0,,data
8,60,1.0,,data
9,60,1.0,,data
0,61,0.0,0.05384615384615385,data
1,61,0.0,,data
2,61,0.0,,data
3,61,1.0,0.04288164665523156,data
4,61,1.0,,data
5,61,1.0,,data
6,61,1.0,,data
7,61,1.0,,data
8,61,1.0,,data
9,61,1.0,,data
0,62,0.0,0.050505050505050504,data
1,62,0.0,,data
2,62,0.0,,data
3,62,1.0,0.04090909090909091,data
4,62,1.0,,data
5,62,1.0,,data
6,62,1.0,,data
7,62,1.0,,data
8,62,1.0,,data
9,62,1.0,,data
0,64,0.0,0.08050847457627118,data
1,64,0.0,,data
2,64,0.0,,data
3,64,1.0,0.03090909090909091,data
4,64,1.0,,data
5,64,1.0,,data
6,64,1.0,,data
7,64,1.0,,data
8,64,1.0,,data
9,64,1.0,,data
0,65,0.0,0.10163934426229508,data
1,65,0.0,,data
2,65,0.0,,data
3,65,1.0,0.023222060957910014,data
4,65,1.0,,data
5,65,1.0,,data
6,65,1.0,,data
7,65,1.0,,data
8,65,1.0,,data
9,65,1.0,,data
0,66,0.0,0.07441860465116279,data
1,66,0.0,,data
2,66,0.0,,data
3,66,1.0,0.027944111776447105,data
4,66,1.0,,data
5,66,1.0,,data
6,66,1.0,,data
7,66,1.0,,data
8,66,1.0,,data
9,66,1.0,,data
0,67,0.0,0.06666666666666667,data
1,67,0.0,,data
2,67,0.0,,data
3,67,1.0,0.03497942386831276,data
4,67,1.0,,data
5,67,1.0,,data
6,67,1.0,,data
