index,subject,bin,prob,source
6,22,1.0,,data
7,22,1.0,,data
8,22,1.0,,data
9,22,1.0,,data
0,23,0.0,0.08173076923076923,data
1,23,0.0,,data
2,23,0.0,,data
3,23,1.0,0.02813852813852814,data
4,23,1.0,,data
5,23,1.0,,data
6,23,1.0,,data
7,23,1.0,,data
8,23,1.0,,data
9,23,1.0,,data
0,24,0.0,0.06944444444444445,data
1,24,0.0,,data
2,24,0.0,,data
3,24,1.0,0.03359683794466403,data
4,24,1.0,,data
5,24,1.0,,data
6,24,1.0,,data
7,24,1.0,,data
8,24,1.0,,data
9,24,1.0,,data
0,25,0.0,0.10032362459546926,data
1,25,0.0,,data
2,25,0.0,,data
3,25,1.0,0.026392961876832845,data
4,25,1.0,,data
5,25,1.0,,data
6,25,1.0,,data
7,25,1.0,,data
8,25,1.0,,data
9,25,1.0,,data
0,26,0.0,0.1189710610932476,data
1,26,0.0,,data
2,26,0.0,,data
3,26,1.0,0.02185792349726776,data
4,26,1.0,,data
5,26,1.0,,data
6,26,1.0,,data
7,26,1.0,,data
8,26,1.0,,data
9,26,1.0,,data
0,28,0.0,0.14824120603015076,data
1,28,0.0,,data
2,28,0.0,,data
3,28,1.0,0.019230769230769232,data
4,28,1.0,,data
5,28,1.0,,data
6,28,1.0,,data
7,28,1.0,,data
8,28,1.0,,data
9,28,1.0,,data
0,30,0.0,0.10483870967741936,data
1,30,0.0,,data
2,30,0.0,,data
3,30,1.0,0.04028436018957346,data
4,30,1.0,,data
5,30,1.0,,data
6,30,1.0,,data
7,30,1.0,,data
8,30,1.0,,data
9,30,1.0,,data
0,31,0.0,0.1016949152542373,data
1,31,0.0,,data
2,31,0.0,,data
3,31,1.0,0.02346041055718475,data
4,31,1.0,,data
5,31,1.0,,data
6,31,1.0,,data
7,31,1.0,,data
8,31,1.0,,data
9,31,1.0,,data
0,32,0.0,0.08045977011494253,data
1,32,0.0,,data
2,32,0.0,,data
3,32,1.0,0.02735042735042735,data
4,32,1.0,,data
5,32,1.0,,data
6,32,1.0,,data
7,32,1.0,,data
8,32,1.0,,data
9,32,1.0,,data
0,33,0.0,0.08494208494208494,data
1,33,0.0,,data
2,33,0.0,,data
3,33,1.0,0.029159519725557463,data
4,33,1.0,,data
5,33,1.0,,data
6,33,1.0,,data
7,33,1.0,,data
8,33,1.0,,data
9,33,1.0,,data
0,34,0.0,0.05701754385964912,data
1,34,0.0,,data
2,34,0.0,,data
3,34,1.0,0.03824091778202677,data
4,34,1.0,,data
5,34,1.0,,data
6,34,1.0,,data
7,34,1.0,,data
8,34,1.0,,data
9,34,1.0,,data
0,35,0.0,0.12429378531073447,data
1,35,0.0,,data
2,35,0.0,,data
3,35,1.0,0.022004889975550123,data
4,35,1.0,,data
5,35,1.0,,data
6,35,1.0,,data
7,35,1.0,,data
8,35,1.0,,data
9,35,1.0,,data
0,36,0.0,0.05853658536585366,data
1,36,0.0,,data
2,36,0.0,,data
3,36,1.0,0.03728070175438596,data
4,36,1.0,,data
5,36,1.0,,data
6,36,1.0,,data
7,36,1.0,,data
8,36,1.0,,data
9,36,1.0,,data
0,38,0.0,0.10476190476190476,data
1,38,0.0,,data
2,38,0.0,,data
3,38,1.0,0.02545968882602546,data
4,38,1.0,,data
5,38,1.0,,data
6,38,1.0,,data
7,38,1.0,,data
8,38,1.0,,data
9,38,1.0,,data
0,39,0.0,0.07468879668049792,data
1,39,0.0,,data
2,39,0.0,,data
3,39,1.0,0.03272727272727273,data
4,39,1.0,,data
5,39,1.0,,data
6,39,1.0,,data
7,39,1.0,,data
8,39,1.0,,data
9,39,1.0,,data
0,40,0.0,0.12885154061624648,data
1,40,0.0,,data
2,40,0.0,,data
3,40,1.0,0.024067388688327317,data
4,40,1.0,,data
5,40,1.0,,data
6,40,1.0,,data
7,40,1.0,,data
8,40,1.0,,data
9,40,1.0,,data
0,41,0.0,0.09337349397590361,data
1,41,0.0,,data
2,41,0.0,,data
3,41,1.0,0.02606310013717421,data
4,41,1.0,,data
5,41,1.0,,data
6,41,1.0,,data
7,41,1.0,,data
8,41,1.0,,data
9,41,1.0,,data
0,42,0.0,0.1337386018237082,data
1,42,0.0,,data
2,42,0.0,,data
3,42,1.0,0.013262599469496022,data
4,42,1.0,,data
5,42,1.0,,data
6,42,1.0,,data
7,42,1.0,,data
8,42,1.0,,data
9,42,1.0,,data
0,43,0.0,0.09523809523809523,data
1,43,0.0,,data
2,43,0.0,,data
3,43,1.0,0.024291497975708502,data
4,43,1.0,,data
5,43,1.0,,data
6,43,1.0,,data
7,43,1.0,,data
8,43,1.0,,data
9,43,1.0,,data
0,44,0.0,0.08411214953271028,data
1,44,0.0,,data
2,44,0.0,,data
3,44,1.0,0.023529411764705882,data
4,44,1.0,,data
5,44,1.0,,data
6,44,1.0,,data
7,44,1.0,,data
8,44,1.0,,data
9,44,1.0,,data
0,45,0.0,0.09191176470588236,data
1,45,0.0,,data
2,45,0.0,,data
3,45,1.0,0.02021772939346812,data
4,45,1.0,,data
5,45,1.0,,data
6,45,1.0,,data
7,45,1.0,,data
8,45,1.0,,data
9,45,1.0,,data
0,46,0.0,0.08459214501510574,data
1,46,0.0,,data
2,46,0.0,,data
3,46,1.0,0.032,data
4,46,1.0,,data
5,46,1.0,,data
6,46,1.0,,data
7,46,1.0,,data
8,46,1.0,,data
9,46,1.0,,data
0,47,0.0,0.09045226130653267,data
1,47,0.0,,data
2,47,0.0,,data
3,47,1.0,0.04589114194236926,data
4,47,1.0,,data
5,47,1.0,,data
6,47,1.0,,data
7,47,1.0,,data
8,47,1.0,,data
9,47,1.0,,data
0,48,0.0,0.08365019011406843,data
1,48,0.0,,data
2,48,0.0,,data
3,48,1.0,0.031932773109243695,data
4,48,1.0,,data
5,48,1.0,,data
6,48,1.0,,data
7,48,1.0,,data
8,48,1.0,,data
9,48,1.0,,data
0,49,0.0,0.07758620689655173,data
1,49,0.0,,data
2,49,0.0,,data
3,49,1.0,0.02912621359223301,data
4,49,1.0,,data
5,49,1.0,,data
6,49,1.0,,data
7,49,1.0,,data
8,49,1.0,,data
9,49,1.0,,data
0,50,0.0,0.10126582278481013,data
1,50,0.0,,data
2,50,0.0,,data
3,50,1.0,0.027142857142857142,data
4,50,1.0,,data
5,50,1.0,,data
6,50,1.0,,data
7,50,1.0,,data
8,50,1.0,,data
9,50,1.0,,data
0,51,0.0,0.10658307210031348,data
1,51,0.0,,data
2,51,0.0,,data
3,51,1.0,0.02857142857142857,data
4,51,1.0,,data
5,51,1.0,,data
6,51,1.0,,data
7,51,1.0,,data
8,51,1.0,,data
9,51,1.0,,data
0,52,0.0,0.0622568093385214,data
1,52,0.0,,data
2,52,0.0,,data
3,52,1.0,0.03852889667250438,data
4,52,1.0,,data
5,52,1.0,,data
6,52,1.0,,data
7,52,1.0,,data
8,52,1.0,,data
9,52,1.0,,data
0,53,0.0,0.10121457489878542,data
1,53,0.0,,data
2,53,0.0,,data
3,53,1.0,0.023008849557522124,data
4,53,1.0,,data
5,53,1.0,,data
6,53,1.0,,data
7,53,1.0,,data
8,53,1.0,,data
9,53,1.0,,data
0,54,0.0,0.06550218340611354,data
1,54,0.0,,data
2,54,0.0,,data
