subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,100.5269144178761,free_shared_support_Semantic_CMR,0.4466408399493772,0.00586248759150626,0.7375798767144993,0.07385170942039948,0.021049485756665043,0.9728955676960382,0.6094462362254411,0.2120043894856849,54.43456887245524,0.012887205290839865,0.4824236369977344,9.851216700685743,0.8928242834966222,1.6891542925190066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,231.1749830991487,free_shared_support_Semantic_CMR,0.7778204761564048,0.004040423510857538,0.7344696752722982,0.05687781923903373,0.20770874202076695,0.8377389186505755,0.026209307715017283,37.94591335137889,52.22958923437542,0.024080830384576368,0.22230608662301776,2.143139465973691,0.15902310135351266,8.12823491460464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.29085940636264,free_shared_support_Semantic_CMR,0.56029234044993,0.8003702502825281,0.994923797935115,0.6016717621827286,0.9574461883790553,0.5147868462463435,0.7089369951798803,4.1080396914582735,64.68679758441874,0.03496420788043764,0.09469399555027636,3.709673901812393,0.6064293432416245,1.84255004047629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,346.5057634349023,free_shared_support_Semantic_CMR,0.6385183198315789,0.3841560962522418,0.8323790687581356,0.7082025613102099,0.6830927364637771,0.40721210854730255,0.5341237387163779,1.8441907398621566,47.03935266948918,0.0022633079830015612,0.2973067733387804,5.485126715748631,0.9644058805803313,0.6511923324878257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.61840661189171,free_shared_support_Semantic_CMR,0.40021679980998043,0.00810379364561653,0.6436135789794646,0.010693920589285477,0.23482056561094178,0.737351088034646,0.561505544894106,10.967620690363717,24.708867753932985,0.050515134277179796,0.15364811055612115,2.143137675072323,0.23902355660246666,3.6734029954823417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,276.56807046540155,free_shared_support_Semantic_CMR,0.821944877469726,0.10335271201267926,0.874388069135605,0.7075949653252747,0.4127725225167457,0.1442986477742188,0.6719684743871422,9.064039750003786,32.815986043812984,0.009714319057833987,0.25499112838410465,7.102132731099854,0.17995174684298426,0.23517753096909466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.2231909484561,free_shared_support_Semantic_CMR,0.8265338821489436,0.007513512953028212,0.4020201592245389,0.07203360135516945,0.01646450029735408,0.6092538497425958,0.44088646580880153,21.007140425984762,24.132855785577956,0.03760739558746051,0.15978350827480625,2.077286575301971,0.08953501115389828,0.6618236759310205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,269.4228340745168,free_shared_support_Semantic_CMR,0.404256576924367,0.12087157629127064,0.9237478448065397,0.6522798539016872,0.09009407085911329,0.297504727125165,0.8427324083250389,6.796121666892188,77.95380205062861,0.025114343411596428,0.13978938319849482,1.6867828537653824,0.19604532201667707,3.248659270552687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,264.3660099120274,free_shared_support_Semantic_CMR,0.7450138111994565,0.5293178104678019,0.8346906568267984,0.466259035856887,0.29714518990500016,0.3213966467574382,0.8962453674673547,0.0691871287200172,61.13666074936258,0.010427846447616573,0.23603560392160539,5.069809182466138,0.7904585183438126,0.4026054695464518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,298.50278314349976,free_shared_support_Semantic_CMR,0.4871920491682184,0.0983583372123154,0.831929857892227,0.07216396588735019,0.014011007970949896,0.49748663815782046,0.5863875995570929,10.01432445303761,95.56335937816534,0.0013530997904483422,0.4323292507898193,2.671100533085541,0.2048102983406357,0.9472652954291956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,273.66868483341807,free_shared_support_Semantic_CMR,0.6935969552644443,0.8528794869085314,0.8913408674844308,0.43117435293012896,0.487494360838805,0.3182499508582971,0.5875057993194887,0.47509256829727775,46.25452106855998,0.005308845615626334,0.27102579831082707,5.723797417853022,0.01392996203488378,0.26602765126024863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,202.50637051928453,free_shared_support_Semantic_CMR,0.893382513522837,0.08139797975881424,0.5095319276778636,0.5703897237679303,0.3306113880292677,0.706564416985325,0.9926986733092047,28.760077702073932,63.022874395662484,0.022989847625940918,0.32219297943534464,2.2873231023097675,0.17471775876101842,1.8319310312336654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
