subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
22,8,266.206469203932,free_3_shared_support_Semantic_CMR,0.6124059355824958,0.7212270658454036,0.4132321513654732,0.9757427333734825,0.31513444566935367,0.9774579403449614,0.12144828680696079,0.6572203972792676,0.5761047765450726,96.92389209350276,0.005435593474592548,0.2992984544216162,0.2385089561033258,6.814528050879092,9.333262618535512,0.008953996460839608,0.41166219398406234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,196.16045385813413,free_3_shared_support_Semantic_CMR,0.8052153076962634,0.1079875985736532,0.7075797666028282,0.6935567061237693,0.6934411966965686,0.7219661661103477,0.4701912404748041,0.7567462726134581,11.70840483257389,2.2440514608936937,0.005897401178467598,0.6164390321608026,0.3982279760091245,3.626585445215377,6.264047222821112,0.07814405142154052,0.7697560126115919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,179.07308818821355,free_3_shared_support_Semantic_CMR,0.7742146214502373,0.08597108398123815,0.40411161900962317,0.5981332289771201,0.6755451908754391,0.03303652046116973,0.9786988129909788,0.8868094436447318,0.013249767638939147,27.706392871280666,0.00888756399910573,0.7001865989529312,0.35469609926119716,7.010088080195638,1.5275956194367302,0.08063363380971422,0.18124872122121616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,251.64127377224293,free_3_shared_support_Semantic_CMR,0.2734284132638894,0.9880523198820708,0.25102359370499006,0.7473326055475333,0.47737806787972226,0.7387189547397447,0.000753590888587789,0.7675641147860166,0.9741099887579889,97.61546408460144,0.007591410127570516,0.4743534686718962,0.2298154981636299,1.0198428631878207,4.277174131018891,0.6799449543136163,3.3147580038472517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,287.4500860438792,free_3_shared_support_Semantic_CMR,0.7434685779911127,0.1452315054834658,0.6361326841661348,0.857363887734927,0.9094584203514364,0.6335015232231607,0.36701930896808976,0.4739256610805189,2.222543128414287,56.159719450656176,0.004708353456188474,0.35272514136222544,0.23630943035736518,8.482527882968164,6.834714576412193,0.03707174437816374,0.6618060213827146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,340.46488858092755,free_3_shared_support_Semantic_CMR,0.7579889393698476,0.003901424517021579,0.9571873895585424,0.8514114686074263,0.32165202951713445,0.1760320045307054,0.5402092212013099,0.5521116601252205,8.242190406837878,43.395275625060314,0.004116875929347785,0.2583243670397053,0.17003400010067793,6.46190460040772,5.208674039848669,0.7507135414971469,0.7331859972819146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,260.90548065911037,free_3_shared_support_Semantic_CMR,0.8436544731684146,0.6489745262292574,0.7163542485807846,0.8338844570224258,0.17861445082405653,0.7288023238439877,0.613056952624651,0.44255576593017176,12.094646853584592,0.046375973472429166,0.03684640529312966,0.19818602455831957,0.04158926367958582,1.5914758643980234,3.9131464909961853,0.3472806370513126,1.0171566061022999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,249.16034586669974,free_3_shared_support_Semantic_CMR,0.8434554486725372,0.24206776564443966,0.4067908964824132,0.8442439237065018,0.2607932402467271,0.425875494943059,0.8685868228867808,0.3370379433298093,1.0039407943836238,8.785236055727061,0.01517085682527658,0.24449558839332397,0.21091362732950003,3.610604054744366,4.862708313248747,0.05266644853317415,0.42162345258915845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,264.8098967689684,free_3_shared_support_Semantic_CMR,0.7943934674984604,0.1572071268127412,0.3111221980535072,0.8008812515762801,0.6599557312047786,0.30966541148773297,0.7621306566964615,0.7235693184492966,12.89086749742989,37.130832023991005,0.010522633107802288,0.2627358872507752,0.24928986477476317,3.9849210022543677,2.2882392269887575,0.3904862584400094,3.8794776421480424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,272.18176712765046,free_3_shared_support_Semantic_CMR,0.6376832852357448,0.45854480155613603,0.060222082656843756,0.9909932058987807,0.7272711805723329,0.9276706389244058,0.8947029787714822,0.8123814148119023,3.4200040275698598,14.6660949249273,0.0003843517977870081,0.5650862899129994,0.6850752400772189,2.1163862653166854,2.307386108171463,0.6303581889481111,4.48937022155407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
