subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate
43,8,215.00961000477486,free_1_semantic_scale_Semantic_CMR,0.6456794424618519,0.14557553312142563,0.4741386758338737,0.18900333567734745,0.014155423020980606,0.8299803179540866,0.9708892773316423,0.48807986458112396,40.76568602085732,0.033991422977963204,0.16580104435224108,1.7766596805302317,0.024391719233997966,0.5395094190520728,2.2636918696483472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,114.94521993724658,free_1_semantic_scale_Semantic_CMR,0.5642962702874501,0.006458639666877264,0.9947844476893237,0.014829051707603132,0.21253829785085038,0.6483488734748767,0.842827532987287,4.693413994831708,38.506027774438145,0.023771586037704635,0.5318822654930466,4.199613418153694,0.015239947918740055,0.20593340206142,0.37910101770872706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,214.78299564492363,free_1_semantic_scale_Semantic_CMR,0.6874942994652661,0.06714339298121252,0.168854705173969,0.4426894861203877,0.26253185194602785,0.6861664859894546,0.38713596204746903,4.340826605656119,53.1982270871303,0.014077197501146,0.35481950139989227,2.679562677707354,0.6488465521765281,1.730617454414741,6.730435759482809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,297.79617511087974,free_1_semantic_scale_Semantic_CMR,0.93145556793867,0.009331225183406622,0.28404556597980635,0.824790547119612,0.6235831905329758,0.8910335033216943,0.8784027657705311,15.75243796262528,82.01533442981959,0.0012826661262674843,0.3956342300137585,5.7543594959638895,0.10733070419954832,0.7016302936489884,0.1406517642974654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,309.0302353707558,free_1_semantic_scale_Semantic_CMR,0.6618747264188919,0.1604053704508323,0.3975039396409516,0.6072814830580789,0.02178319452679567,0.5011929763188633,0.48278170679040694,2.8531836332302376,16.358764354361128,0.02536846788441477,0.06629100893010875,2.472712084823362,0.18154731039122196,0.20717979486758775,0.2000859874848624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,225.98264034345524,free_1_semantic_scale_Semantic_CMR,0.6551169861773632,0.03676957966683361,0.1491624812399045,0.9171171890078623,0.11825934225100188,0.8818945117859612,0.7572902924495889,3.9334542998015904,89.9595966951309,0.01595324139472373,0.25253868506255933,2.447896667915629,0.01668022168175341,0.10494868134898698,0.6609946101503872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,185.91411381025102,free_1_semantic_scale_Semantic_CMR,0.9827579795878296,0.3151767910363693,0.4351816954843841,0.9792320451325961,0.007659411044451114,0.9585479536866292,0.44036242011429183,8.53778400059835,85.3714776446773,0.05732487898019989,0.16946698533940907,1.6604016885598094,0.07809403190595887,0.5776243578261635,3.0569084485863356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,308.03652818492935,free_1_semantic_scale_Semantic_CMR,0.595481160263775,0.18619960656738843,0.4725732787415848,0.982630319086433,0.5889649112860449,0.8586965331780989,0.4799489495197627,0.7288209518240747,2.1834490509521087,0.007797862743635808,0.2741412363536869,4.282181439980137,0.41972884534868765,1.5034543085411545,0.8228609478645789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,277.25515781981403,free_1_semantic_scale_Semantic_CMR,0.6082769584411007,0.1322899343964905,0.8598715609806246,0.6914295141844163,0.16180773887344882,0.30387080621627477,0.31720325321866893,2.2292269736527754,49.303452102255754,0.021452208368078318,0.11420907177154153,2.570266294710876,0.1956105203048252,0.37097414539692253,2.233245420882121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,265.7216574064237,free_1_semantic_scale_Semantic_CMR,0.4316022037309737,0.1557770571580529,0.45123682369528517,0.9099155121666906,0.39162970078071085,0.5160253278578665,0.583869071987926,12.019460228463942,67.1287741901715,0.012028764916116652,0.2760486983835273,2.0901669282441935,0.5351336479441394,3.4185153318232437,1.0596755273840524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
