subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,1_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_semantic_scale
34,8,228.80693975205807,free_3_delay_drift_rate_Semantic_CMR,0.5274468960634341,0.03158856015629685,0.0626085054515006,0.07712041348641979,0.05783542317374357,0.7483559594380941,0.7921789621833819,1.282520320809823,57.61889194498864,0.018686388655514086,0.3629464611312221,0.3185324399646676,1.7396674704178565,2.140502933634161,0.15961481244692033,0.1519268842168769,0.3819259368171659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,314.8460348630201,free_3_delay_drift_rate_Semantic_CMR,0.8907832618971421,0.36712493992816925,0.6950200193932665,0.7331820800936579,0.6487391286606186,0.263152621018532,0.4948025916484584,0.09317346574923846,40.883911298906696,0.0033207795494295533,0.39485828901411146,0.27819478649194007,3.4541094375985533,6.307356359284456,0.40591078075065556,0.43891355302614077,1.1844524853410556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,199.17548843945536,free_3_delay_drift_rate_Semantic_CMR,0.6575687911641197,0.11611038997938178,0.11541875856836709,0.7680227914012533,0.5074993418776581,0.962325943510834,0.411733180546991,1.5481072494660637,34.19897501678637,0.009728208770651614,0.5226508337469848,0.42421337658531755,5.0285764924000045,4.879651247335685,0.1467671989536839,0.46542529529554355,0.2903476367731521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,266.5125736093921,free_3_delay_drift_rate_Semantic_CMR,0.8719205197887798,0.47836227713430335,0.17925183701427894,0.9138071259447902,0.9931553700766196,0.2201221732897184,0.0656550998536341,10.572444201194017,0.21298843796370903,0.0025229447376092784,0.5477331956913822,0.3499855226785549,3.0044093758470924,3.8864197692230276,0.722734213986011,0.47783430562561724,0.4425460554912739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,261.2453555852213,free_3_delay_drift_rate_Semantic_CMR,0.8174348455336367,0.019994295590147204,0.3593110179337456,0.23192249618241184,0.33784803222244386,0.36776804161827203,0.39719234687163907,9.502031646650089,3.066148438719658,0.002977768807651937,0.5244332573780417,0.5077071829482538,2.1041787845939117,2.6712510759926875,0.051795595281408424,0.9456840765410588,1.7919758120320326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,365.1279933007134,free_3_delay_drift_rate_Semantic_CMR,0.5582516430162608,0.10674780428710967,0.2552349705801922,0.5777231831508758,0.6042555013424745,0.28012779127709586,0.004598014547272156,18.669857773470067,0.7983140661289738,0.027807145693668656,0.16604881723950982,0.0784929612722749,2.1641389044431825,5.530634556886168,0.63051649271439,0.6078035024751647,1.8010486425476264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,277.1767387692357,free_3_delay_drift_rate_Semantic_CMR,0.7717254672942278,0.720637166186737,0.8223208563230257,0.8531389902642302,0.43594203258564734,0.40353635968970386,0.6027586077922923,0.1829993208076274,4.634901394137372,0.006950677393054262,0.21316887182612224,0.28700924213452733,7.414242877412567,7.469766346712319,0.22690963787119506,0.7572577630541086,0.2217869944667554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,222.65643569029424,free_3_delay_drift_rate_Semantic_CMR,0.8596618709100359,0.9386933501029209,0.03308674849879589,0.9196488227212396,0.823272729825951,0.43502132282997863,0.12227014369548522,0.5166447759585822,27.219545140879976,0.044817776273644305,0.11727905090434376,0.04523768684814922,9.269475515817899,9.07489083269422,0.8116936118038676,0.4533071574924922,0.6410236364472706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,212.71052216177867,free_3_delay_drift_rate_Semantic_CMR,0.6924066416071493,0.037101595319840475,0.9433168387275892,0.2135976121819564,0.014349487502728908,0.337753856065631,0.9561463616717455,8.314472329553645,34.03687701961987,0.017496205903134887,0.3404839101785937,0.2154461488414361,1.9752096806717425,3.616443881456532,0.0028345159727340974,0.4872921647916606,0.7779018190660008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,115.55247289783117,free_3_delay_drift_rate_Semantic_CMR,0.4190717118557241,0.1218484645361515,0.9979193524910669,0.01712810089991601,0.16608962382409342,0.7307041271222267,0.8636902130335669,1.817187567601195,87.48796047620124,0.02873081943942729,0.494033650857876,0.5025629917486691,6.189419212433562,3.8900469396995274,0.02206689221906155,0.01802992643120377,0.15412962512774975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
