subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,1_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
12,8,94.950359374387,free_3_learning_rate_Semantic_CMR,0.4323143858097894,0.0017738701919306488,0.5343384127461662,0.9237732665530478,0.0014266281041304674,0.8147067054326012,0.7172404126844698,0.7880918315511709,0.02614506514613879,62.66369848012852,0.011917057020265742,0.44975731117996,0.4642762093061217,9.500063249252335,9.99859720539733,0.9808745901476794,1.929272985238235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,218.81911001619443,free_3_learning_rate_Semantic_CMR,0.7072001804402879,0.020008695867448356,0.7073514223288405,0.9237045649593634,0.006969870029453595,0.2523296395861633,0.4093340457042724,0.4799372045619663,60.042986764456955,0.5577673971841364,0.013077892759138177,0.4731021034011871,0.2345069160426121,1.5562116461487907,3.016262400746155,0.05126011057217139,8.931941484781172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.7316449756819,free_3_learning_rate_Semantic_CMR,0.9139052406324206,0.7273403056436536,0.3510655349301778,0.9549542126530293,0.702917646616587,0.18670192147568204,0.24912590149338576,0.5289633077187947,2.545583190427905,75.24646308220584,0.007332904060874945,0.2608183729316309,0.14688560528938055,5.202893912166424,5.037347198006833,0.7766421670161995,1.1203998157429358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,336.788427989952,free_3_learning_rate_Semantic_CMR,0.6740695863252473,0.26289393332934924,0.13407795040815185,0.9715058608797005,0.3848038831412335,0.5881861913424518,0.6931021188409334,0.9840483585259,0.7564591607146173,83.52350086338423,0.005174970510790318,0.36232499170526433,0.2436529853681133,6.1927709100404496,4.58815919839332,0.5566795637474296,0.8160061899797051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,175.6176791412263,free_3_learning_rate_Semantic_CMR,0.44720946123359884,0.0551049636766478,0.44708108048488937,0.3548033646983209,0.047418155900445846,0.43186352294380814,0.5798572808309372,0.88217539853176,16.235439242979467,92.67307401540222,0.025943778573781773,0.23209572180671678,0.328251458945231,2.1500989134645154,2.012178487591405,0.07728801297290117,5.227185916050221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.05413739745325,free_3_learning_rate_Semantic_CMR,0.6599847346425535,0.23501307041332437,0.6589168988277645,0.8844584415356688,0.46705053347851894,0.46640906816813765,0.03347749679356322,0.6654803660540697,5.883400201726744,17.99233256872477,0.0059204337195233134,0.3072122912376374,0.2839875038060503,5.391618155621368,7.190129326288162,0.0449075870892987,0.3796541504855995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.8751594251391,free_3_learning_rate_Semantic_CMR,0.7440962539354222,0.0712793401297413,0.4492608470597973,0.06710909806154558,0.4916654587949111,0.3217031317901018,0.6998356407569103,0.5987640888272887,3.729122279403768,35.471023511848465,0.043671498998467506,0.16399747118828145,0.14311525633735211,8.268410982869163,6.454413252834121,0.09055113240619889,0.29645642951368956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.3656866992835,free_3_learning_rate_Semantic_CMR,0.5659606483029861,0.07311033226461588,0.7615204408192475,0.4929254208955193,0.8152575259991899,0.07432263178153486,0.6290164596798153,0.9365280906929936,32.93420746591691,23.937947601632747,0.008802998698770437,0.3947345346390758,0.2375903828504189,1.0968651466705204,2.5244197490278992,0.10866978675522204,6.0400517834951275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,260.4906101659286,free_3_learning_rate_Semantic_CMR,0.6248696690192357,0.059829574087352344,0.39929266170650174,0.9931417175041343,0.46304669423802397,0.814556483548019,0.4440651670326554,0.8865375589760576,1.0006170485472055,64.94347174813228,0.008400371443390897,0.21585630584942272,0.27557911067791707,6.827474732712757,4.647759603026873,0.7654236956164796,0.42812611359955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,295.54049527277266,free_3_learning_rate_Semantic_CMR,0.5254272882438736,0.07727227288141564,0.40616808185673536,0.6891400788841168,0.5547294840728034,0.6307744087929372,0.9223143104356375,0.5236335762720937,9.588434692856765,49.80228062128434,0.0006878801840846105,0.4958881250003335,0.45833559430383986,6.762689713385716,6.4321339025372595,0.06902813638220628,0.49474083666429713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
