subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
46,8,303.1887462025153,free_stop_probability_scale_Semantic_CMR,0.916358449533603,0.028710317703287802,0.31675796170416937,0.6635359161335536,0.9900659752289533,0.8889397699513042,9.970638909594136,83.48348394796874,0.008067723068875265,0.005363552071642297,0.25331153593210765,7.694927586356069,0.2212158943839445,0.3366979315662455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,307.54886720225323,free_stop_probability_scale_Semantic_CMR,0.6599564204381178,0.24890107165137573,0.5903116644301585,0.1268188547738336,0.1319384260429176,0.6233589076440318,2.6189163664383304,91.18051127601655,0.06509274637449335,0.0061877671876160315,0.1342761677252919,4.6734435361956965,0.005424219582919666,0.22211338195623984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,226.22716990456456,free_stop_probability_scale_Semantic_CMR,0.6173573446926464,0.3454319035108164,0.14790948845346646,0.3678302990031243,0.44939202855551474,0.7453390660536993,1.3565909193136179,18.012025806274814,0.024200909450259322,0.00965498057227493,0.27565326766076303,6.022046347086214,0.05111171139797388,0.29296051151008395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,183.88170181419912,free_stop_probability_scale_Semantic_CMR,0.9784359325836338,0.7021207428138253,0.8525574153018143,0.007972835464975958,0.7868017991801358,0.8890102139085732,2.016379212291028,2.861904080011371,0.08937489994078335,0.023198694775386608,0.2672380064688138,1.70293954992062,0.1824229449840769,0.21042624955345612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,307.4121277032531,free_stop_probability_scale_Semantic_CMR,0.7308637539181947,0.7097125076244614,0.9931064184565593,0.6353774643947923,0.6802161302196033,0.7112059971531065,0.5059357590653875,76.9311707022932,0.025714116600812853,0.0077661943203282124,0.20800112571552187,4.907811991450755,0.5051757569895107,0.5202340970609285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,272.2119205140193,free_stop_probability_scale_Semantic_CMR,0.5009902081466228,0.366961536306008,0.9725487707009349,0.4908185840390684,0.2066984163196876,0.7943344309887638,0.7345027108025401,90.974044934197,0.028102285966155834,0.01011233633726394,0.20324879297110746,5.416829053353344,0.25836408450617393,0.530054065944623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,259.55077772720637,free_stop_probability_scale_Semantic_CMR,0.8673861691081783,0.06275472544009625,0.8914590681541998,0.6152232796060462,0.7305358883975569,0.5894951374056362,4.569134542886452,87.72395147714673,0.01174197536312721,0.008866813266448781,0.2977363186558124,6.099932622811637,0.5019088067073301,0.1585760933037692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8,261.7979531618289,free_stop_probability_scale_Semantic_CMR,0.8977731593465383,0.32489707887607366,0.3344985371391703,0.5162789806027037,0.52994541597677,0.8045884010860164,4.497672892213139,0.9001665648960184,0.005998629375921272,0.009839472704836094,0.2871545074512687,8.399671007105532,0.284403530049968,0.75010050530675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8,222.96064172566975,free_stop_probability_scale_Semantic_CMR,0.3845207881258866,0.34140116650003893,0.4445239380829472,0.08788794339543621,0.41315481659514297,0.9236253754403345,0.24037281762230833,50.5682279888406,0.030055742784168782,0.009230168333585864,0.29268835675571836,1.352164890963898,0.717280702910558,5.982609294677111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8,302.1095168643174,free_stop_probability_scale_Semantic_CMR,0.9316977182068702,0.11326080748526729,0.9285081173562781,0.9479608481597038,0.943456302083066,0.4784579834893156,32.65762524835866,1.1727989678386592,0.009175250674827107,0.00048454182692397874,0.376828180702776,5.346869939349857,0.16597445948299594,0.4798016520535304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
