subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
12,8,97.47328365019438,free_1_shared_support_Semantic_CMR,0.4289569402035386,0.015290973561068788,0.32326768100034253,0.9854197562165176,0.035493427223997065,0.015030649031986587,0.8064220248708202,0.685811725386749,0.14466879702798252,72.43532034599357,0.00591489299020137,0.5852233364524126,9.416264010726936,0.9826052003580409,1.8312359184500475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,230.6782346847411,free_1_shared_support_Semantic_CMR,0.8220202475514726,0.3976503611692575,0.9475931102492734,0.9699377593230301,0.3203940746624677,0.04440034157544903,0.43655841465687684,0.32667997355509304,6.568816376194029,18.048794365177322,0.03176083509115041,0.19660428191398172,2.4858806150817303,0.3068806951873657,3.687512739157968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.2085948153748,free_1_shared_support_Semantic_CMR,0.8998421784049351,0.3424256876177709,0.2935869579063982,0.9909505948660438,0.2832957735175632,0.6228659614010541,0.5995801786095828,0.9960643666771951,14.94492990581039,0.14585476492565874,0.02337564242013801,0.08500854034208949,2.962788142001541,0.41309481042290014,8.040141424317767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,341.21814663025293,free_1_shared_support_Semantic_CMR,0.7753908520720186,0.08231315196885258,0.21021462906123434,0.9744788344920347,0.3095535891969904,0.39560810401716623,0.6578266957462588,0.5860986719502145,0.9283103307784941,94.87658477952928,0.001706078758541174,0.30324908078235424,3.7579185776432538,0.6389845610433011,0.43010088348474085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.14851207944628,free_1_shared_support_Semantic_CMR,0.4433413653074143,0.00980766837051215,0.29478480805267526,0.44222478585770675,0.21407060653907567,0.014002386938183927,0.8349682414818105,0.5640026868691808,18.209170235197906,32.4388099887707,0.04518578122001092,0.16420974679150566,2.0017049991243714,0.02318230158450972,4.077758180040203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,272.46683951096156,free_1_shared_support_Semantic_CMR,0.8918298949882111,0.2956958808769846,0.2966530366309801,0.9471712267671355,0.6355338981994556,0.6659186258786278,0.6082404793973837,0.7496079352640449,3.315504575481583,53.43088705164405,0.0026899629636506495,0.3454031511390667,8.878873953768759,0.23507621089704894,0.26990878263195395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.74128917626118,free_1_shared_support_Semantic_CMR,0.6305242914623597,0.036680029638057166,0.3393632256909367,0.23743084193527186,0.5673293582707819,0.3977887382130714,0.4715192829617107,0.44085677861948724,9.743249411101452,26.09998116294763,0.017245738917925524,0.22053075378078724,5.635362900909744,0.06059064752500981,0.5294018776270963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,266.2944276194163,free_1_shared_support_Semantic_CMR,0.7290581667388351,0.13617337910382926,0.7904078877457091,0.9544091640076405,0.8873092123579058,0.7280982352140638,0.42292599457624414,0.5508926805449657,2.8721670060406694,38.5061971513075,0.0331703197410364,0.13126443227451734,4.687656130324174,0.07276296662262832,0.6033950547580478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,260.69283535412137,free_1_shared_support_Semantic_CMR,0.6035621164224123,0.21178242072824927,0.3131449431573894,0.9851796439286689,0.575781790607322,0.8480525020146639,0.8572976227686921,0.9282671459675587,0.4036988865970059,39.83874562027739,0.015120589770866666,0.2288336063174059,6.243582560624606,0.34795901625276116,0.5830917926481405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,298.9229133722671,free_1_shared_support_Semantic_CMR,0.48910639294506125,0.21838328110695493,0.5734308410600533,0.9969917215026048,0.18378938399600808,0.876507568417138,0.9388387524059711,0.7337547166558993,5.418105492820779,61.464968515222736,0.006317029033575561,0.3339000641695531,4.343913075593107,0.15315571896742236,0.43468436420082224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,269.9984941146172,free_1_shared_support_Semantic_CMR,0.6994671110485386,0.834945433994505,0.676342128710774,0.9944167144099347,0.10402635863174729,0.2227631760301175,0.3318916403894278,0.2701707291829815,0.6014874789845552,13.794990480813002,0.009987457288183234,0.22544732789603583,3.5595939169537125,0.11037378595426081,0.2167767708798406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,204.77859426678503,free_1_shared_support_Semantic_CMR,0.9427073550624036,0.5207095149056712,0.461919288717811,0.05217322164269056,0.38146392497730813,0.22484096869663933,0.3381231243492777,0.5480656327991412,11.525241680054258,11.824833901633511,0.02509399797454548,0.2581513146660317,1.2385024735350072,0.1012021292051315,3.590500256064245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,184.38139103549156,free_1_shared_support_Semantic_CMR,0.601453908440121,0.13982062656119204,0.05249447948251973,0.5867184884882305,0.22055514994750958,0.027842927753817803,0.9847728841201842,0.5892646267586803,0.6618732742219393,37.31014730669603,0.0427882652376092,0.1762075717684901,1.979189499419709,0.03491989667722678,0.38195392660786265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,258.1690875883677,free_1_shared_support_Semantic_CMR,0.4281209268104127,0.34804685159434895,0.4864314935797478,0.9716608688060726,0.7256440304647646,0.8791868852100713,0.01642950070049609,0.7983520774668732,4.9911966517041435,44.58728393660212,0.013624273541278098,0.2617722295675504,2.236431187758562,0.6442868907666774,6.402616889256773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,289.5725088180312,free_1_shared_support_Semantic_CMR,0.7566175978983537,0.015888088174367376,0.7090672501217409,0.9985773643581324,0.40315777853873375,0.5825128688998433,0.588256415202916,0.20126899309591417,2.1385818495829696,81.85540901884966,0.016397061040148264,0.19694388827231002,4.198159902997574,0.032488331638978796,0.6929547582828448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,342.1252898371595,free_1_shared_support_Semantic_CMR,0.7361641500186061,0.04632480867649702,0.9394313211780133,0.8185816219149398,0.18806613263649613,0.2854634631184547,0.5896202201621984,0.7621852932294642,6.160849197665883,65.76884968208736,0.004169317868189748,0.19361196680790282,5.221657512464553,0.5917446273217225,0.9978071783451661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,260.22889383485096,free_1_shared_support_Semantic_CMR,0.652820138971657,0.42789318172309987,0.8601515494441248,0.8154547862700308,0.6772095644783823,0.3252118434812076,0.03830324407905494,0.5503321942257846,1.359721482933658,51.52893307310165,0.03250937606982057,0.06224602848448413,8.720627549197996,0.829253788587339,0.19612629208886823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,250.34566546785192,free_1_shared_support_Semantic_CMR,0.8342210695526131,0.24522803711013358,0.1688807908221961,0.9191430148700004,0.08261512556296917,0.08008519490287627,0.32977248590827934,0.3180516861225497,1.2426580966334575,38.59546863459755,0.011608420573908153,0.2559954407071723,2.8800425968670083,0.235421684267025,0.4338258533170352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,263.68191883735466,free_1_shared_support_Semantic_CMR,0.6959313244543248,0.3267914601505668,0.735608574625578,0.5006599682598063,0.4822120760243761,0.2970631110409663,0.08213737752051026,0.7642145684648817,6.651670521483112,43.27521951699003,0.0029778747185300047,0.37929611801293284,3.2506050767372336,0.2742560521794384,2.196202361882142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,271.447462442467,free_1_shared_support_Semantic_CMR,0.6130021513190143,0.001458997827594788,0.46294934506201896,0.052483160317512656,0.8915628746383661,0.7120662436187389,0.6915374316960184,0.5897486924822969,5.2494160976637545,53.32152242358317,0.008777163579103298,0.3106866313254528,6.003055510233157,0.04925687770606324,0.9702371488523021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,227.1243325202104,free_1_shared_support_Semantic_CMR,0.44205754824553556,0.2422975107636548,0.19125685701033524,0.4100798721501796,0.0951675147927959,0.1400168192214279,0.9307199619904996,0.6853353629056208,1.7707160051414732,60.982952833505976,0.010616906971614382,0.34143355664463293,3.9538638821154444,0.47089720963414383,0.33535558979004243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,316.36706883096974,free_1_shared_support_Semantic_CMR,0.6012629701398968,0.3682934595818069,0.8731272862833466,0.7422824870766589,0.5160662437393624,0.18059734244605813,0.5171301769947189,0.6999239815945032,1.4967725227606934,25.396029390718656,0.004125894491732007,0.29363639987177326,4.094611639106571,0.4460885634895231,1.7054295963212338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,197.32233317954717,free_1_shared_support_Semantic_CMR,0.7526982534843474,0.28893192317764105,0.15294784503394626,0.9750026093428328,0.4665705756537303,0.689382431152216,0.6658543691287863,0.8902106519976263,0.29480052084700503,43.01342054166564,0.003312802950374949,0.5792613031959588,5.264378730172279,0.1629033884308077,0.06286774716770793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,276.581905412511,free_1_shared_support_Semantic_CMR,0.8751060848824618,0.45491289692914705,0.6617860842456262,0.9776289500353808,0.6935128067807029,0.4568744541424318,0.4285054062005123,0.058727108933919976,39.07269175337791,0.5640269790835216,0.012351839019411816,0.26105419157771764,1.5340305455306482,0.8266998807047679,1.904523473993776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,261.60715869379857,free_1_shared_support_Semantic_CMR,0.4959011319769233,0.0812387792489254,0.1625527689551197,0.08747992735849659,0.39697546386687016,0.4447883708111637,0.800514471963994,0.5308972927383646,3.959623269436746,19.259715236424558,0.0051065330886285905,0.48055389148552685,3.7896536306651343,0.4838901046663905,0.8788200370018078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,359.0287305218111,free_1_shared_support_Semantic_CMR,0.8282340616206922,0.28638854211361253,0.24588093368626807,0.8594845571615095,0.7248693140765626,0.5916761302620781,0.27221055467208344,0.061955094070446415,2.4401945352355696,76.80936909364326,0.004950083674419292,0.23996560227916586,5.600686536815745,0.05822355015897185,0.5617555345374674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,277.537795806347,free_1_shared_support_Semantic_CMR,0.7901622250632699,0.6842061242738643,0.9271495120280947,0.9775500568380665,0.2380033872221298,0.2588622127779833,0.45879264454349983,0.6475688529165918,0.051681588028583386,29.477477947279926,0.006744968764007649,0.2375568719451771,4.50816133672412,0.44052233267412433,0.23259587127196352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,227.7653997350851,free_1_shared_support_Semantic_CMR,0.46779622332175663,0.3136536887192257,0.28361343946250794,0.8613368666751127,0.6822146178149479,0.5914592274105955,0.4125173169952583,0.4412449722811822,3.796659220153316,0.20251894583859809,0.012536822128478231,0.15612675648782126,5.928716100850375,0.3560636773779784,2.452708285696012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,216.73571544360965,free_1_shared_support_Semantic_CMR,0.4956982455726688,0.06080180476150149,0.3952915401678226,0.16874178636536358,0.0494539161800952,0.005643449153741431,0.2380307433667107,0.8723770509942614,4.704405107481776,49.88367652703557,0.029213878081029543,0.17877581062345005,2.9435056971102136,0.062412813191361605,1.1399026345499639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,114.49663084650092,free_1_shared_support_Semantic_CMR,0.5263943788716149,0.026372476017034685,0.9947525010727523,0.007887882014026404,0.3712400797020829,0.5889297627807528,0.8327840502393369,0.9587961568677649,3.801214985861641,77.7782359371482,0.042540822915005605,0.4082872073778523,7.401125855237627,0.07556559091896015,0.22238009380195045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
