subject,list,item,input,output,study,recall,repeat,intrusion,first_input,prior_list,prior_input,list_length
63,2,59,60,,True,False,0,False,60,,,60
63,3,0,1,2.0,True,True,0,False,1,,,60
63,3,1,2,,True,False,0,False,2,,,60
63,3,2,3,,True,False,0,False,3,,,60
63,3,3,4,,True,False,0,False,4,,,60
63,3,4,5,,True,False,0,False,5,,,60
63,3,5,6,,True,False,0,False,6,,,60
63,3,6,7,,True,False,0,False,7,,,60
63,3,7,8,,True,False,0,False,8,,,60
63,3,8,9,,True,False,0,False,9,,,60
63,3,9,10,,True,False,0,False,10,,,60
63,3,10,11,,True,False,0,False,11,,,60
63,3,11,12,,True,False,0,False,12,,,60
63,3,12,13,1.0,True,True,0,False,13,,,60
63,3,13,14,,True,False,0,False,14,,,60
63,3,14,15,,True,False,0,False,15,,,60
63,3,15,16,,True,False,0,False,16,,,60
63,3,16,17,,True,False,0,False,17,,,60
63,3,17,18,,True,False,0,False,18,,,60
63,3,18,19,,True,False,0,False,19,,,60
63,3,19,20,,True,False,0,False,20,,,60
63,3,20,21,,True,False,0,False,21,,,60
63,3,21,22,,True,False,0,False,22,,,60
63,3,22,23,,True,False,0,False,23,,,60
63,3,23,24,,True,False,0,False,24,,,60
63,3,24,25,,True,False,0,False,25,,,60
63,3,25,26,,True,False,0,False,26,,,60
63,3,26,27,,True,False,0,False,27,,,60
63,3,27,28,,True,False,0,False,28,,,60
63,3,28,29,,True,False,0,False,29,,,60
63,3,29,30,,True,False,0,False,30,,,60
63,3,30,31,,True,False,0,False,31,,,60
63,3,31,32,,True,False,0,False,32,,,60
63,3,32,33,,True,False,0,False,33,,,60
63,3,33,34,,True,False,0,False,34,,,60
63,3,34,35,,True,False,0,False,35,,,60
63,3,35,36,,True,False,0,False,36,,,60
63,3,36,37,,True,False,0,False,37,,,60
63,3,37,38,,True,False,0,False,38,,,60
63,3,38,39,,True,False,0,False,39,,,60
63,3,39,40,,True,False,0,False,40,,,60
63,3,40,41,,True,False,0,False,41,,,60
63,3,41,42,,True,False,0,False,42,,,60
63,3,42,43,,True,False,0,False,43,,,60
63,3,43,44,,True,False,0,False,44,,,60
63,3,44,45,,True,False,0,False,45,,,60
63,3,45,46,,True,False,0,False,46,,,60
63,3,46,47,,True,False,0,False,47,,,60
63,3,47,48,,True,False,0,False,48,,,60
63,3,48,49,,True,False,0,False,49,,,60
63,3,49,50,,True,False,0,False,50,,,60
63,3,50,51,,True,False,0,False,51,,,60
63,3,51,52,3.0,True,True,0,False,52,,,60
63,3,52,53,,True,False,0,False,53,,,60
63,3,53,54,,True,False,0,False,54,,,60
63,3,54,55,,True,False,0,False,55,,,60
63,3,55,56,,True,False,0,False,56,,,60
63,3,56,57,,True,False,0,False,57,,,60
63,3,57,58,,True,False,0,False,58,,,60
63,3,58,59,,True,False,0,False,59,,,60
63,3,59,60,,True,False,0,False,60,,,60
63,4,0,1,,True,False,0,False,1,,,60
63,4,1,2,6.0,True,True,0,False,2,,,60
63,4,2,3,,True,False,0,False,3,,,60
63,4,3,4,,True,False,0,False,4,,,60
63,4,4,5,,True,False,0,False,5,,,60
63,4,5,6,,True,False,0,False,6,,,60
63,4,6,7,,True,False,0,False,7,,,60
63,4,7,8,,True,False,0,False,8,,,60
63,4,8,9,,True,False,0,False,9,,,60
63,4,9,10,,True,False,0,False,10,,,60
63,4,10,11,4.0,True,True,0,False,11,,,60
63,4,11,12,,True,False,0,False,12,,,60
63,4,12,13,,True,False,0,False,13,,,60
63,4,13,14,7.0,True,True,0,False,14,,,60
63,4,14,15,,True,False,0,False,15,,,60
63,4,15,16,,True,False,0,False,16,,,60
63,4,16,17,,True,False,0,False,17,,,60
63,4,17,18,,True,False,0,False,18,,,60
63,4,18,19,,True,False,0,False,19,,,60
63,4,19,20,,True,False,0,False,20,,,60
63,4,20,21,,True,False,0,False,21,,,60
63,4,21,22,,True,False,0,False,22,,,60
63,4,22,23,,True,False,0,False,23,,,60
63,4,23,24,,True,False,0,False,24,,,60
63,4,24,25,,True,False,0,False,25,,,60
63,4,25,26,,True,False,0,False,26,,,60
63,4,26,27,,True,False,0,False,27,,,60
63,4,27,28,,True,False,0,False,28,,,60
63,4,28,29,,True,False,0,False,29,,,60
63,4,29,30,,True,False,0,False,30,,,60
63,4,30,31,,True,False,0,False,31,,,60
63,4,31,32,,True,False,0,False,32,,,60
63,4,32,33,,True,False,0,False,33,,,60
63,4,33,34,,True,False,0,False,34,,,60
63,4,34,35,,True,False,0,False,35,,,60
63,4,35,36,,True,False,0,False,36,,,60
63,4,36,37,9.0,True,True,0,False,37,,,60
63,4,37,38,,True,False,0,False,38,,,60
63,4,38,39,8.0,True,True,0,False,39,,,60
63,4,39,40,,True,False,0,False,40,,,60
63,4,40,41,,True,False,0,False,41,,,60
63,4,41,42,2.0,True,True,0,False,42,,,60
63,4,42,43,,True,False,0,False,43,,,60
63,4,43,44,,True,False,0,False,44,,,60
63,4,44,45,,True,False,0,False,45,,,60
