subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,1_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
41,8,277.7397437207652,free_2_learning_rate_Semantic_CMR,0.7088006818538322,0.7857959905699505,0.8948841769698823,0.9440775915883448,0.37836248655988525,0.5284191455967536,0.4969893349902327,0.5455767802544809,0.216390079728626,53.41889348864237,0.006349198578654736,0.22991498870888893,0.29283339501367234,5.89596055669907,0.4197485359680283,0.3310601005400944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,221.27756428204117,free_2_learning_rate_Semantic_CMR,0.8516836528382994,0.931331075102837,0.0024682616832865656,0.9434595281322471,0.9111406773686939,0.46949051218668225,0.26845237786222426,0.3354105160864057,0.4243825795065561,67.07442110081288,0.03346315476829487,0.14487467866181802,0.1016181502480542,8.772442771457108,0.7138488050262262,0.4995223215972686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,214.27080785181727,free_2_learning_rate_Semantic_CMR,0.5956178839958841,0.2725189051332989,0.6926309704517097,0.307834639226084,0.06175466141697561,0.7718695513543622,0.8415336965724418,0.25317983507238073,1.7800888197519598,30.85357693701505,0.012535754112236008,0.4439295011056066,0.20163722524446737,2.596116667012116,0.1725570901046743,1.0440981093464785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,116.74965950142285,free_2_learning_rate_Semantic_CMR,0.574208208055888,0.05443372990612899,0.9709107106908603,0.33367855444683214,0.019638537925116384,0.8006879206092206,0.8016784046675726,0.17887055181314587,5.072737596422726,0.7508078435903158,0.02790181701544292,0.3968203380946722,0.4367373742484313,2.4886067108741914,0.2873888232783838,0.22168175122908007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,213.80422879182075,free_2_learning_rate_Semantic_CMR,0.7336722576688265,0.21857856893040806,0.4483502357533662,0.8970950345463018,0.534311153482522,0.7795514998815786,0.9574588887686185,0.3315302069289505,3.5495174083282066,82.07919124869193,0.011895620662428719,0.302787420717495,0.3157256484093125,4.941759839869978,0.888996032479066,0.9881451808308617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,307.5429030943363,free_2_learning_rate_Semantic_CMR,0.9482961700309873,0.06988473996575612,0.5076954023125873,0.3793205376582402,0.13304865944861521,0.997393966858025,0.33680321780706557,0.7620299310002624,11.884487308493462,53.05119531118561,0.010182648600084276,0.2034626655584999,0.2195486791148893,2.362120268921309,0.15539070195004928,0.29999994760378357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,303.146917756745,free_2_learning_rate_Semantic_CMR,0.5741229953758685,0.33090816879859786,0.27706064877925857,0.6363919207560942,0.09029647270665309,0.72306003011878,0.6976748636787012,0.476024341586233,2.0010001009906233,25.845766274094917,0.005734123275054348,0.37987025445380596,0.14356143666501353,3.8382716389711224,0.09124722611877167,0.23977339354144078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,225.85349178048858,free_2_learning_rate_Semantic_CMR,0.6958487808881622,0.3213563683583379,0.14787913410782,0.2989464454256703,0.3498251626839199,0.9039752112053197,0.5476353237450029,0.6018585657120259,0.8642357216284893,39.64557289171372,0.005517743722978197,0.4111881487507887,0.3018798202306936,4.91167621960474,0.07002444979862604,0.45908566087337555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,180.68196826366471,free_2_learning_rate_Semantic_CMR,0.9897850214793493,0.02813069552657066,0.32888061867330487,0.7541663471283472,0.060548573823875296,0.7644939638830378,0.7533912695190041,0.4964443412492715,21.126924303713977,73.77787976089611,0.00963511529712291,0.6913360948177525,0.31995731875659583,1.9387971507355282,0.15199059989892882,0.7466692660205698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,301.99605189442076,free_2_learning_rate_Semantic_CMR,0.5676891347468213,0.08943090898252332,0.21281282508029564,0.9034154571952455,0.7279440912984199,0.12810460643885507,0.3490391982702006,0.6801112272544637,0.5586546864247737,53.749570906773194,0.0018699700105442307,0.4150475823166442,0.38187023844044443,8.827363348374217,0.09575458762633787,0.6020919998858005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,270.5512912001638,free_2_learning_rate_Semantic_CMR,0.5752874154746908,0.02475025470874706,0.8293873587693821,0.9284033787026598,0.49348146797749853,0.421141843944309,0.44564738502414697,0.7365594245981495,0.6292161413981893,66.76996391224863,0.009058438986965726,0.3294842960844573,0.18336227262185148,5.607633305732886,0.10027164638558175,0.47547390486142516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,261.8633654952057,free_2_learning_rate_Semantic_CMR,0.7921503218616591,0.16604202646155403,0.688435723756484,0.2984346940894027,0.27411677751885033,0.2603727356666694,0.7982046670199208,0.7025573544892451,4.400624396621019,9.790616313620546,0.0044238377751288915,0.43817463281080293,0.3193189480151606,1.9172922771360361,0.12072473662888722,0.12350733471711806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
