subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,sampling_rule,mfc_familiarity_scale,mcf_familiarity_scale,drift_familiarity_scale,context_sensitivity,feature_sensitivity
77,28,637.7495849087804,InstanceCMR,0.8359749388529611,2.220446049250313e-16,0.8711034817618777,0.01260870057439865,0.5019538516863525,0.28782105697107074,1.8534368267617498,1.1169457600258264,0.0011679227953273876,0.4501684986979566,2.7658514192122667,0.44926069239834504,,0,0,0,1,1
79,28,537.6281756224179,InstanceCMR,0.8877552067892062,2.220446049250313e-16,0.9224565802926777,0.007442414007337293,0.9999999999999998,0.31541734961004536,3.348541859791282,0.9605651490168379,0.0021958720259815413,0.35760772515648215,1.996501412028695,1.0657122639343638e-08,,0,0,0,1,1
81,28,678.8799175410583,InstanceCMR,0.9609249606690509,2.220446049250313e-16,0.865276087451994,0.011828658256623902,0.9999999999999998,0.2775536619184978,2.618877404237672,61.96618423467814,0.0008298709255942193,0.4787679707782684,1.5576833293965888,4.6988876822297684e-09,,0,0,0,1,1
82,28,625.5082879710591,InstanceCMR,0.9101814977825091,2.220446049250313e-16,0.8814276722599754,0.01744089229236167,0.9999999999999998,0.36789733461352686,1.8679247506179473,17.96707656930538,0.0005015296425264384,0.5636534663064215,2.057229752044359,2.220446049250313e-16,,0,0,0,1,1
84,28,527.1832274289504,InstanceCMR,0.42134421267396704,2.220446049250313e-16,0.999999896659412,0.0039040864117515102,0.9903513816244844,0.20943397003584943,2.1705859860929686,0.7163103389773362,0.0134511198988538,0.3168582190081057,2.9444416982996158,0.23924053045882787,,0,0,0,1,1
85,28,460.66955458234366,InstanceCMR,0.7071817441500313,0.9680082819333886,0.7175397895571849,0.012991156851058377,0.8273810501242495,0.4122216912990767,0.07575082836426195,45.5581195998834,6.029048590810883e-07,0.9312797440460666,4.936425366113735,0.23441413156836124,,0,0,0,1,1
86,28,651.3330648880245,InstanceCMR,0.8954445930979831,0.04886701203989894,0.8592284074985703,1.3964891134580672e-05,0.006102053027295632,0.0014694836407742819,3.952560796878259,62.46884582695231,0.0028225294498230094,0.4039183233322837,0.7912908243736987,0.9235800279924627,,0,0,0,1,1
87,28,512.2794232612731,InstanceCMR,0.9089465269977969,2.220446049250313e-16,0.882030871339552,0.037321043395423546,0.9999999999999998,0.3752855870285322,1.1100398220959578,75.50039411273559,0.030970232375232606,0.19198702957380348,3.2005019897086893,0.0021855222933984068,,0,0,0,1,1
88,28,674.2989028263321,InstanceCMR,0.8965969295810757,0.07924524100136118,0.7530235539618079,0.019982596321313092,0.9671909498304567,0.374767605833142,1.8330208668370895,95.84566981713596,0.005962004637527146,0.3162280172652949,1.9412388522572286,0.9876677203614186,,0,0,0,1,1
89,28,604.5346077934157,InstanceCMR,0.7772707710922424,0.004371919837395314,0.9742180503476865,0.008869572299296396,0.6651387358960484,0.3524317415833443,4.5092999854072735,0.4475330729618814,0.0006689675863439029,0.49503446533144996,1.7653967775656927,0.9999899383093842,,0,0,0,1,1
90,28,637.2020996352701,InstanceCMR,0.9208605828720062,2.220446049250313e-16,0.9140570307297506,0.030594165484875254,0.9999999999999998,0.4157477270217345,1.2530848631843663,1.0677245746209256,0.0006304499443693509,0.49841111803696725,3.024901733256184,0.18987060500120165,,0,0,0,1,1
91,28,548.4027265163623,InstanceCMR,0.8670479527560743,2.220446049250313e-16,0.9001517565474412,0.011299555392214649,0.8623426870346891,0.2574136424583926,5.146449334731989,1.5868035343105937,0.010907517278080854,0.34756149212553117,1.4609584422085753,0.4114182557101962,,0,0,0,1,1
92,28,792.530187378302,InstanceCMR,0.9768340345645891,0.1433161073385611,0.9991337754636844,0.00017995492148837401,0.8092219274601883,0.17358127895906603,25.93812543282348,70.26614789953818,0.0001853447489188249,0.5561247977945577,0.30997683271229737,0.3054230699994379,,0,0,0,1,1
93,28,443.5738641646346,InstanceCMR,0.9473807714472128,0.0828763129741821,0.8893556663223974,0.02122469257087093,0.777647975141792,0.30081556934818626,1.6435900868199982,59.3909081744541,0.003313037606749506,0.6344314223143405,2.5915669392750735,0.11534039996562868,,0,0,0,1,1
94,28,471.2575487461483,InstanceCMR,0.8763427130913669,2.220446049250313e-16,0.8342127248510272,0.012652527195827464,0.9999999999999998,0.24685027496906903,5.967028197297503,57.30715945490288,0.015534537817345618,0.35910948854176633,1.6557317790047363,2.220446049250313e-16,,0,0,0,1,1
95,28,564.6060646369284,InstanceCMR,0.8918203647425816,2.220446049250313e-16,0.930927878133641,0.0028029927809472012,0.7693684420325594,0.1870457881211372,7.781799041633974,48.80834774996019,0.01605868431407354,0.27543357119046374,0.903451983928816,1.2975111600764472e-08,,0,0,0,1,1
96,28,411.06179862783085,InstanceCMR,0.9449886533758143,0.015682903348145587,0.9910681266113875,4.748255440499106e-05,0.008877842433328455,0.036558537734850356,2.612956617910374,13.170286677721178,0.030911360986512447,0.18942125602943696,1.3491133234881645,0.9969536814484764,,0,0,0,1,1
98,28,687.7719951629515,InstanceCMR,0.7771279423443206,0.008221629261306661,0.9475427035993975,0.0059823296603958,0.6431212001931579,0.26615056332771,3.195670954913627,78.62668973783286,0.0006384718745981577,0.49042879551842,1.469815031702193,0.9249030328457537,,0,0,0,1,1
99,28,680.3924968449227,InstanceCMR,0.9391856517268238,0.17696625884497136,0.8270071737737444,0.018752440515271612,0.7122376385972148,0.4394713954078372,1.251210109674685,49.509009882767586,0.0018183809762028261,0.40583211447045714,2.368145260126254,0.1957974878068145,,0,0,0,1,1
